s,p,o
http://kbpedia.org/kko/rc/ClothingTypeByStyle,rdfs:subClassOf,http://dbpedia.org/ontology/LineOfFashion
http://kbpedia.org/kko/rc/ExurbanNeighborhood,rdfs:subClassOf,http://dbpedia.org/ontology/Intercommunality
http://kbpedia.org/kko/rc/GeneralManager_SportsTeam,rdfs:subClassOf,http://dbpedia.org/ontology/SportsManager
http://kbpedia.org/kko/rc/MedicalDatabase,rdfs:subClassOf,http://dbpedia.org/ontology/BiologicalDatabase
http://kbpedia.org/kko/rc/RadioTalkShowHost,rdfs:subClassOf,http://dbpedia.org/ontology/RadioHost
http://kbpedia.org/kko/rc/SabreFencer,rdfs:subClassOf,http://dbpedia.org/ontology/Fencer
http://kbpedia.org/kko/rc/SocialGroup,rdfs:subClassOf,http://dbpedia.org/ontology/Group
http://kbpedia.org/kko/rc/UNESCOWorldHertitageSite,rdfs:subClassOf,http://dbpedia.org/ontology/SiteOfSpecialScientificInterest
http://kbpedia.org/kko/rc/Abbey,owl:equivalentClass,http://dbpedia.org/ontology/Abbey
http://kbpedia.org/kko/rc/Action,owl:equivalentClass,http://dbpedia.org/ontology/Activity
http://kbpedia.org/kko/rc/Actor,owl:equivalentClass,http://dbpedia.org/ontology/Actor
http://kbpedia.org/kko/rc/Actor_Voice,owl:equivalentClass,http://dbpedia.org/ontology/VoiceActor
http://kbpedia.org/kko/rc/AdministrativeDistrict,owl:equivalentClass,http://dbpedia.org/ontology/GovernmentalAdministrativeRegion
http://kbpedia.org/kko/rc/Agent_Generic,owl:equivalentClass,http://dbpedia.org/ontology/Agent
http://kbpedia.org/kko/rc/AilmentCondition,owl:equivalentClass,http://dbpedia.org/ontology/Disease
http://kbpedia.org/kko/rc/AirlineCompany,owl:equivalentClass,http://dbpedia.org/ontology/Airline
http://kbpedia.org/kko/rc/Airport_Physical,owl:equivalentClass,http://dbpedia.org/ontology/Airport
http://kbpedia.org/kko/rc/AirTransportationVehicle,owl:equivalentClass,http://dbpedia.org/ontology/Aircraft
http://kbpedia.org/kko/rc/Album,owl:equivalentClass,http://dbpedia.org/ontology/Album
http://kbpedia.org/kko/rc/Altitude,owl:equivalentClass,http://dbpedia.org/ontology/Altitude
http://kbpedia.org/kko/rc/Ambassador,owl:equivalentClass,http://dbpedia.org/ontology/Ambassador
http://kbpedia.org/kko/rc/Amphibian,owl:equivalentClass,http://dbpedia.org/ontology/Amphibian
http://kbpedia.org/kko/rc/AmusementParkRide,owl:equivalentClass,http://dbpedia.org/ontology/AmusementParkAttraction
http://kbpedia.org/kko/rc/Animal,owl:equivalentClass,http://dbpedia.org/ontology/Animal
http://kbpedia.org/kko/rc/Anime,owl:equivalentClass,http://dbpedia.org/ontology/Anime
http://kbpedia.org/kko/rc/Arachnid,owl:equivalentClass,http://dbpedia.org/ontology/Arachnid
http://kbpedia.org/kko/rc/Archaea,owl:equivalentClass,http://dbpedia.org/ontology/Archaea
http://kbpedia.org/kko/rc/Archaeologist,owl:equivalentClass,http://dbpedia.org/ontology/Archeologist
http://kbpedia.org/kko/rc/Archipelago,owl:equivalentClass,http://dbpedia.org/ontology/Archipelago
http://kbpedia.org/kko/rc/Architect,owl:equivalentClass,http://dbpedia.org/ontology/Architect
http://kbpedia.org/kko/rc/Archive,owl:equivalentClass,http://dbpedia.org/ontology/Archive
http://kbpedia.org/kko/rc/Area,owl:equivalentClass,http://dbpedia.org/ontology/Area
http://kbpedia.org/kko/rc/Aristocrat,owl:equivalentClass,http://dbpedia.org/ontology/Aristocrat
http://kbpedia.org/kko/rc/Aristocrat,owl:equivalentClass,http://dbpedia.org/ontology/Royalty
http://kbpedia.org/kko/rc/AristocraticFamilyLine,owl:equivalentClass,http://dbpedia.org/ontology/NobleFamily
http://kbpedia.org/kko/rc/AristocratTypeByTitle,owl:equivalentClass,http://dbpedia.org/ontology/Noble
http://kbpedia.org/kko/rc/Arrondissement,owl:equivalentClass,http://dbpedia.org/ontology/Arrondissement
http://kbpedia.org/kko/rc/Artery,owl:equivalentClass,http://dbpedia.org/ontology/Artery
http://kbpedia.org/kko/rc/Article_PCW,owl:equivalentClass,http://dbpedia.org/ontology/Article
http://kbpedia.org/kko/rc/Artist,owl:equivalentClass,http://dbpedia.org/ontology/Artist
http://kbpedia.org/kko/rc/Asteroid,owl:equivalentClass,http://dbpedia.org/ontology/Asteroid
http://kbpedia.org/kko/rc/Astronaut,owl:equivalentClass,http://dbpedia.org/ontology/Astronaut
http://kbpedia.org/kko/rc/Athlete,owl:equivalentClass,http://dbpedia.org/ontology/Athlete
