s,p,o
http://kbpedia.org/kko/rc/Abbey,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Abbey
http://kbpedia.org/kko/rc/Action,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Activity
http://kbpedia.org/kko/rc/Actor,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Actor
http://kbpedia.org/kko/rc/Actor-Voice,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/VoiceActor
http://kbpedia.org/kko/rc/AdministrativeDistrict,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/GovernmentalAdministrativeRegion
http://kbpedia.org/kko/rc/Agent-Generic,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Agent
http://kbpedia.org/kko/rc/AilmentCondition,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Disease
http://kbpedia.org/kko/rc/AirlineCompany,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Airline
http://kbpedia.org/kko/rc/Airport-Physical,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Airport
http://kbpedia.org/kko/rc/AirTransportationVehicle,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Aircraft
http://kbpedia.org/kko/rc/Album,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Album
http://kbpedia.org/kko/rc/Altitude,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Altitude
http://kbpedia.org/kko/rc/Ambassador,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Ambassador
http://kbpedia.org/kko/rc/Amphibian,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Amphibian
http://kbpedia.org/kko/rc/AmusementParkRide,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/AmusementParkAttraction
http://kbpedia.org/kko/rc/Animal,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Animal
http://kbpedia.org/kko/rc/Anime,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Anime
http://kbpedia.org/kko/rc/Arachnid,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Arachnid
http://kbpedia.org/kko/rc/Archaea,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Archaea
http://kbpedia.org/kko/rc/Archaeologist,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Archeologist
http://kbpedia.org/kko/rc/Archipelago,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Archipelago
http://kbpedia.org/kko/rc/Architect,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Architect
http://kbpedia.org/kko/rc/Archive,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Archive
http://kbpedia.org/kko/rc/Area,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Area
http://kbpedia.org/kko/rc/Aristocrat,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Aristocrat
http://kbpedia.org/kko/rc/Aristocrat,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Royalty
http://kbpedia.org/kko/rc/AristocraticFamilyLine,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/NobleFamily
http://kbpedia.org/kko/rc/AristocratTypeByTitle,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Noble
http://kbpedia.org/kko/rc/Arrondissement,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Arrondissement
http://kbpedia.org/kko/rc/Artery,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Artery
http://kbpedia.org/kko/rc/Article-PCW,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Article
http://kbpedia.org/kko/rc/Artist,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Artist
http://kbpedia.org/kko/rc/Asteroid,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Asteroid
http://kbpedia.org/kko/rc/Astronaut,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Astronaut
http://kbpedia.org/kko/rc/Athlete,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Athlete
http://kbpedia.org/kko/rc/Athlete,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/AthleticsPlayer
http://kbpedia.org/kko/rc/AthleticActivity,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Athletics
http://kbpedia.org/kko/rc/Atoll,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Atoll
http://kbpedia.org/kko/rc/AttackOnObject,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Attack
http://kbpedia.org/kko/rc/AustralianFootballLeague,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/AustralianFootballLeague
http://kbpedia.org/kko/rc/AutoEngine,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/AutomobileEngine
http://kbpedia.org/kko/rc/Automobile,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Automobile
http://kbpedia.org/kko/rc/AwardPractice,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Award
http://kbpedia.org/kko/rc/Bacterium,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Bacteria
http://kbpedia.org/kko/rc/BadmintonPlayer,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/BadmintonPlayer
http://kbpedia.org/kko/rc/Band-MusicGroup,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Band
http://kbpedia.org/kko/rc/BankOrganization,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Bank
http://kbpedia.org/kko/rc/Baronet,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/Baronet
http://kbpedia.org/kko/rc/BaseballPlayer,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/BaseballPlayer
http://kbpedia.org/kko/rc/BaseballSeason,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/BaseballSeason
http://kbpedia.org/kko/rc/BaseballTeam,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/BaseballTeam
http://kbpedia.org/kko/rc/BasketballLeague,kko:dbpedia-ontology-id,http://dbpedia.org/ontology/BaseballLeague
