s,p,o
http://kbpedia.org/kko/rc/Abandoned-ConstructionArtifact,kko:geo-names-feature-code,http://www.geonames.org/ontology#P.PPLQ
http://kbpedia.org/kko/rc/AbyssalPlain,kko:geo-names-feature-code,http://www.geonames.org/ontology#U.PLNU
http://kbpedia.org/kko/rc/AccessCorridor,kko:geo-names-feature-code,http://www.geonames.org/ontology#T.CRDR
http://kbpedia.org/kko/rc/AdministrativeDistrict,kko:geo-names-feature-code,http://www.geonames.org/ontology#A.ADMD
http://kbpedia.org/kko/rc/Airfield,kko:geo-names-feature-code,http://www.geonames.org/ontology#S.AIRF
http://kbpedia.org/kko/rc/AirForceBase-Grounds,kko:geo-names-feature-code,http://www.geonames.org/ontology#S.AIRB
http://kbpedia.org/kko/rc/Airport-Physical,kko:geo-names-feature-code,http://www.geonames.org/ontology#S.AIRP
http://kbpedia.org/kko/rc/AlluvialFan,kko:geo-names-feature-code,http://www.geonames.org/ontology#T.FAN
http://kbpedia.org/kko/rc/Amphitheater,kko:geo-names-feature-code,http://www.geonames.org/ontology#S.AMTH
http://kbpedia.org/kko/rc/AmusementPark,kko:geo-names-feature-code,http://www.geonames.org/ontology#L.AMUS
http://kbpedia.org/kko/rc/Anabranch,kko:geo-names-feature-code,http://www.geonames.org/ontology#H.STMA
http://kbpedia.org/kko/rc/Anchorage,kko:geo-names-feature-code,http://www.geonames.org/ontology#H.ANCH
http://kbpedia.org/kko/rc/AncientRoadway,kko:geo-names-feature-code,http://www.geonames.org/ontology#R.RDA
http://kbpedia.org/kko/rc/AncientSite,kko:geo-names-feature-code,http://www.geonames.org/ontology#S.ANS
http://kbpedia.org/kko/rc/AnimalSanctuary,kko:geo-names-feature-code,http://www.geonames.org/ontology#L.RESW
http://kbpedia.org/kko/rc/Apron-Topographical,kko:geo-names-feature-code,http://www.geonames.org/ontology#U.APNU
http://kbpedia.org/kko/rc/AquacultureFacility,kko:geo-names-feature-code,http://www.geonames.org/ontology#S.AQC
http://kbpedia.org/kko/rc/Aqueduct,kko:geo-names-feature-code,http://www.geonames.org/ontology#H.CNLA
http://kbpedia.org/kko/rc/ArableLand,kko:geo-names-feature-code,http://www.geonames.org/ontology#V.CULT
http://kbpedia.org/kko/rc/Arch-Topographical,kko:geo-names-feature-code,http://www.geonames.org/ontology#U.ARCU
http://kbpedia.org/kko/rc/Arrugado-Undersea,kko:geo-names-feature-code,http://www.geonames.org/ontology#U.ARRU
http://kbpedia.org/kko/rc/ArtificialIsland,kko:geo-names-feature-code,http://www.geonames.org/ontology#T.ISLF
http://kbpedia.org/kko/rc/AslyumBuilding,kko:geo-names-feature-code,http://www.geonames.org/ontology#S.ASYL
http://kbpedia.org/kko/rc/AsphaltLake,kko:geo-names-feature-code,http://www.geonames.org/ontology#T.ASPH
http://kbpedia.org/kko/rc/AstronomicalObservatory,kko:geo-names-feature-code,http://www.geonames.org/ontology#S.OBS
http://kbpedia.org/kko/rc/AstronomicalObservatoryBuilding,kko:geo-names-feature-code,http://www.geonames.org/ontology#S.OBSR
http://kbpedia.org/kko/rc/AstronomicalStation,kko:geo-names-feature-code,http://www.geonames.org/ontology#S.ASTR
http://kbpedia.org/kko/rc/AthleticField,kko:geo-names-feature-code,http://www.geonames.org/ontology#S.ATHF
http://kbpedia.org/kko/rc/Atoll,kko:geo-names-feature-code,http://www.geonames.org/ontology#T.ATOL
http://kbpedia.org/kko/rc/AutomaticTellerMachine,kko:geo-names-feature-code,http://www.geonames.org/ontology#S.ATM
http://kbpedia.org/kko/rc/Badlands-Topographical,kko:geo-names-feature-code,http://www.geonames.org/ontology#T.BDLD
http://kbpedia.org/kko/rc/BalingStation,kko:geo-names-feature-code,http://www.geonames.org/ontology#S.BSTN
http://kbpedia.org/kko/rc/Bank-Topographical,kko:geo-names-feature-code,http://www.geonames.org/ontology#H.BNK
http://kbpedia.org/kko/rc/Bank-Underwater,kko:geo-names-feature-code,http://www.geonames.org/ontology#U.BNKU
http://kbpedia.org/kko/rc/BankBuilding,kko:geo-names-feature-code,http://www.geonames.org/ontology#S.BANK
http://kbpedia.org/kko/rc/Bar-Topographical,kko:geo-names-feature-code,http://www.geonames.org/ontology#T.BAR
http://kbpedia.org/kko/rc/Basin-Topographical,kko:geo-names-feature-code,http://www.geonames.org/ontology#U.BSNU
http://kbpedia.org/kko/rc/Battlefield,kko:geo-names-feature-code,http://www.geonames.org/ontology#L.BTL
