s,p,o
http://kbpedia.org/kko/rc/Abdomen,kko:schema-org-id,http://schema.org/Abdomen
http://kbpedia.org/kko/rc/AboutPage,kko:schema-org-id,http://schema.org/AboutPage
http://kbpedia.org/kko/rc/Accepting-CommunicationAct,kko:schema-org-id,http://schema.org/AcceptAction
http://kbpedia.org/kko/rc/AcceptingAnInvitation,kko:schema-org-id,http://schema.org/RsvpAction
http://kbpedia.org/kko/rc/Accommodating-HelpingAnAgent,kko:schema-org-id,http://schema.org/Accommodation
http://kbpedia.org/kko/rc/AccountingFirm,kko:schema-org-id,http://schema.org/AccountingService
http://kbpedia.org/kko/rc/AccountTypeByStatus,kko:schema-org-id,http://schema.org/OrderStatus
http://kbpedia.org/kko/rc/AccountTypeByStatus,kko:schema-org-id,http://schema.org/PaymentStatusType
http://kbpedia.org/kko/rc/Action,kko:schema-org-id,http://schema.org/Action
http://kbpedia.org/kko/rc/ActionTypeByWorkflowStatus,kko:schema-org-id,http://schema.org/EventStatusType
http://kbpedia.org/kko/rc/AdultEntertainment,kko:schema-org-id,http://schema.org/AdultEntertainment
http://kbpedia.org/kko/rc/AggregateOffer,kko:schema-org-id,http://schema.org/AggregateOffer
http://kbpedia.org/kko/rc/AggregateRating,kko:schema-org-id,http://schema.org/AggregateRating
http://kbpedia.org/kko/rc/AilmentCondition,kko:schema-org-id,http://schema.org/MedicalCondition
http://kbpedia.org/kko/rc/AirlineCompany,kko:schema-org-id,http://schema.org/Airline
http://kbpedia.org/kko/rc/AirlineReservation,kko:schema-org-id,http://schema.org/FlightReservation
http://kbpedia.org/kko/rc/AirplaneTrip,kko:schema-org-id,http://schema.org/Flight
http://kbpedia.org/kko/rc/Airport-Physical,kko:schema-org-id,http://schema.org/Airport
http://kbpedia.org/kko/rc/Album,kko:schema-org-id,http://schema.org/MusicAlbum
http://kbpedia.org/kko/rc/AligningSomething,kko:schema-org-id,http://schema.org/AlignmentObject
http://kbpedia.org/kko/rc/Allocation,kko:schema-org-id,http://schema.org/AllocateAction
http://kbpedia.org/kko/rc/AlternativeMedicine,kko:schema-org-id,http://schema.org/Homeopathic
