s,p,o
http://kbpedia.org/kko/rc/1-2-Nitrophenoxyoctane,kko:wikipedia-id,http://wikipedia.org/wiki/1-(2-Nitrophenoxy)octane
http://kbpedia.org/kko/rc/1-Amino-2-propanol,kko:wikipedia-id,http://wikipedia.org/wiki/1-Amino-2-propanol
http://kbpedia.org/kko/rc/1-Amino-2-propanone,kko:wikipedia-id,http://wikipedia.org/wiki/1-Amino-2-propanone
http://kbpedia.org/kko/rc/100EuroNote,kko:wikipedia-id,http://wikipedia.org/wiki/100_euro_note
http://kbpedia.org/kko/rc/10EuroNote,kko:wikipedia-id,http://wikipedia.org/wiki/10_euro_note
http://kbpedia.org/kko/rc/10MeterAirPistol,kko:wikipedia-id,http://wikipedia.org/wiki/ISSF_10_meter_air_pistol
http://kbpedia.org/kko/rc/112-Trichloro-122-trifluoroethane,kko:wikipedia-id,"http://wikipedia.org/wiki/1,1,2-Trichloro-1,2,2-trifluoroethane"
http://kbpedia.org/kko/rc/12-Dichlorotetrafluoroethane,kko:wikipedia-id,"http://wikipedia.org/wiki/1,2-dichlorotetrafluoroethane"
http://kbpedia.org/kko/rc/12-Dimethoxybenzene,kko:wikipedia-id,"http://wikipedia.org/wiki/1,2-Dimethoxybenzene"
http://kbpedia.org/kko/rc/12-O-Tetradecanoylphorbol-13-acetate,kko:wikipedia-id,http://wikipedia.org/wiki/12-O-Tetradecanoylphorbol-13-acetate
http://kbpedia.org/kko/rc/124-Trioxane,kko:wikipedia-id,"http://wikipedia.org/wiki/1,2,4-Trioxane"
http://kbpedia.org/kko/rc/13-Dimethylpentylamine,kko:wikipedia-id,http://wikipedia.org/wiki/Methylhexanamine
http://kbpedia.org/kko/rc/14-Dimethoxybenzene,kko:wikipedia-id,"http://wikipedia.org/wiki/1,4-Dimethoxybenzene"
http://kbpedia.org/kko/rc/14-Dioxane,kko:wikipedia-id,"http://wikipedia.org/wiki/1,4-Dioxane"
http://kbpedia.org/kko/rc/17-Hydroxypregnenolone,kko:wikipedia-id,http://wikipedia.org/wiki/17-Hydroxypregnenolone
http://kbpedia.org/kko/rc/17-Ketosteroid,kko:wikipedia-id,http://wikipedia.org/wiki/17-Ketosteroid
http://kbpedia.org/kko/rc/1948Arab-IsraeliWar,kko:wikipedia-id,http://wikipedia.org/wiki/1948_Arab–Israeli_War
http://kbpedia.org/kko/rc/1999UEFAChampionsLeagueFinal,kko:wikipedia-id,http://wikipedia.org/wiki/1999_UEFA_Champions_League_Final
http://kbpedia.org/kko/rc/1p36DeletionSyndrome,kko:wikipedia-id,http://wikipedia.org/wiki/1p36_deletion_syndrome
