s,p,o
http://kbpedia.org/kko/rc/AccountingFirm,rdfs:subClassOf,http://schema.org/AccountingService
http://kbpedia.org/kko/rc/AilmentCondition,rdfs:subClassOf,http://schema.org/MedicalCondition
http://kbpedia.org/kko/rc/ApplyingResourceEvent,rdfs:subClassOf,http://schema.org/ApplyAction
http://kbpedia.org/kko/rc/ApprovingARequest,rdfs:subClassOf,http://schema.org/AuthorizeAction
http://kbpedia.org/kko/rc/Artifact_Intangible,rdfs:subClassOf,http://schema.org/Intangible
http://kbpedia.org/kko/rc/AssigningATask,rdfs:subClassOf,http://schema.org/AssignAction
http://kbpedia.org/kko/rc/BankOrganization,rdfs:subClassOf,http://schema.org/BankOrCreditUnion
http://kbpedia.org/kko/rc/BoneStructure,rdfs:subClassOf,http://schema.org/Bone
http://kbpedia.org/kko/rc/BroadcastSeriesProduct,rdfs:subClassOf,http://schema.org/Series
http://kbpedia.org/kko/rc/Bus_RoadVehicle,rdfs:subClassOf,http://schema.org/BusOrCoach
http://kbpedia.org/kko/rc/CharitableDonation,rdfs:subClassOf,http://schema.org/DonateAction
http://kbpedia.org/kko/rc/Commentary,rdfs:subClassOf,http://schema.org/Comment
http://kbpedia.org/kko/rc/CompletedStatus,rdfs:subClassOf,http://schema.org/ActionStatusType
http://kbpedia.org/kko/rc/CompletedStatus,rdfs:subClassOf,http://schema.org/CompletedActionStatus
http://kbpedia.org/kko/rc/CompletedStatus,rdfs:subClassOf,http://schema.org/PotentialActionStatus
http://kbpedia.org/kko/rc/ConfirmingTruthEvent,rdfs:subClassOf,http://schema.org/ConfirmAction
http://kbpedia.org/kko/rc/CosmeticSurgery,rdfs:subClassOf,http://schema.org/PlasticSurgery
http://kbpedia.org/kko/rc/CreatingAnArtifact,rdfs:subClassOf,http://schema.org/CreateAction
http://kbpedia.org/kko/rc/DayCareOrganization,rdfs:subClassOf,http://schema.org/ChildCare
http://kbpedia.org/kko/rc/DeliveryServiceEvent,rdfs:subClassOf,http://schema.org/DeliveryEvent
http://kbpedia.org/kko/rc/DesiringThat,rdfs:subClassOf,http://schema.org/WantAction
http://kbpedia.org/kko/rc/Disapproving_CommunicationAct,rdfs:subClassOf,http://schema.org/DisagreeAction
http://kbpedia.org/kko/rc/DiseaseType,rdfs:subClassOf,http://schema.org/MedicalCause
http://kbpedia.org/kko/rc/DownloadingAFile,rdfs:subClassOf,http://schema.org/DownloadAction
http://kbpedia.org/kko/rc/DramaticPerformance,rdfs:subClassOf,http://schema.org/TheaterEvent
http://kbpedia.org/kko/rc/EmployeeTypeByWorkStatus,rdfs:subClassOf,http://schema.org/EmployeeRole
http://kbpedia.org/kko/rc/EntertainmentServiceCompany,rdfs:subClassOf,http://schema.org/EntertainmentBusiness
http://kbpedia.org/kko/rc/Evaluating,rdfs:subClassOf,http://schema.org/AssessAction
http://kbpedia.org/kko/rc/FindingAPhysicalObject,rdfs:subClassOf,http://schema.org/FindAction
http://kbpedia.org/kko/rc/GovernmentPaidService,rdfs:subClassOf,http://schema.org/GovernmentService
http://kbpedia.org/kko/rc/HistoricBuilding,rdfs:subClassOf,http://schema.org/LandmarksOrHistoricalBuildings
http://kbpedia.org/kko/rc/HomeBuilder,rdfs:subClassOf,http://schema.org/GeneralContractor
http://kbpedia.org/kko/rc/InformationRemoving,rdfs:subClassOf,http://schema.org/DeleteAction
http://kbpedia.org/kko/rc/InformationUpdating,rdfs:subClassOf,http://schema.org/AppendAction
http://kbpedia.org/kko/rc/InformationUpdating,rdfs:subClassOf,http://schema.org/UpdateAction
http://kbpedia.org/kko/rc/Ingesting,rdfs:subClassOf,http://schema.org/ConsumeAction
http://kbpedia.org/kko/rc/InsertingARecordIntoADatabase,rdfs:subClassOf,http://schema.org/InsertAction
http://kbpedia.org/kko/rc/InstallingAnObject,rdfs:subClassOf,http://schema.org/InstallAction
http://kbpedia.org/kko/rc/IntendedAudience_InfoTopic,rdfs:subClassOf,http://schema.org/Audience
http://kbpedia.org/kko/rc/InvestmentVehicle,rdfs:subClassOf,http://schema.org/InvestmentOrDeposit
http://kbpedia.org/kko/rc/LawFirm,rdfs:subClassOf,http://schema.org/Attorney
http://kbpedia.org/kko/rc/LeavingAPlace,rdfs:subClassOf,http://schema.org/DepartAction
http://kbpedia.org/kko/rc/LeavingAPlace,rdfs:subClassOf,http://schema.org/LeaveAction
http://kbpedia.org/kko/rc/LegalCounsellingService,rdfs:subClassOf,http://schema.org/LegalService
http://kbpedia.org/kko/rc/ListeningDeliberately,rdfs:subClassOf,http://schema.org/ListenAction
http://kbpedia.org/kko/rc/LoanAgreement,rdfs:subClassOf,http://schema.org/LoanOrCredit
http://kbpedia.org/kko/rc/ManufacturedGood,rdfs:subClassOf,http://schema.org/IndividualProduct
http://kbpedia.org/kko/rc/Movement_TranslationEvent,rdfs:subClassOf,http://schema.org/MoveAction
http://kbpedia.org/kko/rc/MusicTrack,rdfs:subClassOf,http://schema.org/MusicPlaylist
http://kbpedia.org/kko/rc/OfferingForSale,rdfs:subClassOf,http://schema.org/Offer
http://kbpedia.org/kko/rc/OrderForm,rdfs:subClassOf,http://schema.org/Order
http://kbpedia.org/kko/rc/ParliamentBuilding,rdfs:subClassOf,http://schema.org/LegislativeBuilding
http://kbpedia.org/kko/rc/PhotographAsArtForm,rdfs:subClassOf,http://schema.org/Photograph
http://kbpedia.org/kko/rc/PhysicalExamination,rdfs:subClassOf,http://schema.org/PhysicalExam
http://kbpedia.org/kko/rc/PhysiologicalCondition,rdfs:subClassOf,http://schema.org/MedicalSignOrSymptom
http://kbpedia.org/kko/rc/PlumbingServiceCompany,rdfs:subClassOf,http://schema.org/Plumber
http://kbpedia.org/kko/rc/RegisteringForAService,rdfs:subClassOf,http://schema.org/RegisterAction
http://kbpedia.org/kko/rc/Reservation,rdfs:subClassOf,http://schema.org/RsvpResponseType
http://kbpedia.org/kko/rc/SportsPlayingArea,rdfs:subClassOf,http://schema.org/SportsActivityLocation
http://kbpedia.org/kko/rc/StandupComedy,rdfs:subClassOf,http://schema.org/ComedyEvent
http://kbpedia.org/kko/rc/StrengthConditioning,rdfs:subClassOf,http://schema.org/StrengthTraining
http://kbpedia.org/kko/rc/TaxiCompany,rdfs:subClassOf,http://schema.org/TaxiService
http://kbpedia.org/kko/rc/Temple,rdfs:subClassOf,http://schema.org/PlaceOfWorship
http://kbpedia.org/kko/rc/TennisCourt,rdfs:subClassOf,http://schema.org/TennisComplex
http://kbpedia.org/ontologies/kko#TertiarySectorService,rdfs:subClassOf,http://schema.org/Service
http://kbpedia.org/kko/rc/TicketTypeBySitTypeAuthorized,rdfs:subClassOf,http://schema.org/Seat
http://kbpedia.org/kko/rc/Travel_TripEvent,rdfs:subClassOf,http://schema.org/TravelAction
http://kbpedia.org/kko/rc/UsingADevice,rdfs:subClassOf,http://schema.org/UseAction
http://kbpedia.org/kko/rc/WeddingCeremony,rdfs:subClassOf,http://schema.org/MarryAction
http://kbpedia.org/kko/rc/Abdomen,owl:equivalentClass,http://schema.org/Abdomen
http://kbpedia.org/kko/rc/AboutPage,owl:equivalentClass,http://schema.org/AboutPage
