s,p,o
http://kbpedia.org/kko/rc/2011CricketWorldCup_Cricketers,owl:equivalentClass,http://wikipedia.org/wiki/Category:Cricketers_at_the_2011_Cricket_World_Cup
http://kbpedia.org/kko/rc/2011RugbyWorldCup,owl:equivalentClass,http://wikipedia.org/wiki/Category:2019_Rugby_World_Cup
http://kbpedia.org/kko/rc/2011WorldAquaticsChampionship_Diving,owl:equivalentClass,http://wikipedia.org/wiki/Category:Diving_at_the_2011_World_Aquatics_Championships
http://kbpedia.org/kko/rc/2011WorldAquaticsChampionships_OpenWaterSwimming,owl:equivalentClass,http://wikipedia.org/wiki/Category:Open_water_swimming_at_the_2011_World_Aquatics_Championships
http://kbpedia.org/kko/rc/2011WorldAquaticsChampionships_Swimming,owl:equivalentClass,http://wikipedia.org/wiki/Category:Swimming_at_the_2011_World_Aquatics_Championships
http://kbpedia.org/kko/rc/3DGraphicsSoftware,owl:equivalentClass,http://wikipedia.org/wiki/Category:3D_graphics_software
http://kbpedia.org/kko/rc/Aargau,owl:equivalentClass,http://wikipedia.org/wiki/Category:Aargau
http://kbpedia.org/kko/rc/Aaron,owl:equivalentClass,http://wikipedia.org/wiki/Category:Aaron
http://kbpedia.org/kko/rc/AbbasidCaliphate,owl:equivalentClass,http://wikipedia.org/wiki/Category:Abbasid_Caliphate
http://kbpedia.org/kko/rc/AbbotsOfIona,owl:equivalentClass,http://wikipedia.org/wiki/Category:Abbots_of_Iona
http://kbpedia.org/kko/rc/Abbreviation,owl:equivalentClass,http://wikipedia.org/wiki/Category:Abbreviations
http://kbpedia.org/kko/rc/Abdication,owl:equivalentClass,http://wikipedia.org/wiki/Category:Abdication
http://kbpedia.org/kko/rc/Abdomen,owl:equivalentClass,http://wikipedia.org/wiki/Category:Abdomen
http://kbpedia.org/kko/rc/AbdominalPain,owl:equivalentClass,http://wikipedia.org/wiki/Category:Abdominal_pain
http://kbpedia.org/kko/rc/AbducensNerve,owl:equivalentClass,http://wikipedia.org/wiki/Category:Abducens_nerve
http://kbpedia.org/kko/rc/AbelianGroupTheory,owl:equivalentClass,http://wikipedia.org/wiki/Category:Abelian_group_theory
http://kbpedia.org/kko/rc/Abkhazia,owl:equivalentClass,http://wikipedia.org/wiki/Category:Abkhazia
http://kbpedia.org/kko/rc/AbkhazianPeople,owl:equivalentClass,http://wikipedia.org/wiki/Category:Abkhazian_people
http://kbpedia.org/kko/rc/AbnormalBehaviourInAnimals,owl:equivalentClass,http://wikipedia.org/wiki/Category:Abnormal_behaviour_in_animals
http://kbpedia.org/kko/rc/AbnormalRespiration,owl:equivalentClass,http://wikipedia.org/wiki/Category:Abnormal_respiration
http://kbpedia.org/kko/rc/AbolitionismByCountry,owl:equivalentClass,http://wikipedia.org/wiki/Category:Abolitionism_by_country
http://kbpedia.org/kko/rc/Abolitionist,owl:equivalentClass,http://wikipedia.org/wiki/Category:Abolitionists
http://kbpedia.org/kko/rc/AbolitionistMovement,owl:equivalentClass,http://wikipedia.org/wiki/Category:Abolitionist_movements
http://kbpedia.org/kko/rc/AboriginalTitle,owl:equivalentClass,http://wikipedia.org/wiki/Category:Aboriginal_title
