s,p,o
http://kbpedia.org/kko/rc/Academia,kko:isRelatedTo,http://wikipedia.org/wiki/Academy
http://kbpedia.org/kko/rc/Antineoplastic,kko:isRelatedTo,http://wikipedia.org/wiki/Chemotherapy
http://kbpedia.org/kko/rc/ArboristService,kko:isRelatedTo,http://wikipedia.org/wiki/Arborist
http://kbpedia.org/kko/rc/AustrianPerson,kko:isRelatedTo,http://wikipedia.org/wiki/Austrians
http://kbpedia.org/kko/rc/BangladeshPerson,kko:isRelatedTo,http://wikipedia.org/wiki/Bangladeshis
http://kbpedia.org/kko/rc/BookSmuggling,kko:isRelatedTo,http://wikipedia.org/wiki/Lithuanian_book_smugglers
http://kbpedia.org/kko/rc/CabernetSauvignon_Wine,kko:isRelatedTo,http://wikipedia.org/wiki/Cabernet_Sauvignon
http://kbpedia.org/kko/rc/CardShuffling,kko:isRelatedTo,http://wikipedia.org/wiki/Shuffling
http://kbpedia.org/kko/rc/CarmineColor,kko:isRelatedTo,http://wikipedia.org/wiki/Carmine
http://kbpedia.org/kko/rc/Chardonnay_Wine,kko:isRelatedTo,http://wikipedia.org/wiki/Chardonnay
http://kbpedia.org/kko/rc/CheninBlanc_Wine,kko:isRelatedTo,http://wikipedia.org/wiki/Chenin_blanc
http://kbpedia.org/kko/rc/Clowning,kko:isRelatedTo,http://wikipedia.org/wiki/Clown
http://kbpedia.org/kko/rc/ConciergeService,kko:isRelatedTo,http://wikipedia.org/wiki/Concierge
http://kbpedia.org/kko/rc/ContainerStorage,kko:isRelatedTo,http://wikipedia.org/wiki/Container
http://kbpedia.org/kko/rc/Dancing,kko:isRelatedTo,http://wikipedia.org/wiki/Dance
http://kbpedia.org/kko/rc/Deceiving,kko:isRelatedTo,http://wikipedia.org/wiki/Deception
http://kbpedia.org/kko/rc/DesiringThat,kko:isRelatedTo,http://wikipedia.org/wiki/Motivation
http://kbpedia.org/kko/rc/DevelopingAProduct,kko:isRelatedTo,http://wikipedia.org/wiki/New_product_development
http://kbpedia.org/kko/rc/ElectronMicroscopy,kko:isRelatedTo,http://wikipedia.org/wiki/Electron_microscope
http://kbpedia.org/kko/rc/Emulation,kko:isRelatedTo,http://wikipedia.org/wiki/Emulator
http://kbpedia.org/kko/rc/EthnicGroupOfCastilians,kko:isRelatedTo,http://wikipedia.org/wiki/Crown_of_Castile
http://kbpedia.org/kko/rc/EthnicGroupOfKashmiris,kko:isRelatedTo,http://wikipedia.org/wiki/Kashmiri_language
http://kbpedia.org/kko/rc/EthnicGroupOfKotoko,kko:isRelatedTo,http://wikipedia.org/wiki/Kotoko_kingdom
http://kbpedia.org/kko/rc/Ethnicity,kko:isRelatedTo,http://wikipedia.org/wiki/Ethnic_group
http://kbpedia.org/kko/rc/Exercising,kko:isRelatedTo,http://wikipedia.org/wiki/Physical_exercise
http://kbpedia.org/kko/rc/Experimental,kko:isRelatedTo,http://wikipedia.org/wiki/Experiment
http://kbpedia.org/kko/rc/Experimental,kko:isRelatedTo,http://wikipedia.org/wiki/Experiment_(probability_theory)
http://kbpedia.org/kko/rc/Extrusion,kko:isRelatedTo,http://wikipedia.org/wiki/Extrusion
http://kbpedia.org/kko/rc/FiberOptics,kko:isRelatedTo,http://wikipedia.org/wiki/Optical_fiber
http://kbpedia.org/kko/rc/FreedomOfAction,kko:isRelatedTo,http://wikipedia.org/wiki/Free_will
http://kbpedia.org/kko/rc/GallStoneCondition,kko:isRelatedTo,http://wikipedia.org/wiki/Gallstone
http://kbpedia.org/kko/rc/Gewurztraminer_Wine,kko:isRelatedTo,http://wikipedia.org/wiki/Gewürztraminer
http://kbpedia.org/kko/rc/GunSystem,kko:isRelatedTo,http://wikipedia.org/wiki/Gun
http://kbpedia.org/kko/rc/HealthcareService,kko:isRelatedTo,http://wikipedia.org/wiki/Health_care
http://kbpedia.org/kko/rc/HeardIslandAndMcDonaldIslands,kko:isRelatedTo,http://wikipedia.org/wiki/Heard_Island_and_McDonald_Islands
