id,subClassOf,parent
http://kbpedia.org/kko/rc/BankruptcyLawService,rdfs:subClassOf,http://kbpedia.org/kko/rc/BusinessLawService
http://kbpedia.org/kko/rc/BankruptcyLawService,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/NovialConstructedLanguage,rdfs:subClassOf,http://kbpedia.org/kko/rc/InternationalAuxiliaryLanguage
http://kbpedia.org/kko/rc/NovialConstructedLanguage,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Matriculating,rdfs:subClassOf,http://kbpedia.org/kko/rc/EnrollingSomeone
http://kbpedia.org/kko/rc/Matriculating,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Spelling,rdfs:subClassOf,http://kbpedia.org/kko/rc/IBOCreation
http://kbpedia.org/kko/rc/Spelling,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Spelling,rdfs:subClassOf,http://kbpedia.org/kko/rc/LanguageMechanics
http://kbpedia.org/kko/rc/Spelling,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CommittingSomeoneToAnInstitution,rdfs:subClassOf,http://kbpedia.org/kko/rc/PermittingEntrance
http://kbpedia.org/kko/rc/CommittingSomeoneToAnInstitution,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CommittingSomeoneToAnInstitution,rdfs:subClassOf,http://kbpedia.org/kko/rc/GeneralizedTransfer
http://kbpedia.org/kko/rc/CommittingSomeoneToAnInstitution,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MemberOfTrinityHouse,rdfs:subClassOf,http://kbpedia.org/kko/rc/CommitteeMember
http://kbpedia.org/kko/rc/MemberOfTrinityHouse,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Biologist,rdfs:subClassOf,http://kbpedia.org/kko/rc/Scientist
http://kbpedia.org/kko/rc/Biologist,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CreditManager,rdfs:subClassOf,http://kbpedia.org/kko/rc/Manager
http://kbpedia.org/kko/rc/CreditManager,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PrecambrianNorthAmerica,rdfs:subClassOf,http://kbpedia.org/kko/rc/Precambrian-GeologicalSupereon
http://kbpedia.org/kko/rc/PrecambrianNorthAmerica,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryDefensiveOperation,rdfs:subClassOf,http://kbpedia.org/kko/rc/MilitaryOperation
http://kbpedia.org/kko/rc/MilitaryDefensiveOperation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryDefensiveOperation,rdfs:subClassOf,http://kbpedia.org/kko/rc/ProtectingSomething
http://kbpedia.org/kko/rc/MilitaryDefensiveOperation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MachineLearningTask,rdfs:subClassOf,http://kbpedia.org/kko/rc/MachineLearning
http://kbpedia.org/kko/rc/MachineLearningTask,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ArmsTrafficking,rdfs:subClassOf,http://kbpedia.org/kko/rc/Smuggling
http://kbpedia.org/kko/rc/ArmsTrafficking,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AutomobileAccidentInsurance-ThirdPartyFireAndTheft,rdfs:subClassOf,http://kbpedia.org/kko/rc/AutomobileInsurance
http://kbpedia.org/kko/rc/AutomobileAccidentInsurance-ThirdPartyFireAndTheft,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AutomobileAccidentInsurance-ThirdPartyFireAndTheft,rdfs:subClassOf,http://kbpedia.org/kko/rc/TheftInsurance
http://kbpedia.org/kko/rc/AutomobileAccidentInsurance-ThirdPartyFireAndTheft,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AutomobileAccidentInsurance-ThirdPartyFireAndTheft,rdfs:subClassOf,http://kbpedia.org/kko/rc/InsurancePlan
http://kbpedia.org/kko/rc/AutomobileAccidentInsurance-ThirdPartyFireAndTheft,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ViolentConflict,rdfs:subClassOf,http://kbpedia.org/kko/rc/ConflictEvent
http://kbpedia.org/kko/rc/ViolentConflict,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ViolentConflict,rdfs:subClassOf,http://kbpedia.org/kko/rc/ViolentAction
http://kbpedia.org/kko/rc/ViolentConflict,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GuiltyVerdict,rdfs:subClassOf,http://kbpedia.org/kko/rc/Trial
http://kbpedia.org/kko/rc/GuiltyVerdict,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Chess,rdfs:subClassOf,http://kbpedia.org/kko/rc/BoardGame
http://kbpedia.org/kko/rc/Chess,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SubmarineOperation,rdfs:subClassOf,http://kbpedia.org/kko/rc/NavalMilitaryOperation
http://kbpedia.org/kko/rc/SubmarineOperation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HindustaniMusic,rdfs:subClassOf,http://kbpedia.org/kko/rc/ClassicalIndian-StyleOfDance
http://kbpedia.org/kko/rc/HindustaniMusic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SoftwareDevelopmentProcess-Complete,rdfs:subClassOf,http://kbpedia.org/kko/rc/IBOCreation
http://kbpedia.org/kko/rc/SoftwareDevelopmentProcess-Complete,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SoftwareDevelopmentProcess-Complete,rdfs:subClassOf,http://kbpedia.org/kko/rc/SoftwareDevelopment
http://kbpedia.org/kko/rc/SoftwareDevelopmentProcess-Complete,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CommercialSolicitation,rdfs:subClassOf,http://kbpedia.org/kko/rc/CommercialProposal
http://kbpedia.org/kko/rc/CommercialSolicitation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CommercialSolicitation,rdfs:subClassOf,http://kbpedia.org/kko/rc/Solicitation
http://kbpedia.org/kko/rc/CommercialSolicitation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryOfficer,rdfs:subClassOf,http://kbpedia.org/kko/rc/MilitaryPerson
http://kbpedia.org/kko/rc/MilitaryOfficer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryOfficer,rdfs:subClassOf,http://kbpedia.org/kko/rc/OfficerInOrganization
http://kbpedia.org/kko/rc/MilitaryOfficer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Mathematician,rdfs:subClassOf,http://kbpedia.org/kko/rc/Scientist
http://kbpedia.org/kko/rc/Mathematician,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Ictinus,rdfs:subClassOf,http://kbpedia.org/kko/rc/Architect
http://kbpedia.org/kko/rc/Ictinus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ReplenishmentOiler,rdfs:subClassOf,http://kbpedia.org/kko/rc/OilTanker
http://kbpedia.org/kko/rc/ReplenishmentOiler,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ReplenishmentOiler,rdfs:subClassOf,http://kbpedia.org/kko/rc/UnderwayReplenishmentShip
http://kbpedia.org/kko/rc/ReplenishmentOiler,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/UsingAnObject,rdfs:subClassOf,http://kbpedia.org/kko/rc/PurposefulPhysicalAction
http://kbpedia.org/kko/rc/UsingAnObject,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/UsingAnObject,rdfs:subClassOf,http://kbpedia.org/kko/rc/IntelligentAgentActivity
http://kbpedia.org/kko/rc/UsingAnObject,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PrecambrianVolcanism,rdfs:subClassOf,http://kbpedia.org/kko/rc/Precambrian-GeologicalSupereon
http://kbpedia.org/kko/rc/PrecambrianVolcanism,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FifthCrusade,rdfs:subClassOf,http://kbpedia.org/kko/rc/Crusade
http://kbpedia.org/kko/rc/FifthCrusade,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/LogLinearModel,rdfs:subClassOf,http://kbpedia.org/kko/rc/MachineLearning
http://kbpedia.org/kko/rc/LogLinearModel,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/LogLinearModel,rdfs:subClassOf,http://kbpedia.org/kko/rc/Models
http://kbpedia.org/kko/rc/LogLinearModel,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WalkInFreezer,rdfs:subClassOf,http://kbpedia.org/kko/rc/IndustrialFreezer
http://kbpedia.org/kko/rc/WalkInFreezer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GenderBasedViolence,rdfs:subClassOf,http://kbpedia.org/kko/rc/ViolentAction
http://kbpedia.org/kko/rc/GenderBasedViolence,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WitchTrial,rdfs:subClassOf,http://kbpedia.org/kko/rc/Trial
http://kbpedia.org/kko/rc/WitchTrial,rdfs:subClassOf,owl:Thing
