id,subClassOf,parent
http://kbpedia.org/kko/rc/Agung,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Agung,rdfs:subClassOf,http://kbpedia.org/kko/rc/Kulintang
http://kbpedia.org/kko/rc/AlarmSignal,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AlarmSignal,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AlarmSignal,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AlarmSignal,rdfs:subClassOf,http://kbpedia.org/kko/rc/SoundsByType
http://kbpedia.org/kko/rc/AlarmSignal,rdfs:subClassOf,http://kbpedia.org/kko/rc/Sound
http://kbpedia.org/kko/rc/AlarmSignal,rdfs:subClassOf,http://kbpedia.org/kko/rc/Signal
http://kbpedia.org/kko/rc/AlarmSound,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AlarmSound,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AlarmSound,rdfs:subClassOf,http://kbpedia.org/kko/rc/SoundInformationBearingThing
http://kbpedia.org/kko/rc/AlarmSound,rdfs:subClassOf,http://kbpedia.org/kko/rc/AlarmSignal
http://kbpedia.org/kko/rc/Album,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Album,rdfs:subClassOf,http://kbpedia.org/kko/rc/AudioConceptualWork
http://kbpedia.org/kko/rc/Album-IBO,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Album-IBO,rdfs:subClassOf,http://kbpedia.org/kko/rc/RecordedSoundProduct
http://kbpedia.org/kko/rc/AlternativeRockGenre,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AlternativeRockGenre,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AlternativeRockGenre,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AlternativeRockGenre,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicTypeByGenre
http://kbpedia.org/kko/rc/AlternativeRockGenre,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicalComposition-AlternativeRock
http://kbpedia.org/kko/rc/AlternativeRockGenre,rdfs:subClassOf,http://kbpedia.org/kko/rc/AlternativeRockMusic
http://kbpedia.org/kko/rc/AlternativeRockMusic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AlternativeRockMusic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AlternativeRockMusic,rdfs:subClassOf,owl:Thing
