id,subClassOf,parent
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,http://kbpedia.org/kko/rc/CellCyclePhaseType
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,http://kbpedia.org/kko/rc/EukaryoticCellDivision
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,http://kbpedia.org/kko/rc/RoundOfCellDivision
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,http://kbpedia.org/kko/rc/CellDivision
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,http://kbpedia.org/kko/rc/BiologicalDestructionEvent
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,http://kbpedia.org/kko/rc/BiologicalProductionEvent
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,http://kbpedia.org/kko/rc/SingleCellBiologicalProcess
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,http://kbpedia.org/kko/rc/BiologicalProcess-CellularLevel
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BioregulatorType,rdfs:subClassOf,http://kbpedia.org/ontologies/kko#BiologicalProcesses
http://kbpedia.org/kko/rc/BioregulatorType,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Staling-Urinating,rdfs:subClassOf,http://kbpedia.org/kko/rc/Urinating
http://kbpedia.org/kko/rc/Staling-Urinating,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EukaryoticRNAProcessing,rdfs:subClassOf,http://kbpedia.org/kko/rc/BiologicalProcess-CellularLevel
http://kbpedia.org/kko/rc/EukaryoticRNAProcessing,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EukaryoticRNAProcessing,rdfs:subClassOf,http://kbpedia.org/kko/rc/ChemicalProcessing
http://kbpedia.org/kko/rc/EukaryoticRNAProcessing,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EukaryoticRNAProcessing,rdfs:subClassOf,http://kbpedia.org/kko/rc/OrganicReaction
http://kbpedia.org/kko/rc/EukaryoticRNAProcessing,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EukaryoticRNAProcessing,rdfs:subClassOf,http://kbpedia.org/kko/rc/BiologicalChangeEvent
http://kbpedia.org/kko/rc/EukaryoticRNAProcessing,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EukaryoticRNAProcessing,rdfs:subClassOf,http://kbpedia.org/kko/rc/IntrinsicStateChangeEvent
http://kbpedia.org/kko/rc/EukaryoticRNAProcessing,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Photosynthesis-Bacterial,rdfs:subClassOf,http://kbpedia.org/kko/rc/Photosynthesis-Generic
http://kbpedia.org/kko/rc/Photosynthesis-Bacterial,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HumanHomeostasis,rdfs:subClassOf,http://kbpedia.org/kko/rc/Homeostasis
http://kbpedia.org/kko/rc/HumanHomeostasis,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AnimalLifeCycle,rdfs:subClassOf,http://kbpedia.org/kko/rc/DiplonticLifeCycle
http://kbpedia.org/kko/rc/AnimalLifeCycle,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FermentationInFoodProcessing,rdfs:subClassOf,http://kbpedia.org/kko/rc/Fermentation
http://kbpedia.org/kko/rc/FermentationInFoodProcessing,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Photosynthesis-Generic,rdfs:subClassOf,http://kbpedia.org/kko/rc/BiochemicalSynthesis
http://kbpedia.org/kko/rc/Photosynthesis-Generic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Photosynthesis-Generic,rdfs:subClassOf,http://kbpedia.org/kko/rc/PhysiologicalFunction
http://kbpedia.org/kko/rc/Photosynthesis-Generic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Photosynthesis-Generic,rdfs:subClassOf,http://kbpedia.org/kko/rc/Production-Generic
http://kbpedia.org/kko/rc/Photosynthesis-Generic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BiologicalIntakeEvent,rdfs:subClassOf,http://kbpedia.org/kko/rc/ExposureOfOrganismToSubstance
http://kbpedia.org/kko/rc/BiologicalIntakeEvent,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BiologicalIntakeEvent,rdfs:subClassOf,http://kbpedia.org/kko/rc/TransferIn
http://kbpedia.org/kko/rc/BiologicalIntakeEvent,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BiologicalIntakeEvent,rdfs:subClassOf,http://kbpedia.org/kko/rc/TranslationAlongInternalLivingStructure
http://kbpedia.org/kko/rc/BiologicalIntakeEvent,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Metaphase-Generic,rdfs:subClassOf,http://kbpedia.org/kko/rc/AligningOfChromosomes
http://kbpedia.org/kko/rc/Metaphase-Generic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Metaphase-Generic,rdfs:subClassOf,http://kbpedia.org/kko/rc/MitosisSubprocessType
http://kbpedia.org/kko/rc/Metaphase-Generic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Metaphase-Generic,rdfs:subClassOf,http://kbpedia.org/kko/rc/PhysicalTransformationEvent
http://kbpedia.org/kko/rc/Metaphase-Generic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Metaphase-Generic,rdfs:subClassOf,http://kbpedia.org/kko/rc/SingleCellBiologicalProcess
http://kbpedia.org/kko/rc/Metaphase-Generic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GeneExpression,rdfs:subClassOf,http://kbpedia.org/kko/rc/BiologicalProcess-CellularLevel
http://kbpedia.org/kko/rc/GeneExpression,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Estivating,rdfs:subClassOf,http://kbpedia.org/kko/rc/Sleeping
http://kbpedia.org/kko/rc/Estivating,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CellMembraneInwardGrowthAndSeparationOfCells,rdfs:subClassOf,http://kbpedia.org/kko/rc/BiologicalDestructionEvent
http://kbpedia.org/kko/rc/CellMembraneInwardGrowthAndSeparationOfCells,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CellMembraneInwardGrowthAndSeparationOfCells,rdfs:subClassOf,http://kbpedia.org/kko/rc/BiologicalProductionEvent
http://kbpedia.org/kko/rc/CellMembraneInwardGrowthAndSeparationOfCells,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CellMembraneInwardGrowthAndSeparationOfCells,rdfs:subClassOf,http://kbpedia.org/kko/rc/SingleCellBiologicalProcess
http://kbpedia.org/kko/rc/CellMembraneInwardGrowthAndSeparationOfCells,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Cannibalism,rdfs:subClassOf,http://kbpedia.org/kko/rc/Ingesting
http://kbpedia.org/kko/rc/Cannibalism,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BiogenicSulfideCorrosion,rdfs:subClassOf,http://kbpedia.org/kko/rc/BiologicalProcess
http://kbpedia.org/kko/rc/BiogenicSulfideCorrosion,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SisterChromosomeMovesToPole-Mitosis,rdfs:subClassOf,http://kbpedia.org/kko/rc/ChromosomeMovesToPole
http://kbpedia.org/kko/rc/SisterChromosomeMovesToPole-Mitosis,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Shedding,rdfs:subClassOf,http://kbpedia.org/kko/rc/BodilyFunctionEvent
http://kbpedia.org/kko/rc/Shedding,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HavingAnOrgasm,rdfs:subClassOf,http://kbpedia.org/kko/rc/BodilyFunctionEvent-Involuntary
http://kbpedia.org/kko/rc/HavingAnOrgasm,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Defecating,rdfs:subClassOf,http://kbpedia.org/kko/rc/Excreting
http://kbpedia.org/kko/rc/Defecating,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Defecating,rdfs:subClassOf,http://kbpedia.org/kko/rc/PhysiologicalProcess
http://kbpedia.org/kko/rc/Defecating,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Aspirating,rdfs:subClassOf,http://kbpedia.org/kko/rc/Inhaling
http://kbpedia.org/kko/rc/Aspirating,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Anaphase,rdfs:subClassOf,http://kbpedia.org/kko/rc/Elongation
http://kbpedia.org/kko/rc/Anaphase,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Anaphase,rdfs:subClassOf,http://kbpedia.org/kko/rc/MitosisSubprocessType
http://kbpedia.org/kko/rc/Anaphase,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Anaphase,rdfs:subClassOf,http://kbpedia.org/kko/rc/MovementEvent
http://kbpedia.org/kko/rc/Anaphase,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Respiration-Bacterium,rdfs:subClassOf,http://kbpedia.org/kko/rc/CellularRespiration-Aerobic
http://kbpedia.org/kko/rc/Respiration-Bacterium,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MenstrualDisorder,rdfs:subClassOf,http://kbpedia.org/kko/rc/Menstruating
http://kbpedia.org/kko/rc/MenstrualDisorder,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Gumming,rdfs:subClassOf,http://kbpedia.org/kko/rc/ExudingSomething
http://kbpedia.org/kko/rc/Gumming,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Insomnia,rdfs:subClassOf,http://kbpedia.org/kko/rc/SleepDisorder
http://kbpedia.org/kko/rc/Insomnia,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AnatomicalStructureDevelopment,rdfs:subClassOf,http://kbpedia.org/kko/rc/AnatomicalStructure
http://kbpedia.org/kko/rc/AnatomicalStructureDevelopment,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AnatomicalStructureDevelopment,rdfs:subClassOf,http://kbpedia.org/kko/rc/BiologicalProcess
http://kbpedia.org/kko/rc/AnatomicalStructureDevelopment,rdfs:subClassOf,owl:Thing
