id,subClassOf,parent
http://kbpedia.org/kko/rc/LoungeMusic,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicTypeOpenGenre
http://kbpedia.org/kko/rc/LoungeMusic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/LongJumpTrack,rdfs:subClassOf,http://kbpedia.org/kko/rc/SportsTrack
http://kbpedia.org/kko/rc/LongJumpTrack,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SugarMill-ManufacturingFacility,rdfs:subClassOf,http://kbpedia.org/kko/rc/Mill-ManufacturingFacility
http://kbpedia.org/kko/rc/SugarMill-ManufacturingFacility,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BistroSpace,rdfs:subClassOf,http://kbpedia.org/kko/rc/RestaurantSpace
http://kbpedia.org/kko/rc/BistroSpace,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/UnitedStatesArmyUniform,rdfs:subClassOf,http://kbpedia.org/kko/rc/MilitaryUniform
http://kbpedia.org/kko/rc/UnitedStatesArmyUniform,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Iphone6,rdfs:subClassOf,http://kbpedia.org/kko/rc/IPhone-AppleCellphone
http://kbpedia.org/kko/rc/Iphone6,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AncientEgyptianArchitecture,rdfs:subClassOf,http://kbpedia.org/kko/rc/EgyptianArchitecturalStyle
http://kbpedia.org/kko/rc/AncientEgyptianArchitecture,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryBase-Grounds,rdfs:subClassOf,http://kbpedia.org/kko/rc/ContactLocation
http://kbpedia.org/kko/rc/MilitaryBase-Grounds,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryBase-Grounds,rdfs:subClassOf,http://kbpedia.org/kko/rc/GroundsOfOrganization
http://kbpedia.org/kko/rc/MilitaryBase-Grounds,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryBase-Grounds,rdfs:subClassOf,http://kbpedia.org/kko/rc/MilitaryFacility
http://kbpedia.org/kko/rc/MilitaryBase-Grounds,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RoushCar,rdfs:subClassOf,http://kbpedia.org/kko/rc/AmericanAutomobile
http://kbpedia.org/kko/rc/RoushCar,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RoushCar,rdfs:subClassOf,http://kbpedia.org/kko/rc/SportsCar
http://kbpedia.org/kko/rc/RoushCar,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CirrusCloud,rdfs:subClassOf,http://kbpedia.org/kko/rc/High-LevelCloud
http://kbpedia.org/kko/rc/CirrusCloud,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CirrusCloud,rdfs:subClassOf,http://kbpedia.org/kko/rc/IceCloud
http://kbpedia.org/kko/rc/CirrusCloud,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CirrusCloud,rdfs:subClassOf,http://kbpedia.org/kko/rc/IceCloudstuff
http://kbpedia.org/kko/rc/CirrusCloud,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BusStop,rdfs:subClassOf,http://kbpedia.org/kko/rc/PortFacility
http://kbpedia.org/kko/rc/BusStop,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BusStop,rdfs:subClassOf,http://kbpedia.org/kko/rc/StationTerminalOrStop
http://kbpedia.org/kko/rc/BusStop,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BusStop,rdfs:subClassOf,http://kbpedia.org/kko/rc/TransportFacility
http://kbpedia.org/kko/rc/BusStop,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FormulaThreeSeason,rdfs:subClassOf,http://kbpedia.org/kko/rc/RacingSeason
http://kbpedia.org/kko/rc/FormulaThreeSeason,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Nervous,rdfs:subClassOf,http://kbpedia.org/kko/rc/EmotionalQuantityType
http://kbpedia.org/kko/rc/Nervous,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ClassicalArchitecture,rdfs:subClassOf,http://kbpedia.org/kko/rc/ArchitecturalTypeByStyle
http://kbpedia.org/kko/rc/ClassicalArchitecture,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AnimatedFeatureFilm,rdfs:subClassOf,http://kbpedia.org/kko/rc/AnimatedMovie
http://kbpedia.org/kko/rc/AnimatedFeatureFilm,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PrecambrianNorthAmerica,rdfs:subClassOf,http://kbpedia.org/kko/rc/Precambrian-GeologicalSupereon
http://kbpedia.org/kko/rc/PrecambrianNorthAmerica,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ArrangersOfChurchMusic,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicalComposition-Christian
http://kbpedia.org/kko/rc/ArrangersOfChurchMusic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Fear,rdfs:subClassOf,http://kbpedia.org/kko/rc/Displeasure
http://kbpedia.org/kko/rc/Fear,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/LitBrightEnoughForSeeing,rdfs:subClassOf,http://kbpedia.org/kko/rc/LitAtIndoorIlluminationLevel
http://kbpedia.org/kko/rc/LitBrightEnoughForSeeing,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Cabin,rdfs:subClassOf,http://kbpedia.org/kko/rc/House-Country
http://kbpedia.org/kko/rc/Cabin,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Teleportation,rdfs:subClassOf,http://kbpedia.org/kko/rc/PropositionalConceptualWork-ScienceFictionGenre
http://kbpedia.org/kko/rc/Teleportation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Teleportation,rdfs:subClassOf,http://kbpedia.org/kko/rc/QuantumMechanics
http://kbpedia.org/kko/rc/Teleportation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PropositionalConceptualWork-BiblicalEpicGenre,rdfs:subClassOf,http://kbpedia.org/kko/rc/PropositionalConceptualWork-Genre
http://kbpedia.org/kko/rc/PropositionalConceptualWork-BiblicalEpicGenre,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/NavigationDam,rdfs:subClassOf,http://kbpedia.org/kko/rc/Dam
http://kbpedia.org/kko/rc/NavigationDam,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MedievalInternationalRelations,rdfs:subClassOf,http://kbpedia.org/kko/rc/TheMiddleAges
http://kbpedia.org/kko/rc/MedievalInternationalRelations,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/KootenayNationalPark,rdfs:subClassOf,http://kbpedia.org/kko/rc/NationalPark
http://kbpedia.org/kko/rc/KootenayNationalPark,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ArtPop,rdfs:subClassOf,http://kbpedia.org/kko/rc/PopMusicGenre
http://kbpedia.org/kko/rc/ArtPop,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DrivingRange,rdfs:subClassOf,http://kbpedia.org/kko/rc/GolfingArea
http://kbpedia.org/kko/rc/DrivingRange,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/NuclearReactorContainmentBuilding,rdfs:subClassOf,http://kbpedia.org/kko/rc/NuclearPowerPlantBuilding
http://kbpedia.org/kko/rc/NuclearReactorContainmentBuilding,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/VulgarSpeech,rdfs:subClassOf,http://kbpedia.org/kko/rc/UsingProfanity
http://kbpedia.org/kko/rc/VulgarSpeech,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HudsonRiverPark,rdfs:subClassOf,http://kbpedia.org/kko/rc/Park
http://kbpedia.org/kko/rc/HudsonRiverPark,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SatelliteFacility,rdfs:subClassOf,http://kbpedia.org/kko/rc/CommercialBuilding
http://kbpedia.org/kko/rc/SatelliteFacility,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Hourglass,rdfs:subClassOf,http://kbpedia.org/kko/rc/Clock
http://kbpedia.org/kko/rc/Hourglass,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Airfield,rdfs:subClassOf,http://kbpedia.org/kko/rc/Airport-Physical
http://kbpedia.org/kko/rc/Airfield,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Airfield,rdfs:subClassOf,http://kbpedia.org/kko/rc/TransportBuildingStructure
http://kbpedia.org/kko/rc/Airfield,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AsianNationalism,rdfs:subClassOf,http://kbpedia.org/kko/rc/Nationalism
http://kbpedia.org/kko/rc/AsianNationalism,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AfricaDay,rdfs:subClassOf,http://kbpedia.org/kko/rc/ObservanceDay
http://kbpedia.org/kko/rc/AfricaDay,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Night,rdfs:subClassOf,http://kbpedia.org/kko/rc/QualitativeTimeOfDay
http://kbpedia.org/kko/rc/Night,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RapidTransitLine,rdfs:subClassOf,http://kbpedia.org/kko/rc/RailwayLine
http://kbpedia.org/kko/rc/RapidTransitLine,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RapidTransitLine,rdfs:subClassOf,http://kbpedia.org/kko/rc/RapidTransit
http://kbpedia.org/kko/rc/RapidTransitLine,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RapidTransitLine,rdfs:subClassOf,http://kbpedia.org/kko/rc/Subway
http://kbpedia.org/kko/rc/RapidTransitLine,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/IndyRacingLeagueSeason,rdfs:subClassOf,http://kbpedia.org/kko/rc/RacingSeason
http://kbpedia.org/kko/rc/IndyRacingLeagueSeason,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ManMadeObstacle,rdfs:subClassOf,http://kbpedia.org/kko/rc/DefenseBuildingStructure
http://kbpedia.org/kko/rc/ManMadeObstacle,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ManMadeObstacle,rdfs:subClassOf,http://kbpedia.org/kko/rc/Obstacle
http://kbpedia.org/kko/rc/ManMadeObstacle,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ManMadeObstacle,rdfs:subClassOf,http://kbpedia.org/kko/rc/PathArtifactSystem
http://kbpedia.org/kko/rc/ManMadeObstacle,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ManMadeObstacle,rdfs:subClassOf,http://kbpedia.org/kko/rc/BuildingStructure
http://kbpedia.org/kko/rc/ManMadeObstacle,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ManMadeObstacle,rdfs:subClassOf,http://kbpedia.org/kko/rc/ManMadeThing
http://kbpedia.org/kko/rc/ManMadeObstacle,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sympathy,rdfs:subClassOf,http://kbpedia.org/kko/rc/EmotionalQuantityType
http://kbpedia.org/kko/rc/Sympathy,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sympathy,rdfs:subClassOf,http://kbpedia.org/kko/rc/FeelingAttribute
http://kbpedia.org/kko/rc/Sympathy,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ClassicistArchitecture,rdfs:subClassOf,http://kbpedia.org/kko/rc/ArchitecturalTypeByStyle
http://kbpedia.org/kko/rc/ClassicistArchitecture,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CompositionWithSoloistAndAccompaniment,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicalComposition-Classical
http://kbpedia.org/kko/rc/CompositionWithSoloistAndAccompaniment,rdfs:subClassOf,owl:Thing
