id,subClassOf,parent
http://kbpedia.org/kko/rc/InternalIliacArtery,rdfs:subClassOf,http://kbpedia.org/kko/rc/SystemicArtery
http://kbpedia.org/kko/rc/InternalIliacArtery,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/TrigeminalNerve,rdfs:subClassOf,http://kbpedia.org/kko/rc/CranialNerve
http://kbpedia.org/kko/rc/TrigeminalNerve,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/TrigeminalNerve,rdfs:subClassOf,http://kbpedia.org/kko/rc/SensoryMotorNerve
http://kbpedia.org/kko/rc/TrigeminalNerve,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CranialNerve,rdfs:subClassOf,http://kbpedia.org/kko/rc/Nerve
http://kbpedia.org/kko/rc/CranialNerve,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EnginesByCylinderLayout,rdfs:subClassOf,http://kbpedia.org/kko/rc/InternalCombustionEngine
http://kbpedia.org/kko/rc/EnginesByCylinderLayout,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Bladder-Urinary,rdfs:subClassOf,http://kbpedia.org/kko/rc/InternalOrgan
http://kbpedia.org/kko/rc/Bladder-Urinary,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Bladder-Urinary,rdfs:subClassOf,http://kbpedia.org/kko/rc/Sac-Organic
http://kbpedia.org/kko/rc/Bladder-Urinary,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,http://kbpedia.org/kko/rc/AnimalBodyPart
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,http://kbpedia.org/kko/rc/Fur
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,http://kbpedia.org/kko/rc/NonPoweredDevice
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,http://kbpedia.org/kko/rc/AnimalMaterial
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Malar,rdfs:subClassOf,http://kbpedia.org/kko/rc/FacialBone
http://kbpedia.org/kko/rc/Malar,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Malar,rdfs:subClassOf,http://kbpedia.org/kko/rc/IrregularBone
http://kbpedia.org/kko/rc/Malar,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Leaf,rdfs:subClassOf,http://kbpedia.org/kko/rc/BotanicalOrgan
http://kbpedia.org/kko/rc/Leaf,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Leaf,rdfs:subClassOf,http://kbpedia.org/kko/rc/ExternalAnatomicalPart
http://kbpedia.org/kko/rc/Leaf,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Hair-Strand,rdfs:subClassOf,http://kbpedia.org/kko/rc/AnimalBodyPart
http://kbpedia.org/kko/rc/Hair-Strand,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Hair-Strand,rdfs:subClassOf,http://kbpedia.org/kko/rc/ExtrudedBodyPart
http://kbpedia.org/kko/rc/Hair-Strand,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Hair-Strand,rdfs:subClassOf,http://kbpedia.org/kko/rc/Protrusion
http://kbpedia.org/kko/rc/Hair-Strand,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AutoAMRadio,rdfs:subClassOf,http://kbpedia.org/kko/rc/AMState
http://kbpedia.org/kko/rc/AutoAMRadio,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AutoAMRadio,rdfs:subClassOf,http://kbpedia.org/kko/rc/AutomobileRadio
http://kbpedia.org/kko/rc/AutoAMRadio,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FlexorPollicisLongus,rdfs:subClassOf,http://kbpedia.org/kko/rc/SkeletalMuscle
http://kbpedia.org/kko/rc/FlexorPollicisLongus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/TelephoneNumberSignalGenerator,rdfs:subClassOf,http://kbpedia.org/kko/rc/ElectricalComponent
http://kbpedia.org/kko/rc/TelephoneNumberSignalGenerator,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WindowPortal,rdfs:subClassOf,http://kbpedia.org/kko/rc/PartOfBuilding
http://kbpedia.org/kko/rc/WindowPortal,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WindowPortal,rdfs:subClassOf,http://kbpedia.org/kko/rc/Portal
http://kbpedia.org/kko/rc/WindowPortal,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SubfieldOfPaleontology,rdfs:subClassOf,http://kbpedia.org/kko/rc/Paleontology
http://kbpedia.org/kko/rc/SubfieldOfPaleontology,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SubfieldOfPaleontology,rdfs:subClassOf,http://kbpedia.org/kko/rc/Subfield
http://kbpedia.org/kko/rc/SubfieldOfPaleontology,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Trunk-TheAppendage,rdfs:subClassOf,http://kbpedia.org/kko/rc/Nose
http://kbpedia.org/kko/rc/Trunk-TheAppendage,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AutomotiveDoor,rdfs:subClassOf,http://kbpedia.org/kko/rc/VehicleDoor
http://kbpedia.org/kko/rc/AutomotiveDoor,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/TrackballRoller,rdfs:subClassOf,http://kbpedia.org/kko/rc/ComputerInputDevice
http://kbpedia.org/kko/rc/TrackballRoller,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/Device-UserControlled
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/DistanceMeasuringDevice
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/MechanicalDevice
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/NavigationDevice
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/NavigationalEquipmentInstrument
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/VehiclePart
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/LeftGastricArtery,rdfs:subClassOf,http://kbpedia.org/kko/rc/SystemicArtery
http://kbpedia.org/kko/rc/LeftGastricArtery,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Ovule,rdfs:subClassOf,http://kbpedia.org/kko/rc/Gynoecium
http://kbpedia.org/kko/rc/Ovule,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MitralValve,rdfs:subClassOf,http://kbpedia.org/kko/rc/AtrioventricularValve
http://kbpedia.org/kko/rc/MitralValve,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Amyloplast,rdfs:subClassOf,http://kbpedia.org/kko/rc/Leucoplast
http://kbpedia.org/kko/rc/Amyloplast,rdfs:subClassOf,owl:Thing
