id,subClassOf,parent
http://kbpedia.org/kko/rc/AmnioticBandSyndrome,rdfs:subClassOf,http://kbpedia.org/kko/rc/DiseaseType
http://kbpedia.org/kko/rc/AmnioticBandSyndrome,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Infection,rdfs:subClassOf,http://kbpedia.org/kko/rc/AilmentCondition
http://kbpedia.org/kko/rc/Infection,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SexuallyTransmittedInfection,rdfs:subClassOf,http://kbpedia.org/kko/rc/CloseContactTransmittedInfection
http://kbpedia.org/kko/rc/SexuallyTransmittedInfection,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MarburgVirusDisease,rdfs:subClassOf,http://kbpedia.org/kko/rc/ViralHemorrhagicFeverInfection
http://kbpedia.org/kko/rc/MarburgVirusDisease,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/LactoseIntolerance,rdfs:subClassOf,http://kbpedia.org/kko/rc/AilmentCondition
http://kbpedia.org/kko/rc/LactoseIntolerance,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ViralHepatitis,rdfs:subClassOf,http://kbpedia.org/kko/rc/Hepatitis
http://kbpedia.org/kko/rc/ViralHepatitis,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ViralHepatitis,rdfs:subClassOf,http://kbpedia.org/kko/rc/ViralInfection
http://kbpedia.org/kko/rc/ViralHepatitis,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Oropouche,rdfs:subClassOf,http://kbpedia.org/kko/rc/VectorBorneInfection
http://kbpedia.org/kko/rc/Oropouche,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Oropouche,rdfs:subClassOf,http://kbpedia.org/kko/rc/ViralInfection
http://kbpedia.org/kko/rc/Oropouche,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Mania,rdfs:subClassOf,http://kbpedia.org/kko/rc/DiseaseType
http://kbpedia.org/kko/rc/Mania,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SmallpoxEpidemic,rdfs:subClassOf,http://kbpedia.org/kko/rc/SmallpoxInfection
http://kbpedia.org/kko/rc/SmallpoxEpidemic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GastrointestinalDisorder,rdfs:subClassOf,http://kbpedia.org/kko/rc/AilmentCondition
http://kbpedia.org/kko/rc/GastrointestinalDisorder,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ChildPoverty,rdfs:subClassOf,http://kbpedia.org/kko/rc/Malnutrition
http://kbpedia.org/kko/rc/ChildPoverty,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ChildPoverty,rdfs:subClassOf,http://kbpedia.org/kko/rc/Poverty
http://kbpedia.org/kko/rc/ChildPoverty,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Non-HodgkinLymphoma,rdfs:subClassOf,http://kbpedia.org/kko/rc/AilmentCondition
http://kbpedia.org/kko/rc/Non-HodgkinLymphoma,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ProteinenergyMalnutrition,rdfs:subClassOf,http://kbpedia.org/kko/rc/Malnutrition
http://kbpedia.org/kko/rc/ProteinenergyMalnutrition,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Healthy,rdfs:subClassOf,http://kbpedia.org/kko/rc/BLOTypeByGenericHealthStatus
http://kbpedia.org/kko/rc/Healthy,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Healthy,rdfs:subClassOf,http://kbpedia.org/kko/rc/BiologicallyViable
