id,subClassOf,parent
http://kbpedia.org/kko/rc/Buying-HumanResidence,rdfs:subClassOf,http://kbpedia.org/kko/rc/Buying-RealEstate
http://kbpedia.org/kko/rc/Buying-HumanResidence,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Buying-HumanResidence,rdfs:subClassOf,http://kbpedia.org/kko/rc/BuyingAnObject
http://kbpedia.org/kko/rc/Buying-HumanResidence,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Buying-HumanResidence,rdfs:subClassOf,http://kbpedia.org/kko/rc/Buying
http://kbpedia.org/kko/rc/Buying-HumanResidence,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PublicRelationsActivity,rdfs:subClassOf,http://kbpedia.org/kko/rc/BusinessActivity
http://kbpedia.org/kko/rc/PublicRelationsActivity,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PublicRelationsActivity,rdfs:subClassOf,http://kbpedia.org/kko/rc/MassCommunicating
http://kbpedia.org/kko/rc/PublicRelationsActivity,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/InvestmentPortfolio,rdfs:subClassOf,http://kbpedia.org/kko/rc/InvestmentVehicle
http://kbpedia.org/kko/rc/InvestmentPortfolio,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AdvertisingRegulation,rdfs:subClassOf,http://kbpedia.org/kko/rc/Advertising
http://kbpedia.org/kko/rc/AdvertisingRegulation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AdvertisingRegulation,rdfs:subClassOf,http://kbpedia.org/kko/rc/Regulation
http://kbpedia.org/kko/rc/AdvertisingRegulation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AdvertisingRegulation,rdfs:subClassOf,http://kbpedia.org/kko/rc/RegulatingASectorOrIndustry
http://kbpedia.org/kko/rc/AdvertisingRegulation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MarketTrough,rdfs:subClassOf,http://kbpedia.org/kko/rc/MarketTrend
http://kbpedia.org/kko/rc/MarketTrough,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/VentureCapital,rdfs:subClassOf,http://kbpedia.org/kko/rc/StockMarketInvesting
http://kbpedia.org/kko/rc/VentureCapital,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/VentureCapital,rdfs:subClassOf,http://kbpedia.org/kko/rc/Investing
http://kbpedia.org/kko/rc/VentureCapital,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SocialAgreement,rdfs:subClassOf,http://kbpedia.org/kko/rc/Agreement
http://kbpedia.org/kko/rc/SocialAgreement,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/StraightLoan,rdfs:subClassOf,http://kbpedia.org/kko/rc/LoanAgreement
http://kbpedia.org/kko/rc/StraightLoan,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AirlineReservation,rdfs:subClassOf,http://kbpedia.org/kko/rc/TravelReservation
http://kbpedia.org/kko/rc/AirlineReservation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BusinessPlanDocument,rdfs:subClassOf,http://kbpedia.org/kko/rc/BusinessRelatedDocumentOrAgreement
http://kbpedia.org/kko/rc/BusinessPlanDocument,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BusinessPlanDocument,rdfs:subClassOf,http://kbpedia.org/kko/rc/WebPage
http://kbpedia.org/kko/rc/BusinessPlanDocument,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BusinessPlanDocument,rdfs:subClassOf,http://kbpedia.org/kko/rc/NonfictionalPCW
http://kbpedia.org/kko/rc/BusinessPlanDocument,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BusinessPlanDocument,rdfs:subClassOf,http://kbpedia.org/kko/rc/TextualPCW
http://kbpedia.org/kko/rc/BusinessPlanDocument,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MakingABankWithdrawal,rdfs:subClassOf,http://kbpedia.org/kko/rc/BankTransaction
http://kbpedia.org/kko/rc/MakingABankWithdrawal,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MakingABankWithdrawal,rdfs:subClassOf,http://kbpedia.org/kko/rc/BankingInvestment
http://kbpedia.org/kko/rc/MakingABankWithdrawal,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MakingABankWithdrawal,rdfs:subClassOf,http://kbpedia.org/kko/rc/ServiceEvent
http://kbpedia.org/kko/rc/MakingABankWithdrawal,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/InsurancePlan-JointCoverage,rdfs:subClassOf,http://kbpedia.org/kko/rc/InsurancePlan
http://kbpedia.org/kko/rc/InsurancePlan-JointCoverage,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/StockTrading,rdfs:subClassOf,http://kbpedia.org/kko/rc/FinancialInstrumentTrading
http://kbpedia.org/kko/rc/StockTrading,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/StockTrading,rdfs:subClassOf,http://kbpedia.org/kko/rc/Investing
http://kbpedia.org/kko/rc/StockTrading,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HalfEagleCoin-US,rdfs:subClassOf,http://kbpedia.org/kko/rc/Coin-US
http://kbpedia.org/kko/rc/HalfEagleCoin-US,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HalfEagleCoin-US,rdfs:subClassOf,http://kbpedia.org/kko/rc/GoldColor
http://kbpedia.org/kko/rc/HalfEagleCoin-US,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DomainNameRegistration,rdfs:subClassOf,http://kbpedia.org/kko/rc/GainingUserRights
http://kbpedia.org/kko/rc/DomainNameRegistration,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DomainNameRegistration,rdfs:subClassOf,http://kbpedia.org/kko/rc/RegisteringForAService
http://kbpedia.org/kko/rc/DomainNameRegistration,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ProductPlanning,rdfs:subClassOf,http://kbpedia.org/kko/rc/MarketingActivity
http://kbpedia.org/kko/rc/ProductPlanning,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CurrenciesWithMultipleBanknoteIssuers,rdfs:subClassOf,http://kbpedia.org/kko/rc/Currency
http://kbpedia.org/kko/rc/CurrenciesWithMultipleBanknoteIssuers,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/LosingUserRights,rdfs:subClassOf,http://kbpedia.org/kko/rc/ChangeInUserRights
http://kbpedia.org/kko/rc/LosingUserRights,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/LosingUserRights,rdfs:subClassOf,http://kbpedia.org/kko/rc/TransferOut
http://kbpedia.org/kko/rc/LosingUserRights,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ChangeInUserRights,rdfs:subClassOf,http://kbpedia.org/kko/rc/FinancialActivity
http://kbpedia.org/kko/rc/ChangeInUserRights,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PrivateMedicalInsurance,rdfs:subClassOf,http://kbpedia.org/kko/rc/MedicalInsurance
http://kbpedia.org/kko/rc/PrivateMedicalInsurance,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SlaveryByType,rdfs:subClassOf,http://kbpedia.org/kko/rc/Slavery
http://kbpedia.org/kko/rc/SlaveryByType,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CalendarEffect,rdfs:subClassOf,http://kbpedia.org/kko/rc/MarketCorrection
http://kbpedia.org/kko/rc/CalendarEffect,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sweepstakes-Event,rdfs:subClassOf,http://kbpedia.org/kko/rc/CommercialActivity
http://kbpedia.org/kko/rc/Sweepstakes-Event,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sweepstakes-Event,rdfs:subClassOf,http://kbpedia.org/kko/rc/Competition
