id,subClassOf,parent
http://kbpedia.org/kko/rc/LongJumpTrack,rdfs:subClassOf,http://kbpedia.org/kko/rc/SportsTrack
http://kbpedia.org/kko/rc/LongJumpTrack,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SugarMill-ManufacturingFacility,rdfs:subClassOf,http://kbpedia.org/kko/rc/Mill-ManufacturingFacility
http://kbpedia.org/kko/rc/SugarMill-ManufacturingFacility,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WallFixture,rdfs:subClassOf,http://kbpedia.org/kko/rc/InteriorLightingFixture
http://kbpedia.org/kko/rc/WallFixture,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WallFixture,rdfs:subClassOf,http://kbpedia.org/kko/rc/WallLight
http://kbpedia.org/kko/rc/WallFixture,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RubberSpatula,rdfs:subClassOf,http://kbpedia.org/kko/rc/Spatula
http://kbpedia.org/kko/rc/RubberSpatula,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BistroSpace,rdfs:subClassOf,http://kbpedia.org/kko/rc/RestaurantSpace
http://kbpedia.org/kko/rc/BistroSpace,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/UnitedStatesArmyUniform,rdfs:subClassOf,http://kbpedia.org/kko/rc/MilitaryUniform
http://kbpedia.org/kko/rc/UnitedStatesArmyUniform,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ExteriorLightingFixture,rdfs:subClassOf,http://kbpedia.org/kko/rc/LightFixture
http://kbpedia.org/kko/rc/ExteriorLightingFixture,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Iphone6,rdfs:subClassOf,http://kbpedia.org/kko/rc/IPhone-AppleCellphone
http://kbpedia.org/kko/rc/Iphone6,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryBase-Grounds,rdfs:subClassOf,http://kbpedia.org/kko/rc/ContactLocation
http://kbpedia.org/kko/rc/MilitaryBase-Grounds,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryBase-Grounds,rdfs:subClassOf,http://kbpedia.org/kko/rc/GroundsOfOrganization
http://kbpedia.org/kko/rc/MilitaryBase-Grounds,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryBase-Grounds,rdfs:subClassOf,http://kbpedia.org/kko/rc/MilitaryFacility
http://kbpedia.org/kko/rc/MilitaryBase-Grounds,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BusStop,rdfs:subClassOf,http://kbpedia.org/kko/rc/PortFacility
http://kbpedia.org/kko/rc/BusStop,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BusStop,rdfs:subClassOf,http://kbpedia.org/kko/rc/StationTerminalOrStop
http://kbpedia.org/kko/rc/BusStop,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BusStop,rdfs:subClassOf,http://kbpedia.org/kko/rc/TransportFacility
http://kbpedia.org/kko/rc/BusStop,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WindowPortal,rdfs:subClassOf,http://kbpedia.org/kko/rc/PartOfBuilding
http://kbpedia.org/kko/rc/WindowPortal,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WindowPortal,rdfs:subClassOf,http://kbpedia.org/kko/rc/Portal
http://kbpedia.org/kko/rc/WindowPortal,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WasteWaterPipe,rdfs:subClassOf,http://kbpedia.org/kko/rc/Pipe-Plumbing
http://kbpedia.org/kko/rc/WasteWaterPipe,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Cabin,rdfs:subClassOf,http://kbpedia.org/kko/rc/House-Country
http://kbpedia.org/kko/rc/Cabin,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/KootenayNationalPark,rdfs:subClassOf,http://kbpedia.org/kko/rc/NationalPark
http://kbpedia.org/kko/rc/KootenayNationalPark,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/NavigationDam,rdfs:subClassOf,http://kbpedia.org/kko/rc/Dam
http://kbpedia.org/kko/rc/NavigationDam,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FacilityComponent,rdfs:subClassOf,http://kbpedia.org/kko/rc/BuildingMaterial
http://kbpedia.org/kko/rc/FacilityComponent,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FacilityComponent,rdfs:subClassOf,http://kbpedia.org/kko/rc/ConstructionArtifact
http://kbpedia.org/kko/rc/FacilityComponent,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FacilityComponent,rdfs:subClassOf,http://kbpedia.org/ontologies/kko#Facilities
http://kbpedia.org/kko/rc/FacilityComponent,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DrivingRange,rdfs:subClassOf,http://kbpedia.org/kko/rc/GolfingArea
http://kbpedia.org/kko/rc/DrivingRange,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/NuclearReactorContainmentBuilding,rdfs:subClassOf,http://kbpedia.org/kko/rc/NuclearPowerPlantBuilding
http://kbpedia.org/kko/rc/NuclearReactorContainmentBuilding,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HudsonRiverPark,rdfs:subClassOf,http://kbpedia.org/kko/rc/Park
http://kbpedia.org/kko/rc/HudsonRiverPark,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SatelliteFacility,rdfs:subClassOf,http://kbpedia.org/kko/rc/CommercialBuilding
http://kbpedia.org/kko/rc/SatelliteFacility,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Lamppost,rdfs:subClassOf,http://kbpedia.org/kko/rc/FixedStructure
http://kbpedia.org/kko/rc/Lamppost,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Lamppost,rdfs:subClassOf,http://kbpedia.org/kko/rc/LightingPolePostHardware
http://kbpedia.org/kko/rc/Lamppost,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Airfield,rdfs:subClassOf,http://kbpedia.org/kko/rc/Airport-Physical
http://kbpedia.org/kko/rc/Airfield,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Airfield,rdfs:subClassOf,http://kbpedia.org/kko/rc/TransportBuildingStructure
http://kbpedia.org/kko/rc/Airfield,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RapidTransitLine,rdfs:subClassOf,http://kbpedia.org/kko/rc/RailwayLine
http://kbpedia.org/kko/rc/RapidTransitLine,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RapidTransitLine,rdfs:subClassOf,http://kbpedia.org/kko/rc/RapidTransit
http://kbpedia.org/kko/rc/RapidTransitLine,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RapidTransitLine,rdfs:subClassOf,http://kbpedia.org/kko/rc/Subway
http://kbpedia.org/kko/rc/RapidTransitLine,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WindowPane,rdfs:subClassOf,http://kbpedia.org/kko/rc/DeviceWithNoMovingParts
http://kbpedia.org/kko/rc/WindowPane,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WindowPane,rdfs:subClassOf,http://kbpedia.org/kko/rc/HomogeneousStructure
http://kbpedia.org/kko/rc/WindowPane,rdfs:subClassOf,owl:Thing
