id,subClassOf,parent
http://kbpedia.org/kko/rc/HadithCompiler,rdfs:subClassOf,http://kbpedia.org/kko/rc/Scholar
http://kbpedia.org/kko/rc/HadithCompiler,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ClothingSize-Toddlers,rdfs:subClassOf,http://kbpedia.org/kko/rc/HumanTypeByGenericClothingSize
http://kbpedia.org/kko/rc/ClothingSize-Toddlers,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfAndalusians
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfArab-Berbers
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfBerbers
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ChromaticColor,rdfs:subClassOf,http://kbpedia.org/kko/rc/Color
http://kbpedia.org/kko/rc/ChromaticColor,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PrincePhilipDukeOfEdinburgh,rdfs:subClassOf,http://kbpedia.org/kko/rc/HouseOfWindsor
http://kbpedia.org/kko/rc/PrincePhilipDukeOfEdinburgh,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PrincePhilipDukeOfEdinburgh,rdfs:subClassOf,http://kbpedia.org/kko/rc/Prince
http://kbpedia.org/kko/rc/PrincePhilipDukeOfEdinburgh,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfKarakalpaks,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfAsians
http://kbpedia.org/kko/rc/EthnicGroupOfKarakalpaks,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ArabPeople,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfArabs
http://kbpedia.org/kko/rc/ArabPeople,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Flammability,rdfs:subClassOf,http://kbpedia.org/kko/rc/DispositionalQuantity
http://kbpedia.org/kko/rc/Flammability,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Flammability,rdfs:subClassOf,http://kbpedia.org/kko/rc/Interval-BoundedBelow
