id,subClassOf,parent
http://kbpedia.org/kko/rc/Chrysomantis,rdfs:subClassOf,http://kbpedia.org/kko/rc/PrayingMantis
http://kbpedia.org/kko/rc/Chrysomantis,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Araucariaceae,rdfs:subClassOf,http://kbpedia.org/kko/rc/Conifer
http://kbpedia.org/kko/rc/Araucariaceae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Anchariidae,rdfs:subClassOf,http://kbpedia.org/kko/rc/Catfish
http://kbpedia.org/kko/rc/Anchariidae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RitualLanguage,rdfs:subClassOf,http://kbpedia.org/kko/rc/Sociolinguistics
http://kbpedia.org/kko/rc/RitualLanguage,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ChiroteuthisVeranyi,rdfs:subClassOf,http://kbpedia.org/kko/rc/Squid
http://kbpedia.org/kko/rc/ChiroteuthisVeranyi,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Acholeplasmatales-Order,rdfs:subClassOf,http://kbpedia.org/kko/rc/Mollicutes-Class
http://kbpedia.org/kko/rc/Acholeplasmatales-Order,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Brown-earedWoodpecker,rdfs:subClassOf,http://kbpedia.org/kko/rc/Woodpecker
http://kbpedia.org/kko/rc/Brown-earedWoodpecker,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Muscinae,rdfs:subClassOf,http://kbpedia.org/kko/rc/Muscidae
http://kbpedia.org/kko/rc/Muscinae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HempPlant,rdfs:subClassOf,http://kbpedia.org/kko/rc/Cannabis
http://kbpedia.org/kko/rc/HempPlant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HempPlant,rdfs:subClassOf,http://kbpedia.org/kko/rc/HempFamily
http://kbpedia.org/kko/rc/HempPlant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Neobuxbaumia,rdfs:subClassOf,http://kbpedia.org/kko/rc/Pachycereeae
http://kbpedia.org/kko/rc/Neobuxbaumia,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ShakespeareApocrypha,rdfs:subClassOf,http://kbpedia.org/kko/rc/Apocrypha
http://kbpedia.org/kko/rc/ShakespeareApocrypha,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Chloropicrin,rdfs:subClassOf,http://kbpedia.org/kko/rc/ChokingAgentStuff
http://kbpedia.org/kko/rc/Chloropicrin,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SinNombre-Virus,rdfs:subClassOf,http://kbpedia.org/kko/rc/Hantavirus
http://kbpedia.org/kko/rc/SinNombre-Virus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SinNombre-Virus,rdfs:subClassOf,http://kbpedia.org/kko/rc/ViralBioAgent
http://kbpedia.org/kko/rc/SinNombre-Virus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Utilitarianism,rdfs:subClassOf,http://kbpedia.org/kko/rc/Ethics-PhilosophySubField
http://kbpedia.org/kko/rc/Utilitarianism,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Utilitarianism,rdfs:subClassOf,http://kbpedia.org/kko/rc/PhilosophyBeliefs
http://kbpedia.org/kko/rc/Utilitarianism,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/TrueParrots,rdfs:subClassOf,http://kbpedia.org/kko/rc/Parrot
http://kbpedia.org/kko/rc/TrueParrots,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CommonBlanketOctopus,rdfs:subClassOf,http://kbpedia.org/kko/rc/BlanketOctopus
http://kbpedia.org/kko/rc/CommonBlanketOctopus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SubfieldOfPaleontology,rdfs:subClassOf,http://kbpedia.org/kko/rc/Paleontology
