id,subClassOf,parent
http://kbpedia.org/kko/rc/Dasani,rdfs:subClassOf,http://kbpedia.org/kko/rc/Liquid-Water
http://kbpedia.org/kko/rc/Dasani,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Dasani,rdfs:subClassOf,http://kbpedia.org/kko/rc/Water-Ingestible
http://kbpedia.org/kko/rc/Dasani,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CobaltIII-Ion,rdfs:subClassOf,http://kbpedia.org/kko/rc/MonoatomicIon
http://kbpedia.org/kko/rc/CobaltIII-Ion,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CobaltIII-Ion,rdfs:subClassOf,http://kbpedia.org/kko/rc/VariableChargeCation
http://kbpedia.org/kko/rc/CobaltIII-Ion,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HalogenCompound,rdfs:subClassOf,http://kbpedia.org/kko/rc/ChemicalCompoundTypeByChemicalSpecies
http://kbpedia.org/kko/rc/HalogenCompound,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HalogenCompound,rdfs:subClassOf,http://kbpedia.org/ontologies/kko#Chemistry
http://kbpedia.org/kko/rc/HalogenCompound,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HydrogenIodide,rdfs:subClassOf,http://kbpedia.org/kko/rc/ChemicallyAcidicSubstance
http://kbpedia.org/kko/rc/HydrogenIodide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HydrogenIodide,rdfs:subClassOf,http://kbpedia.org/kko/rc/InorganicMaterial
http://kbpedia.org/kko/rc/HydrogenIodide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HydrogenIodide,rdfs:subClassOf,http://kbpedia.org/kko/rc/StrongElectrolyte
http://kbpedia.org/kko/rc/HydrogenIodide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SodiumDiuranate,rdfs:subClassOf,http://kbpedia.org/kko/rc/InorganicCompound
http://kbpedia.org/kko/rc/SodiumDiuranate,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/OrbitOfTheMoon,rdfs:subClassOf,http://kbpedia.org/kko/rc/MoonOfEarth
http://kbpedia.org/kko/rc/OrbitOfTheMoon,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/OrbitOfTheMoon,rdfs:subClassOf,http://kbpedia.org/kko/rc/MoonOfAPlanet
http://kbpedia.org/kko/rc/OrbitOfTheMoon,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MatagordaBay,rdfs:subClassOf,http://kbpedia.org/kko/rc/Bay
http://kbpedia.org/kko/rc/MatagordaBay,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Water-Saline,rdfs:subClassOf,http://kbpedia.org/kko/rc/Water
http://kbpedia.org/kko/rc/Water-Saline,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/LeadIIAcetate,rdfs:subClassOf,http://kbpedia.org/kko/rc/Acetate
http://kbpedia.org/kko/rc/LeadIIAcetate,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HemlockLake,rdfs:subClassOf,http://kbpedia.org/kko/rc/FingerLakes
http://kbpedia.org/kko/rc/HemlockLake,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/TriangulumAustrale-Constellation,rdfs:subClassOf,http://kbpedia.org/kko/rc/Constellation
http://kbpedia.org/kko/rc/TriangulumAustrale-Constellation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/IsotopeOfCalcium,rdfs:subClassOf,http://kbpedia.org/kko/rc/Calcium
http://kbpedia.org/kko/rc/IsotopeOfCalcium,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SaintLawrenceRiver,rdfs:subClassOf,http://kbpedia.org/kko/rc/River
http://kbpedia.org/kko/rc/SaintLawrenceRiver,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/InternationalStrait,rdfs:subClassOf,http://kbpedia.org/kko/rc/InternationalWaters
http://kbpedia.org/kko/rc/InternationalStrait,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/IsotopeOfErbium,rdfs:subClassOf,http://kbpedia.org/kko/rc/Erbium
http://kbpedia.org/kko/rc/IsotopeOfErbium,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/JordanRiver,rdfs:subClassOf,http://kbpedia.org/kko/rc/River
http://kbpedia.org/kko/rc/JordanRiver,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Austinite,rdfs:subClassOf,http://kbpedia.org/kko/rc/Mineral
http://kbpedia.org/kko/rc/Austinite,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Phenakite,rdfs:subClassOf,http://kbpedia.org/kko/rc/Mineral
http://kbpedia.org/kko/rc/Phenakite,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Pond,rdfs:subClassOf,http://kbpedia.org/kko/rc/BodyOfWater
http://kbpedia.org/kko/rc/Pond,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EmissionNebula,rdfs:subClassOf,http://kbpedia.org/kko/rc/Nebula
http://kbpedia.org/kko/rc/EmissionNebula,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EmissionNebula,rdfs:subClassOf,http://kbpedia.org/kko/rc/AstronomicalObject
http://kbpedia.org/kko/rc/EmissionNebula,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CuprousIon,rdfs:subClassOf,http://kbpedia.org/kko/rc/MonoatomicIon
http://kbpedia.org/kko/rc/CuprousIon,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CuprousIon,rdfs:subClassOf,http://kbpedia.org/kko/rc/VariableChargeCation
http://kbpedia.org/kko/rc/CuprousIon,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PotassiumHydroxide,rdfs:subClassOf,http://kbpedia.org/kko/rc/ChemicallyBasicSubstance
http://kbpedia.org/kko/rc/PotassiumHydroxide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PotassiumHydroxide,rdfs:subClassOf,http://kbpedia.org/kko/rc/InorganicMaterial
http://kbpedia.org/kko/rc/PotassiumHydroxide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PotassiumHydroxide,rdfs:subClassOf,http://kbpedia.org/kko/rc/IonicCompound
http://kbpedia.org/kko/rc/PotassiumHydroxide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PotassiumHydroxide,rdfs:subClassOf,http://kbpedia.org/kko/rc/StrongElectrolyte
http://kbpedia.org/kko/rc/PotassiumHydroxide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PotassiumHydroxide,rdfs:subClassOf,http://kbpedia.org/kko/rc/ToxicSubstance
http://kbpedia.org/kko/rc/PotassiumHydroxide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SodiumIodide,rdfs:subClassOf,http://kbpedia.org/kko/rc/IonicCompound
http://kbpedia.org/kko/rc/SodiumIodide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SodiumIodide,rdfs:subClassOf,http://kbpedia.org/kko/rc/Salt-ChemicalSubstance
http://kbpedia.org/kko/rc/SodiumIodide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SodiumIodide,rdfs:subClassOf,http://kbpedia.org/kko/rc/StrongElectrolyte
http://kbpedia.org/kko/rc/SodiumIodide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SodiumIodide,rdfs:subClassOf,http://kbpedia.org/kko/rc/InorganicCompound
http://kbpedia.org/kko/rc/SodiumIodide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MoonOfHaumea,rdfs:subClassOf,http://kbpedia.org/kko/rc/MoonOfAPlanet
http://kbpedia.org/kko/rc/MoonOfHaumea,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MorecambeBay,rdfs:subClassOf,http://kbpedia.org/kko/rc/Bay
http://kbpedia.org/kko/rc/MorecambeBay,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MorecambeBay,rdfs:subClassOf,http://kbpedia.org/kko/rc/IrishSea
http://kbpedia.org/kko/rc/MorecambeBay,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BodyOfWater-Intermittent,rdfs:subClassOf,http://kbpedia.org/kko/rc/BodyOfWater-Generic
http://kbpedia.org/kko/rc/BodyOfWater-Intermittent,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BodyOfWater-Intermittent,rdfs:subClassOf,http://kbpedia.org/kko/rc/PeriodicallyFloodedRegion
http://kbpedia.org/kko/rc/BodyOfWater-Intermittent,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BodyOfWater-Intermittent,rdfs:subClassOf,http://kbpedia.org/kko/rc/Water
http://kbpedia.org/kko/rc/BodyOfWater-Intermittent,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WaterIonizer,rdfs:subClassOf,http://kbpedia.org/kko/rc/SinglePurposeDevice
http://kbpedia.org/kko/rc/WaterIonizer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WaterIonizer,rdfs:subClassOf,http://kbpedia.org/kko/rc/Water
http://kbpedia.org/kko/rc/WaterIonizer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WaterIonizer,rdfs:subClassOf,http://kbpedia.org/kko/rc/WaterTreatmentSupplyEquipment
http://kbpedia.org/kko/rc/WaterIonizer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/UranylAcetate,rdfs:subClassOf,http://kbpedia.org/kko/rc/Acetate
http://kbpedia.org/kko/rc/UranylAcetate,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Lupus-Constellation,rdfs:subClassOf,http://kbpedia.org/kko/rc/Constellation
http://kbpedia.org/kko/rc/Lupus-Constellation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/IronCompound,rdfs:subClassOf,http://kbpedia.org/kko/rc/ChemicalCompoundTypeByChemicalSpecies
http://kbpedia.org/kko/rc/IronCompound,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/IronCompound,rdfs:subClassOf,http://kbpedia.org/kko/rc/Iron
http://kbpedia.org/kko/rc/IronCompound,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WindowPane,rdfs:subClassOf,http://kbpedia.org/kko/rc/DeviceWithNoMovingParts
http://kbpedia.org/kko/rc/WindowPane,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WindowPane,rdfs:subClassOf,http://kbpedia.org/kko/rc/HomogeneousStructure
http://kbpedia.org/kko/rc/WindowPane,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WindowPane,rdfs:subClassOf,http://kbpedia.org/kko/rc/PlateGlass
http://kbpedia.org/kko/rc/WindowPane,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WindowPane,rdfs:subClassOf,http://kbpedia.org/kko/rc/Window
http://kbpedia.org/kko/rc/WindowPane,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WindowPane,rdfs:subClassOf,http://kbpedia.org/kko/rc/SheetOfSomeStuff
http://kbpedia.org/kko/rc/WindowPane,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WindowPane,rdfs:subClassOf,http://kbpedia.org/kko/rc/Transparent
