id,subClassOf,parent
http://kbpedia.org/kko/rc/MotorProtein,rdfs:subClassOf,http://kbpedia.org/kko/rc/ProteinStuff
http://kbpedia.org/kko/rc/MotorProtein,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Clobex,rdfs:subClassOf,http://kbpedia.org/kko/rc/Corticosteroid
http://kbpedia.org/kko/rc/Clobex,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SubseaCementHead,rdfs:subClassOf,http://kbpedia.org/kko/rc/CementingEquipment
http://kbpedia.org/kko/rc/SubseaCementHead,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/TrigeminalNerve,rdfs:subClassOf,http://kbpedia.org/kko/rc/CranialNerve
http://kbpedia.org/kko/rc/TrigeminalNerve,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/TrigeminalNerve,rdfs:subClassOf,http://kbpedia.org/kko/rc/SensoryMotorNerve
http://kbpedia.org/kko/rc/TrigeminalNerve,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Bactericide,rdfs:subClassOf,http://kbpedia.org/kko/rc/Additive
http://kbpedia.org/kko/rc/Bactericide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Amine,rdfs:subClassOf,http://kbpedia.org/kko/rc/OrganicCompound
http://kbpedia.org/kko/rc/Amine,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SodiumDiuranate,rdfs:subClassOf,http://kbpedia.org/kko/rc/InorganicCompound
http://kbpedia.org/kko/rc/SodiumDiuranate,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CranialNerve,rdfs:subClassOf,http://kbpedia.org/kko/rc/Nerve
http://kbpedia.org/kko/rc/CranialNerve,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Biofuel,rdfs:subClassOf,http://kbpedia.org/kko/rc/Fuel
http://kbpedia.org/kko/rc/Biofuel,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ProteinMolecule,rdfs:subClassOf,http://kbpedia.org/kko/rc/BiopolymerMolecule
http://kbpedia.org/kko/rc/ProteinMolecule,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ProteinMolecule,rdfs:subClassOf,http://kbpedia.org/kko/rc/HeteroPolymer
http://kbpedia.org/kko/rc/ProteinMolecule,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ProteinMolecule,rdfs:subClassOf,http://kbpedia.org/kko/rc/PolypeptideMolecule
http://kbpedia.org/kko/rc/ProteinMolecule,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ProteinMolecule,rdfs:subClassOf,http://kbpedia.org/kko/rc/ProteinMoleculeOrProteinComplex
http://kbpedia.org/kko/rc/ProteinMolecule,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ProteinMolecule,rdfs:subClassOf,http://kbpedia.org/kko/rc/PolymerMolecule
http://kbpedia.org/kko/rc/ProteinMolecule,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ProteinMolecule,rdfs:subClassOf,http://kbpedia.org/kko/rc/Molecule-OrganicCompound
http://kbpedia.org/kko/rc/ProteinMolecule,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/LeadIIAcetate,rdfs:subClassOf,http://kbpedia.org/kko/rc/Acetate
http://kbpedia.org/kko/rc/LeadIIAcetate,rdfs:subClassOf,owl:Thing
