id,subClassOf,parent
http://kbpedia.org/kko/rc/Acrasiomycota,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Agaricaceae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Agaricales,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Agaricomycetes,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Agaricomycotina,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AgaricusBisporus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Alloclavaria,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Alveolate,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Amanita,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AmanitaRegalis,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AmanitaRegalis,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Amoebozoa,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Amylocorticiales,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AphanomycesInvadans,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ArmingYeast,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Arthoniomycetes,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Ascomycota-Division,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AscomycotaIncertaeSedis,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Astome,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Atheliales,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Auriculariales,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Auriscalpiaceae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Auriscalpium,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Bangiophyceae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Basidiomycota,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Blasiphalia,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Blastocladiomycota,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Blepharisma,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Bolbitiaceae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Boletales,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Brettanomyces,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BrettanomycesBruxellensis,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Candida,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Candida,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Cantharellales,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Cantharellopsis,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CellularSlimeMold,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Centrohelid,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Chanterelle,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Choanozoa,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Choreotrich,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Chytridiales,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Chytridiomycetes,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Ciliate,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Ciliate,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Clavariaceae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CoccidioidesPosadasii,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Coccidioidomycosis-Fungus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Coccidioidomycosis-Fungus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Colpodea,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Compsopogonophyceae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Contumyces,rdfs:subClassOf,owl:Thing
