id,subClassOf,parent
http://kbpedia.org/kko/rc/InternalIliacArtery,rdfs:subClassOf,http://kbpedia.org/kko/rc/SystemicArtery
http://kbpedia.org/kko/rc/InternalIliacArtery,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Chrysomantis,rdfs:subClassOf,http://kbpedia.org/kko/rc/PrayingMantis
http://kbpedia.org/kko/rc/Chrysomantis,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Dodecagon,rdfs:subClassOf,http://kbpedia.org/kko/rc/Polygon
http://kbpedia.org/kko/rc/Dodecagon,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BistroSpace,rdfs:subClassOf,http://kbpedia.org/kko/rc/RestaurantSpace
http://kbpedia.org/kko/rc/BistroSpace,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Anchariidae,rdfs:subClassOf,http://kbpedia.org/kko/rc/Catfish
http://kbpedia.org/kko/rc/Anchariidae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DiskSector,rdfs:subClassOf,http://kbpedia.org/kko/rc/ArtificialMaterial
http://kbpedia.org/kko/rc/DiskSector,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DiskSector,rdfs:subClassOf,http://kbpedia.org/kko/rc/ComputerInformationStorageMedia
http://kbpedia.org/kko/rc/DiskSector,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ReligiousHolidayCard,rdfs:subClassOf,http://kbpedia.org/kko/rc/GreetingCard
http://kbpedia.org/kko/rc/ReligiousHolidayCard,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ChiroteuthisVeranyi,rdfs:subClassOf,http://kbpedia.org/kko/rc/Squid
http://kbpedia.org/kko/rc/ChiroteuthisVeranyi,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CourtShoe,rdfs:subClassOf,http://kbpedia.org/kko/rc/AthleticShoe
http://kbpedia.org/kko/rc/CourtShoe,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CourtShoe,rdfs:subClassOf,http://kbpedia.org/kko/rc/CasualShoe
http://kbpedia.org/kko/rc/CourtShoe,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Acholeplasmatales-Order,rdfs:subClassOf,http://kbpedia.org/kko/rc/Mollicutes-Class
http://kbpedia.org/kko/rc/Acholeplasmatales-Order,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Brown-earedWoodpecker,rdfs:subClassOf,http://kbpedia.org/kko/rc/Woodpecker
http://kbpedia.org/kko/rc/Brown-earedWoodpecker,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Muscinae,rdfs:subClassOf,http://kbpedia.org/kko/rc/Muscidae
http://kbpedia.org/kko/rc/Muscinae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,http://kbpedia.org/kko/rc/AnimalBodyPart
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,http://kbpedia.org/kko/rc/Fur
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,http://kbpedia.org/kko/rc/NonPoweredDevice
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,http://kbpedia.org/kko/rc/AnimalMaterial
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/UnderwayReplenishmentShip,rdfs:subClassOf,http://kbpedia.org/kko/rc/ModernNavalShip
http://kbpedia.org/kko/rc/UnderwayReplenishmentShip,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SinNombre-Virus,rdfs:subClassOf,http://kbpedia.org/kko/rc/Hantavirus
http://kbpedia.org/kko/rc/SinNombre-Virus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SinNombre-Virus,rdfs:subClassOf,http://kbpedia.org/kko/rc/ViralBioAgent
http://kbpedia.org/kko/rc/SinNombre-Virus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RoushCar,rdfs:subClassOf,http://kbpedia.org/kko/rc/AmericanAutomobile
http://kbpedia.org/kko/rc/RoushCar,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RoushCar,rdfs:subClassOf,http://kbpedia.org/kko/rc/SportsCar
http://kbpedia.org/kko/rc/RoushCar,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WindowPortal,rdfs:subClassOf,http://kbpedia.org/kko/rc/PartOfBuilding
http://kbpedia.org/kko/rc/WindowPortal,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WindowPortal,rdfs:subClassOf,http://kbpedia.org/kko/rc/Portal
http://kbpedia.org/kko/rc/WindowPortal,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/TrueParrots,rdfs:subClassOf,http://kbpedia.org/kko/rc/Parrot
http://kbpedia.org/kko/rc/TrueParrots,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CommonBlanketOctopus,rdfs:subClassOf,http://kbpedia.org/kko/rc/BlanketOctopus
http://kbpedia.org/kko/rc/CommonBlanketOctopus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PanamaSlenderOpossum,rdfs:subClassOf,http://kbpedia.org/kko/rc/Opossum
http://kbpedia.org/kko/rc/PanamaSlenderOpossum,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Long-clawedGroundSquirrel,rdfs:subClassOf,http://kbpedia.org/kko/rc/Squirrel
http://kbpedia.org/kko/rc/Long-clawedGroundSquirrel,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ToolSet,rdfs:subClassOf,http://kbpedia.org/kko/rc/HardwareTool
http://kbpedia.org/kko/rc/ToolSet,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CeratomantisYunnanensis,rdfs:subClassOf,http://kbpedia.org/kko/rc/Ceratomantis
http://kbpedia.org/kko/rc/CeratomantisYunnanensis,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MusicalPerformanceTicket,rdfs:subClassOf,http://kbpedia.org/kko/rc/EntertainmentPerformanceTicket
http://kbpedia.org/kko/rc/MusicalPerformanceTicket,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sistrurus,rdfs:subClassOf,http://kbpedia.org/kko/rc/PitViper
http://kbpedia.org/kko/rc/Sistrurus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AircraftArrestingGear,rdfs:subClassOf,http://kbpedia.org/kko/rc/AircraftComponent
http://kbpedia.org/kko/rc/AircraftArrestingGear,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GasCan,rdfs:subClassOf,http://kbpedia.org/kko/rc/Can
http://kbpedia.org/kko/rc/GasCan,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GasCan,rdfs:subClassOf,http://kbpedia.org/kko/rc/GeneralAutoMarketCategory
http://kbpedia.org/kko/rc/GasCan,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/Device-UserControlled
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/DistanceMeasuringDevice
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/MechanicalDevice
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
