id,subClassOf,parent
http://kbpedia.org/kko/rc/Buying-HumanResidence,rdfs:subClassOf,http://kbpedia.org/kko/rc/Buying-RealEstate
http://kbpedia.org/kko/rc/Buying-HumanResidence,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Buying-HumanResidence,rdfs:subClassOf,http://kbpedia.org/kko/rc/BuyingAnObject
http://kbpedia.org/kko/rc/Buying-HumanResidence,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Buying-HumanResidence,rdfs:subClassOf,http://kbpedia.org/kko/rc/Buying
http://kbpedia.org/kko/rc/Buying-HumanResidence,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AdvertisingRegulation,rdfs:subClassOf,http://kbpedia.org/kko/rc/Advertising
http://kbpedia.org/kko/rc/AdvertisingRegulation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AdvertisingRegulation,rdfs:subClassOf,http://kbpedia.org/kko/rc/Regulation
http://kbpedia.org/kko/rc/AdvertisingRegulation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AdvertisingRegulation,rdfs:subClassOf,http://kbpedia.org/kko/rc/RegulatingASectorOrIndustry
http://kbpedia.org/kko/rc/AdvertisingRegulation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/YouthCulture,rdfs:subClassOf,http://kbpedia.org/kko/rc/CulturalGeneration
http://kbpedia.org/kko/rc/YouthCulture,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GautengDivisionCase,rdfs:subClassOf,http://kbpedia.org/kko/rc/CaseLaw
http://kbpedia.org/kko/rc/GautengDivisionCase,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfAndalusians
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfArab-Berbers
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfBerbers
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CreekLanguage,rdfs:subClassOf,http://kbpedia.org/kko/rc/LivingLanguage
http://kbpedia.org/kko/rc/CreekLanguage,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/NovialConstructedLanguage,rdfs:subClassOf,http://kbpedia.org/kko/rc/InternationalAuxiliaryLanguage
http://kbpedia.org/kko/rc/NovialConstructedLanguage,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PuyallupLanguage,rdfs:subClassOf,http://kbpedia.org/kko/rc/LivingLanguage
http://kbpedia.org/kko/rc/PuyallupLanguage,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MakingABankWithdrawal,rdfs:subClassOf,http://kbpedia.org/kko/rc/BankTransaction
http://kbpedia.org/kko/rc/MakingABankWithdrawal,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MakingABankWithdrawal,rdfs:subClassOf,http://kbpedia.org/kko/rc/BankingInvestment
http://kbpedia.org/kko/rc/MakingABankWithdrawal,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MakingABankWithdrawal,rdfs:subClassOf,http://kbpedia.org/kko/rc/ServiceEvent
http://kbpedia.org/kko/rc/MakingABankWithdrawal,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/InuitLanguageFamily,rdfs:subClassOf,http://kbpedia.org/kko/rc/EskimoLanguageFamily
http://kbpedia.org/kko/rc/InuitLanguageFamily,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/IrreligionInTheMiddleEast,rdfs:subClassOf,http://kbpedia.org/kko/rc/Atheism
http://kbpedia.org/kko/rc/IrreligionInTheMiddleEast,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Spelling,rdfs:subClassOf,http://kbpedia.org/kko/rc/IBOCreation
http://kbpedia.org/kko/rc/Spelling,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Spelling,rdfs:subClassOf,http://kbpedia.org/kko/rc/LanguageMechanics
http://kbpedia.org/kko/rc/Spelling,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfKarakalpaks,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfAsians
http://kbpedia.org/kko/rc/EthnicGroupOfKarakalpaks,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ArabPeople,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfArabs
http://kbpedia.org/kko/rc/ArabPeople,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/KiwaiPoromeLanguage,rdfs:subClassOf,http://kbpedia.org/kko/rc/PapuanLanguageGrouping
http://kbpedia.org/kko/rc/KiwaiPoromeLanguage,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AssameseLanguage,rdfs:subClassOf,http://kbpedia.org/kko/rc/Indo-IranianLanguageFamily
http://kbpedia.org/kko/rc/AssameseLanguage,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FreeChurchOfTonga-Religion,rdfs:subClassOf,http://kbpedia.org/kko/rc/ReligiousDenomination
http://kbpedia.org/kko/rc/FreeChurchOfTonga-Religion,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BiblicalHebrewLanguage,rdfs:subClassOf,http://kbpedia.org/kko/rc/SemiticLanguageFamily
http://kbpedia.org/kko/rc/BiblicalHebrewLanguage,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PanArabism,rdfs:subClassOf,http://kbpedia.org/kko/rc/PoliticalBeliefSystem
http://kbpedia.org/kko/rc/PanArabism,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ClassicVeracruz,rdfs:subClassOf,http://kbpedia.org/kko/rc/ArchaeologicalCulture
http://kbpedia.org/kko/rc/ClassicVeracruz,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Utilitarianism,rdfs:subClassOf,http://kbpedia.org/kko/rc/Ethics-PhilosophySubField
http://kbpedia.org/kko/rc/Utilitarianism,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Utilitarianism,rdfs:subClassOf,http://kbpedia.org/kko/rc/PhilosophyBeliefs
http://kbpedia.org/kko/rc/Utilitarianism,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Bequest,rdfs:subClassOf,http://kbpedia.org/kko/rc/GivingSomething
http://kbpedia.org/kko/rc/Bequest,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Bequest,rdfs:subClassOf,http://kbpedia.org/kko/rc/LegalProceeding
http://kbpedia.org/kko/rc/Bequest,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BestPicture-MotionPicture,rdfs:subClassOf,http://kbpedia.org/kko/rc/AcademyAward
http://kbpedia.org/kko/rc/BestPicture-MotionPicture,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MindbodyProblem,rdfs:subClassOf,http://kbpedia.org/kko/rc/PhilosophyOfMind
http://kbpedia.org/kko/rc/MindbodyProblem,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ForcedProstitution,rdfs:subClassOf,http://kbpedia.org/kko/rc/Prostitution
http://kbpedia.org/kko/rc/ForcedProstitution,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AndeanLanguageFamily,rdfs:subClassOf,http://kbpedia.org/kko/rc/Andean-EquatorialLanguageFamily
http://kbpedia.org/kko/rc/AndeanLanguageFamily,rdfs:subClassOf,owl:Thing
