id,subClassOf,parent
http://kbpedia.org/kko/rc/Buying-HumanResidence,rdfs:subClassOf,http://kbpedia.org/kko/rc/Buying-RealEstate
http://kbpedia.org/kko/rc/Buying-HumanResidence,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Buying-HumanResidence,rdfs:subClassOf,http://kbpedia.org/kko/rc/BuyingAnObject
http://kbpedia.org/kko/rc/Buying-HumanResidence,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Buying-HumanResidence,rdfs:subClassOf,http://kbpedia.org/kko/rc/Buying
http://kbpedia.org/kko/rc/Buying-HumanResidence,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BankruptcyLawService,rdfs:subClassOf,http://kbpedia.org/kko/rc/BusinessLawService
http://kbpedia.org/kko/rc/BankruptcyLawService,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AdvertisingRegulation,rdfs:subClassOf,http://kbpedia.org/kko/rc/Advertising
http://kbpedia.org/kko/rc/AdvertisingRegulation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AdvertisingRegulation,rdfs:subClassOf,http://kbpedia.org/kko/rc/Regulation
http://kbpedia.org/kko/rc/AdvertisingRegulation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AdvertisingRegulation,rdfs:subClassOf,http://kbpedia.org/kko/rc/RegulatingASectorOrIndustry
http://kbpedia.org/kko/rc/AdvertisingRegulation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MarketTrough,rdfs:subClassOf,http://kbpedia.org/kko/rc/MarketTrend
http://kbpedia.org/kko/rc/MarketTrough,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WallFixture,rdfs:subClassOf,http://kbpedia.org/kko/rc/InteriorLightingFixture
http://kbpedia.org/kko/rc/WallFixture,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WallFixture,rdfs:subClassOf,http://kbpedia.org/kko/rc/WallLight
http://kbpedia.org/kko/rc/WallFixture,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Chart,rdfs:subClassOf,http://kbpedia.org/kko/rc/Infographic
http://kbpedia.org/kko/rc/Chart,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MakingABankWithdrawal,rdfs:subClassOf,http://kbpedia.org/kko/rc/BankTransaction
http://kbpedia.org/kko/rc/MakingABankWithdrawal,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MakingABankWithdrawal,rdfs:subClassOf,http://kbpedia.org/kko/rc/BankingInvestment
http://kbpedia.org/kko/rc/MakingABankWithdrawal,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MakingABankWithdrawal,rdfs:subClassOf,http://kbpedia.org/kko/rc/ServiceEvent
http://kbpedia.org/kko/rc/MakingABankWithdrawal,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ExteriorLightingFixture,rdfs:subClassOf,http://kbpedia.org/kko/rc/LightFixture
http://kbpedia.org/kko/rc/ExteriorLightingFixture,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BroadLeafedPlantationResource,rdfs:subClassOf,http://kbpedia.org/kko/rc/ForestryResource
http://kbpedia.org/kko/rc/BroadLeafedPlantationResource,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Iphone6,rdfs:subClassOf,http://kbpedia.org/kko/rc/IPhone-AppleCellphone
http://kbpedia.org/kko/rc/Iphone6,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EducationalProject,rdfs:subClassOf,http://kbpedia.org/kko/rc/Education
http://kbpedia.org/kko/rc/EducationalProject,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PlasticChemicalIndustry,rdfs:subClassOf,http://kbpedia.org/kko/rc/IndustrialManufacturingService
http://kbpedia.org/kko/rc/PlasticChemicalIndustry,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/InfrastructureBuildingSurfacingService,rdfs:subClassOf,http://kbpedia.org/kko/rc/HeavyConstructionService
http://kbpedia.org/kko/rc/InfrastructureBuildingSurfacingService,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HouseholdAssistanceCare,rdfs:subClassOf,http://kbpedia.org/kko/rc/DomesticPersonalAssistance
http://kbpedia.org/kko/rc/HouseholdAssistanceCare,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/TelephoneNumberSignalGenerator,rdfs:subClassOf,http://kbpedia.org/kko/rc/ElectricalComponent
http://kbpedia.org/kko/rc/TelephoneNumberSignalGenerator,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ClothesWasher,rdfs:subClassOf,http://kbpedia.org/kko/rc/CleaningDevice
http://kbpedia.org/kko/rc/ClothesWasher,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ClothesWasher,rdfs:subClassOf,http://kbpedia.org/kko/rc/DomesticLaundryApplianceSupply
http://kbpedia.org/kko/rc/ClothesWasher,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ClothesWasher,rdfs:subClassOf,http://kbpedia.org/kko/rc/ElectricalHouseholdAppliance
http://kbpedia.org/kko/rc/ClothesWasher,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ClothesWasher,rdfs:subClassOf,http://kbpedia.org/kko/rc/MajorAppliance
http://kbpedia.org/kko/rc/ClothesWasher,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CanonOfPageConstruction,rdfs:subClassOf,http://kbpedia.org/kko/rc/PageLayout
http://kbpedia.org/kko/rc/CanonOfPageConstruction,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AnimatedFeatureFilm,rdfs:subClassOf,http://kbpedia.org/kko/rc/AnimatedMovie
http://kbpedia.org/kko/rc/AnimatedFeatureFilm,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WeldingSafety,rdfs:subClassOf,http://kbpedia.org/kko/rc/OccupationalHealthAndSafety
http://kbpedia.org/kko/rc/WeldingSafety,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WeldingSafety,rdfs:subClassOf,http://kbpedia.org/kko/rc/Welding
http://kbpedia.org/kko/rc/WeldingSafety,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PharmacyService,rdfs:subClassOf,http://kbpedia.org/kko/rc/MedicalPractice
http://kbpedia.org/kko/rc/PharmacyService,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ForcedProstitution,rdfs:subClassOf,http://kbpedia.org/kko/rc/Prostitution
http://kbpedia.org/kko/rc/ForcedProstitution,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/NetworkPlanningService,rdfs:subClassOf,http://kbpedia.org/kko/rc/ManagementInformationSystem
http://kbpedia.org/kko/rc/NetworkPlanningService,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BalloonMortgage,rdfs:subClassOf,http://kbpedia.org/kko/rc/BalloonLoan
http://kbpedia.org/kko/rc/BalloonMortgage,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BalloonMortgage,rdfs:subClassOf,http://kbpedia.org/kko/rc/MortgageAgreement
http://kbpedia.org/kko/rc/BalloonMortgage,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/KootenayNationalPark,rdfs:subClassOf,http://kbpedia.org/kko/rc/NationalPark
http://kbpedia.org/kko/rc/KootenayNationalPark,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AggregateOffer,rdfs:subClassOf,http://kbpedia.org/kko/rc/Offer
http://kbpedia.org/kko/rc/AggregateOffer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AggregateOffer,rdfs:subClassOf,http://kbpedia.org/kko/rc/OfferingForSale
http://kbpedia.org/kko/rc/AggregateOffer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/TrackballRoller,rdfs:subClassOf,http://kbpedia.org/kko/rc/ComputerInputDevice
