id,subClassOf,parent
http://kbpedia.org/kko/rc/SustainableTransport,rdfs:subClassOf,http://kbpedia.org/kko/rc/Transportation-Topic
http://kbpedia.org/kko/rc/SustainableTransport,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WaterTransportInWestGermany,rdfs:subClassOf,http://kbpedia.org/kko/rc/MarineTransport
http://kbpedia.org/kko/rc/WaterTransportInWestGermany,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/JewelryMakingToolSupply,rdfs:subClassOf,http://kbpedia.org/kko/rc/Jewelry
http://kbpedia.org/kko/rc/JewelryMakingToolSupply,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/U-107-classSubmarine,rdfs:subClassOf,http://kbpedia.org/kko/rc/U-Boat
http://kbpedia.org/kko/rc/U-107-classSubmarine,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/OlmecColossalHead,rdfs:subClassOf,http://kbpedia.org/kko/rc/StoneSculpture
http://kbpedia.org/kko/rc/OlmecColossalHead,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/LandingCraftUtility,rdfs:subClassOf,http://kbpedia.org/kko/rc/LandingCraft
http://kbpedia.org/kko/rc/LandingCraftUtility,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EdgarQuinet-classCruiser,rdfs:subClassOf,http://kbpedia.org/kko/rc/Cruiser
http://kbpedia.org/kko/rc/EdgarQuinet-classCruiser,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/UnderwayReplenishmentShip,rdfs:subClassOf,http://kbpedia.org/kko/rc/ModernNavalShip
http://kbpedia.org/kko/rc/UnderwayReplenishmentShip,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BusStop,rdfs:subClassOf,http://kbpedia.org/kko/rc/PortFacility
http://kbpedia.org/kko/rc/BusStop,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BusStop,rdfs:subClassOf,http://kbpedia.org/kko/rc/StationTerminalOrStop
http://kbpedia.org/kko/rc/BusStop,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BusStop,rdfs:subClassOf,http://kbpedia.org/kko/rc/TransportFacility
