id,subClassOf,parent
http://kbpedia.org/kko/rc/ClosingTag,rdfs:subClassOf,http://kbpedia.org/kko/rc/MarkupLanguageTag
http://kbpedia.org/kko/rc/ClosingTag,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ReligiousHolidayCard,rdfs:subClassOf,http://kbpedia.org/kko/rc/GreetingCard
http://kbpedia.org/kko/rc/ReligiousHolidayCard,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DiskFormattingProgram,rdfs:subClassOf,http://kbpedia.org/kko/rc/UtilityProgram
http://kbpedia.org/kko/rc/DiskFormattingProgram,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BalloonMortgage,rdfs:subClassOf,http://kbpedia.org/kko/rc/BalloonLoan
http://kbpedia.org/kko/rc/BalloonMortgage,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BalloonMortgage,rdfs:subClassOf,http://kbpedia.org/kko/rc/MortgageAgreement
http://kbpedia.org/kko/rc/BalloonMortgage,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Index-List-Information,rdfs:subClassOf,http://kbpedia.org/kko/rc/List-Information
http://kbpedia.org/kko/rc/Index-List-Information,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Index-List-Information,rdfs:subClassOf,http://kbpedia.org/kko/rc/Pointers
http://kbpedia.org/kko/rc/Index-List-Information,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MusicalPerformanceTicket,rdfs:subClassOf,http://kbpedia.org/kko/rc/EntertainmentPerformanceTicket
http://kbpedia.org/kko/rc/MusicalPerformanceTicket,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Scroll,rdfs:subClassOf,http://kbpedia.org/kko/rc/SheetOfSomeStuff
http://kbpedia.org/kko/rc/Scroll,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Scroll,rdfs:subClassOf,http://kbpedia.org/kko/rc/TextualMaterial
http://kbpedia.org/kko/rc/Scroll,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GraphicDesignProgram,rdfs:subClassOf,http://kbpedia.org/kko/rc/DesignProgram
http://kbpedia.org/kko/rc/GraphicDesignProgram,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GraphicDesignProgram,rdfs:subClassOf,http://kbpedia.org/kko/rc/GraphicsEditingProgram
http://kbpedia.org/kko/rc/GraphicDesignProgram,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Grammar,rdfs:subClassOf,http://kbpedia.org/kko/rc/FormalGrammar
http://kbpedia.org/kko/rc/Grammar,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GeoCitiesWebHostingService,rdfs:subClassOf,http://kbpedia.org/kko/rc/InternetService
http://kbpedia.org/kko/rc/GeoCitiesWebHostingService,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GeoCitiesWebHostingService,rdfs:subClassOf,http://kbpedia.org/kko/rc/WebHosting
http://kbpedia.org/kko/rc/GeoCitiesWebHostingService,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GeoCitiesWebHostingService,rdfs:subClassOf,http://kbpedia.org/kko/rc/WebServer-Network
http://kbpedia.org/kko/rc/GeoCitiesWebHostingService,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/LoanAgreement,rdfs:subClassOf,http://kbpedia.org/kko/rc/TemporaryUserRightsAgreement
http://kbpedia.org/kko/rc/LoanAgreement,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/LoanAgreement,rdfs:subClassOf,http://kbpedia.org/kko/rc/EconomicAgreement
http://kbpedia.org/kko/rc/LoanAgreement,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/LoanAgreement,rdfs:subClassOf,http://kbpedia.org/kko/rc/Obligation
http://kbpedia.org/kko/rc/LoanAgreement,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DanishLanguageSurname,rdfs:subClassOf,http://kbpedia.org/kko/rc/DanishLanguage
http://kbpedia.org/kko/rc/DanishLanguageSurname,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DanishLanguageSurname,rdfs:subClassOf,http://kbpedia.org/kko/rc/HumanSurname
http://kbpedia.org/kko/rc/DanishLanguageSurname,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FriendshipCard,rdfs:subClassOf,http://kbpedia.org/kko/rc/GreetingCard
http://kbpedia.org/kko/rc/FriendshipCard,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ItemPage,rdfs:subClassOf,http://kbpedia.org/kko/rc/WebPage
http://kbpedia.org/kko/rc/ItemPage,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/UIInputComponent,rdfs:subClassOf,http://kbpedia.org/kko/rc/ComputerProgramModule
http://kbpedia.org/kko/rc/UIInputComponent,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FixedRateMortgage,rdfs:subClassOf,http://kbpedia.org/kko/rc/FixedRateLoan
http://kbpedia.org/kko/rc/FixedRateMortgage,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FixedRateMortgage,rdfs:subClassOf,http://kbpedia.org/kko/rc/MortgageAgreement
http://kbpedia.org/kko/rc/FixedRateMortgage,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FileReadingProgram-Visual,rdfs:subClassOf,http://kbpedia.org/kko/rc/FileReadingProgram-Interactive
http://kbpedia.org/kko/rc/FileReadingProgram-Visual,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/IndexCard,rdfs:subClassOf,http://kbpedia.org/kko/rc/Card
http://kbpedia.org/kko/rc/IndexCard,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/IndexCard,rdfs:subClassOf,http://kbpedia.org/kko/rc/Device-OfficeProduct-Consumable
http://kbpedia.org/kko/rc/IndexCard,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/IndexCard,rdfs:subClassOf,http://kbpedia.org/kko/rc/PrintingAndWritingPaper
http://kbpedia.org/kko/rc/IndexCard,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/IndexCard,rdfs:subClassOf,http://kbpedia.org/kko/rc/Paper
http://kbpedia.org/kko/rc/IndexCard,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MailingList,rdfs:subClassOf,http://kbpedia.org/kko/rc/List-Information
http://kbpedia.org/kko/rc/MailingList,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ReceiptItem,rdfs:subClassOf,http://kbpedia.org/kko/rc/Receipt
http://kbpedia.org/kko/rc/ReceiptItem,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/NewsAgencyArticle,rdfs:subClassOf,http://kbpedia.org/kko/rc/NewsArticle
http://kbpedia.org/kko/rc/NewsAgencyArticle,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/NewsAgencyArticle,rdfs:subClassOf,http://kbpedia.org/kko/rc/PublishedConceptualWork
http://kbpedia.org/kko/rc/NewsAgencyArticle,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WelshWordOrPhrase,rdfs:subClassOf,http://kbpedia.org/kko/rc/WelshLanguage
http://kbpedia.org/kko/rc/WelshWordOrPhrase,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WelshWordOrPhrase,rdfs:subClassOf,http://kbpedia.org/kko/rc/WordOrPhraseByLanguage
http://kbpedia.org/kko/rc/WelshWordOrPhrase,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/VulnerabilityScannerProgram,rdfs:subClassOf,http://kbpedia.org/kko/rc/SecurityProgram
http://kbpedia.org/kko/rc/VulnerabilityScannerProgram,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GrammarFramework,rdfs:subClassOf,http://kbpedia.org/kko/rc/FormalGrammar
http://kbpedia.org/kko/rc/GrammarFramework,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WordConstituent,rdfs:subClassOf,http://kbpedia.org/kko/rc/LexicalItem
http://kbpedia.org/kko/rc/WordConstituent,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/KidsCard,rdfs:subClassOf,http://kbpedia.org/kko/rc/GreetingCard
http://kbpedia.org/kko/rc/KidsCard,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ProfilePage,rdfs:subClassOf,http://kbpedia.org/kko/rc/WebPage
http://kbpedia.org/kko/rc/ProfilePage,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CPlusPlus-ProgrammingLanguage,rdfs:subClassOf,http://kbpedia.org/kko/rc/AbstractProgrammingLanguage
http://kbpedia.org/kko/rc/CPlusPlus-ProgrammingLanguage,rdfs:subClassOf,owl:Thing
