id,prefLabel,subClassOf,altLabel,definition,editorialNote
AnneBronte,Anne Bronte,Writer,Acton Bell||An-ni Po-lang-t'e||Ann Bronte||Ann Brontë||Anne Bronte||Annie Bronte,"'Anne Brontë (17 January 1820 – 28 May 1849) was an English novelist and poet, the youngest member of the Brontë literary family.'",
AncientOlympicGame,ancient Olympic Game,OlympicGames,"Ancient Greek Olympics||Ancient Olympic||Ancient Olympic games||Ancient Olympics||Ancient game||Ancient olympics||Anienct Greek Olympic Games||Classical games||Greece olympics||Greek Games||Olympiakoi Agones||Olympian Games||Olympic Games, Ancient||Olympics, Ancient||Original Olympic Games||Ολυμπιακοί Αγώνες","'The Olympic Games (Greek: Ολυμπιακοί αγώνες , ""Olympiakoi Agones"") were a series of athletic competitions among representatives of city-states and one of the Panhellenic Games of Ancient Greece. They were held in honor of Zeus, and the Greeks gave them a mythological origin. The first Olympics is traditionally dated to 776 BC.'",
PracticalKabbalah,practical Kabbalah,Kabbalah||MagicSpell,Jewish magic||Kabbalah Ma'asit||Practical kabbalah,"""Practical Kabbalah (Heb: קבלה מעשית Kabbalah Ma'asit) in historical Judaism, is a branch of the Jewish mystical tradition that concerns the use of magic. It was considered permitted white magic by its practitioners, reserved for the elite, who could separate its spiritual source from Qliphoth realms of evil if performed under circumstances that were holy (Q-D-Š) and pure (טומאה וטהרה, tvmh vthrh).""",
FirstOpiumWar,First Opium War,War||MilitaryConflictEvent,First Opium War,"'The First Opium War (第一次鴉片戰爭, 1839–42), also known as the Opium War and the Anglo-Chinese War, was fought between the United Kingdom and the Qing Empire over their conflicting viewpoints on diplomatic relations, trade, and the administration of justice for foreign nationals in China.'",
Benshi,Benshi,Performer,Katsudō-benshi,"'Benshi (弁士) were Japanese performers who provided live narration for silent films (not only Japanese films, but also Western films). Benshi are sometimes also called katsudō-benshi (活動弁士) or katsuben (活弁).'",
Koan,koan,ZenBuddhism,"If you meet the Buddha on your path, kill him||Ko'an||Koan||Koans||Kong-an||Kôan||Kōans||Midget Korean||One hand clapping (phrase)||Sound Of One Hand Clapping||Sound of one hand clapping||The sound of one hand clapping||Turning word||Zen Koan||Zen Kōan||Zen Parable||Zen koan||Zhaozhou's dog||Zhaozhou’s dog","'A kōan (公案) (/ˈkoʊ.ɑːn/; Chinese: 公案; pinyin: gōng\'àn, [kʊ́ŋ ân]; Korean: 공안 gong-an; Vietnamese: công án) is a story, dialogue, question, or statement which is used in Zen practice to provoke the ""great doubt"" and test a student\'s progress in Zen practice.'",
KoreanWar,Korean War,War,,"'The Korean War (in South Korean Hangul: 한국전쟁; Hanja: 韓國戰爭; RR: Hanguk Jeonjaeng, ""Korean War""; in North Korean Chosŏn\'gŭl: 조국해방전쟁; Hancha: 祖國解放戰爭; MR: Choguk haebang chǒnjaeng, ""Fatherland Liberation War""; 25 June 1950 – 27 July 1953) began when North Korea invaded South Korea. The United Nations, with the United States as the principal force, came to the aid of South Korea. China came to the aid of North Korea, and the Soviet Union gave some assistance.'",
NationalDay-UnitedArabEmirates,national day united arab emirates,LegalHoliday||SecularHoliday,Emirati independence||Independence of the United Arab Emirates||National Day (UAE)||UAE National Day||United Arab Emirates national day,"""National Day (Arabic: اليوم الوطني\u200e\u200e; Yawm al watani) is celebrated on 2 December each year in the United Arab Emirates.  It marks the UAE's Union Day between the six emirates which was followed by the joining of the seventh emirate, Ras Alkhaima, in 1972. The National day of UAE does not stand for the nationalisation from the British Protectorate Treaties which declared in 1968, it is the anniversary of the federal unification of the seven emirates in 1971 which combined to form the modern-day country, headed by Sheikh Zayed bin Sultan Al Nahyan, the federation's first president. Grand celebrations are held across the country to mark the event.""",
ZenBuddhism,Zen Buddhism,MahayanaBuddhism||Meditating,Ch'An Buddhism||Ch'an Buddhism||Chaan||Ch’an||Japanese Zen Buddhist philosophy||Miyun Yuanwu||Southern Chan||Thien Buddhism||Viewing the phrase||Zen||Zen Buddhism||Zen Buddhist||Zen Buddhists||Zen Centers||Zen Glossary||Zen Philosophy||Zen buddhism||Zen monk||Zen philosophy||Zen teachers||Zen+Buddhism||Zenful||Zenshu||禅||禪,"'Zen (Chinese: 禪; pinyin: Chán, Middle Chinese: dʑjen) is a school of Mahayana Buddhism that originated in China during the Tang dynasty as Chán. It was strongly influenced by Taoism, and developed as a distinguished Chinese style of Buddhism.'",
Virgil-ThePoet,virgil,Poet,Mantuan Swan||Maro Virgilius||Pheryllt||Publius Vergilius Maro||Publius Vergilus Maro||Publius Virgilius Maro||Swan of Mantua||VIRGIL||Vergil||Vergilius||Virgil in his Basket||Virgil in his basket||Virgilian||Virgilius,"'Publius Vergilius Maro (Classical Latin: [ˈpuː.blɪ.ʊs wɛrˈgɪ.lɪ.ʊs ˈma.roː]; October 15, 70 BC – September 21, 19 BC), usually called Virgil or Vergil /ˈvɜrdʒɨl/ in English, was an ancient Roman poet of the Augustan period. He is known for three major works of Latin literature, the Eclogues (or Bucolics), the Georgics, and the epic Aeneid.'",
RepentanceInJudaism,repentance in Judaism,Repentance,Repentance in judaism||Teshuva||Teshuvah||Teshuwah||Tshuva||Tshuvah||Tshuwah,"'Repentance (Hebrew: תשובה\u200e, literally ""return"", pronounced ""tshuva"" or ""teshuva"") is one element of atoning for sin in Judaism. A Jewish penitent is traditionally known as a baal teshuva (lit. ""master of repentance"" or ""master of return"") (Hebrew: בעל תשובה\u200e; for a woman:Hebrew: בעלת תשובה\u200e, baalat teshuva; plural: Hebrew: בעלי תשובה\u200e, baalei teshuva). An alternative modern term is hozer beteshuva (Hebrew: חוזר בתשובה\u200e) (lit. ""returning in repentance"").'",
Ikebana,Ikebana,FlowerArranging,Japanese flower arrangement||Kadō||Zen'ei Ikebana||Zen'ei ikebana||生花||華道,"'Ikebana (生け花, ""living flowers"") is the Japanese art of flower arrangement, also known as kadō (華道, the ""way of flowers"").'",
Etiquette,etiquette,CodeOfConduct||Courtesy,Affabilities||Affability||Affable||Affableness||Affably||Business Etiquette||Business culture||Business custom||Business etiquette||Business manners||Common Courtesy||Common courtesy||Courteous||Courteously||Courteousness||Etiquet||Etiquette Worldwide||Etiquettes||Ettiquette||Good humored||Good humoured||Good-humored||Good-humoured||Goodhumored||Goodhumoured||International Etiquette||Manners||Mu'aasharat||Office Etiquette||Office etiquette||SHUT THE FUCK UP||Social etiquette||Uncourteousness||Uncourtesies||Uncourtesy||Worldwide etiquette,"'Etiquette (/ˈɛtɨkɛt/ or /ˈɛtɨkɪt/, French: [e.ti.kɛt]) is a code of behavior that delineates expectations for social behavior according to contemporary conventional norms within a society, social class, or group. The French word étiquette, literally signifying a tag or label, was used in a modern sense in English around 1750. From the 1500s through the early 1900s, children learned etiquette at school. Etiquette has changed and evolved over the years.'",
ProvenceAlpesCoteDAzur,Provence-Alpes-Cote d'Azur,FrenchRegion,PACA (France)||PACA region||Prouvènço-Aup-Costo d'Azur||Provence Alpes Cote d'Azur||Provence-Alpes-Cote d'Azur||Provence-Alpes-Cote dAzur||Provence-Alpes-Cote-d'Azur||Provence-Alpes-Côte dAzur||Provence-Alpes-Côte d’Azur||Provence-Alpes-Côte-d'Azur||Provence-Alps-Cote-d'Azur||Provença-Aups-Còsta d'Azur,"""Provence-Alpes-Côte d'Azur (French pronunciation: [pʁɔ.vɑ̃s alp kot da.zyʁ]; Provençal: Provença-Aups-Còsta d'Azur; Italian: Provenza-Alpi-Costa Azzurra) or PACA is one of the 27 regions of France. It is made up of: the former French province of Provence the former papal territory of Avignon, known as Comtat Venaissin the former Sardinian-Piedmontese county of Nice, whose coastline is known in English as the French Riviera, and in French as the Côte d'Azur the southeastern part of the former French province of Dauphiné, in the French Alps. It encompasses six departments in south-eastern France, bounded to the east by the Italian border, to the south by the Mediterranean Sea and by the principality of Monaco, to the north by Rhône-Alpes, and to the west by Languedoc-Roussillon, with the Rhône river marking its westernmost border.""",
AbsoluteZero,absolute zero,Temperature,-273 C||-273 °C||-273.15 °C||-459.67 °F||0 K||0 Kelvin||0-K||Absolute 0||Absolute Zero||Coldest place||Coldest place in the universe||Coolest place||Coolest place in the universe||The coldest place||Zero temperature||−459.67 °F,"'Absolute zero is the lowest possible temperature. It is defined as 0 on the Kelvin scale, or -273 on the Celcius scale. It is an instance of <a href=""http://sw.opencyc.org/concept/Mx4rvVicfJwpEbGdrcN5Y29ycA"">Temperature</a>, and a <a href=""http://sw.opencyc.org/concept/Mx4rwt0ApI_sQdieVOkl2A6YFQ"">ScalarNullValue</a>.'",
ArabWorld,Arab world,Country,Al-wațan al-ʿarabī||Al-ʻālam al-ʻarabi||Al-ʿālam al-ʿarabī||Arab Africa||Arab World||Arab bloc||Arab nation||Arab nations||Arab region||Arab-Muslim cultural area||Arabian world||Arabic States||Arabic countries||Arabic world||Arabic-speaking world||Borders of the Arab World||Borders of the Arab world||Borders of the arab world||Boundaries of the arab world||Education in the Arab World||Geographic distribution of Arabic||The Arab World||العالم العربي,"'The Arab world (Arabic: العالم العربي\u200e al-ʿālam al-ʿarabī; formally: الوطن العربي al-wațan al-ʿarabī), also known as the Arab Nation (الأمة العربية al-ʾummah al-ʿarabīah), consists of the 22 Arabic-speaking countries of the Arab League. The standard definition of the Arab world comprises the 22 countries and territories of the Arab League.'",
Tibetology,Tibetology,AsianStudies,Tibetologist,"'Tibetology (Tibetan: བོད་རིག་པ་, Wylie: bod-rig-pa) refers to the study of things related to Tibet, including its history, religion, language, politics and the collection of Tibetan topics of historical, cultural and religious significance. The last may mean a collection of Tibetan statues, shrines, Buddhist icons and holy scripts, Thanka embroideries, paintings and tapestries, jewellery, masks and other objects of fine Tibetan art and craftsmanship.'",
