source,target,Subs,SuperType,Color
Person,kko.Persons,2,Persons,#B22C8E
PersonTypes,kko.Persons,2,Persons,#B22C8E
GeopoliticalEntity,kko.Geopolitical,2,Geopolitical,#A92395
GeopoliticalRivalry,kko.Geopolitical,2,Geopolitical,#A92395
Action,kko.ActionTypes,2,ActionTypes,#F58D45
Perceiving,kko.ActionTypes,2,ActionTypes,#F58D45
Media,kko.Denotatives,2,Denotatives,#ED7B51
Label_IBO,kko.Denotatives,2,Denotatives,#ED7B51
FungusBLO,kko.ProtistsFungus,3,ProtistsFungus,#C5407D
ProtistBLO,kko.ProtistsFungus,3,ProtistsFungus,#C5407D
Oomycota,kko.ProtistsFungus,3,ProtistsFungus,#C5407D
FieldOfStudy,kko.KnowledgeDomains,3,KnowledgeDomains,#15068A
AcademicDepartmentTypeBySubject,kko.KnowledgeDomains,3,KnowledgeDomains,#15068A
ScienceAndNature_Topic,kko.KnowledgeDomains,3,KnowledgeDomains,#15068A
Bacteria,kko.Prokaryotes,3,Prokaryotes,#CC4876
ProkaryoticCell,kko.Prokaryotes,3,Prokaryotes,#CC4876
ProkaryoticCellWall,kko.Prokaryotes,3,Prokaryotes,#CC4876
Equivalences,kko.DirectRelations,3,DirectRelations,#F8963F
Parts,kko.DirectRelations,3,DirectRelations,#F8963F
Descendant,kko.DirectRelations,3,DirectRelations,#F8963F
Configuration,kko.IntrinsicAttributes,3,IntrinsicAttributes,#FCAC32
Quality,kko.IntrinsicAttributes,3,IntrinsicAttributes,#FCAC32
Elementals,kko.IntrinsicAttributes,3,IntrinsicAttributes,#FCAC32
Identifier,kko.Indexes,3,Indexes,#EB7654
Pointers,kko.Indexes,3,Indexes,#EB7654
Codes,kko.Indexes,3,Indexes,#EB7654
Event,kko.EventTypes,3,EventTypes,#F8DF24
DurativeEventType,kko.EventTypes,3,EventTypes,#F8DF24
RepeatedEventType,kko.EventTypes,3,EventTypes,#F8DF24
Situants,kko.ContextualAttributes,3,ContextualAttributes,#FBA238
Classification,kko.ContextualAttributes,3,ContextualAttributes,#FBA238
TimeAttributes,kko.ContextualAttributes,3,ContextualAttributes,#FBA238
