ST 1(x),ST 2(y),Rank,Overlap,Overlap/ST 1,ST 1 RCs,ST 2 RCs
Times,Times,0,,---,560,560
Times,TimeTypes,1.1,,---,560,8142
Times,EventTypes,12,139,24.8%,560,7679
Times,Chemistry,none,0,0.0%,560,881
Times,NaturalMatter,none,0,0.0%,560,2675
Times,AtomsElements,none,0,0.0%,560,508
Times,NaturalSubstances,none,0,0.0%,560,1796
Times,ActionTypes,6,325,58.0%,560,9514
Times,SituationTypes,none,0,0.0%,560,7049
Times,LocationPlace,none,0,0.0%,560,4396
Times,AreaRegion,none,0,0.0%,560,2079
Times,Places,none,0,0.0%,560,8063
Times,SpaceTypes,none,0,0.0%,560,33756
Times,Forms,none,0,0.0%,560,9159
Times,Shapes,none,0,0.0%,560,14707
Times,NaturalPhenomena,24,2,0.4%,560,959
Times,Information,none,0,0.0%,560,6050
Times,VisualInfo,none,0,0.0%,560,1085
Times,AVInfo,none,0,0.0%,560,1526
Times,WrittenInfo,none,0,0.0%,560,1909
Times,StructuredInfo,none,0,0.0%,560,2108
Times,AudioInfo,none,0,0.0%,560,453
Times,OrganicChemistry,none,0,0.0%,560,929
Times,LivingThings,none,0,0.0%,560,11013
Times,Eukaryotes,none,0,0.0%,560,9593
Times,Plants,none,0,0.0%,560,2303
Times,Animals,none,0,0.0%,560,7087
Times,OrganicMatter,none,0,0.0%,560,21374
Times,Persons,none,0,0.0%,560,3641
Times,Agents,none,0,0.0%,560,8662
Times,Diseases,none,0,0.0%,560,922
Times,Organizations,none,0,0.0%,560,4848
Times,ProtistsFungus,none,0,0.0%,560,187
Times,BiologicalProcesses,none,0,0.0%,560,295
Times,Geopolitical,none,0,0.0%,560,2049
Times,Prokaryotes,none,0,0.0%,560,273
Times,TopicsCategories,none,0,0.0%,560,1456
Times,EconomicSystems,none,0,0.0%,560,1159
Times,EmergentKnowledge,none,0,0.0%,560,179
Times,InquiryMethods,25,1,0.2%,560,652
Times,LearningProcesses,15,51,9.1%,560,1799
