id,subClassOf,parent
http://kbpedia.org/kko/rc/Congregant,rdfs:subClassOf,http://kbpedia.org/kko/rc/PersonTypeByReligion
http://kbpedia.org/kko/rc/Congregant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GuardiaCivil-Spain,rdfs:subClassOf,http://kbpedia.org/kko/rc/NationalPoliceOrganization
http://kbpedia.org/kko/rc/GuardiaCivil-Spain,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfAndalusians
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfArab-Berbers
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfBerbers
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SouthernConference,rdfs:subClassOf,http://kbpedia.org/kko/rc/NCAAConference
http://kbpedia.org/kko/rc/SouthernConference,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfKarakalpaks,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfAsians
http://kbpedia.org/kko/rc/EthnicGroupOfKarakalpaks,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BuonMaThuot,rdfs:subClassOf,http://kbpedia.org/kko/rc/DacLac-ProvinceVietnam
http://kbpedia.org/kko/rc/BuonMaThuot,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ProgressiveRockMusicPerformer,rdfs:subClassOf,http://kbpedia.org/kko/rc/RockMusicPerformer
http://kbpedia.org/kko/rc/ProgressiveRockMusicPerformer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MemberOfTrinityHouse,rdfs:subClassOf,http://kbpedia.org/kko/rc/CommitteeMember
http://kbpedia.org/kko/rc/MemberOfTrinityHouse,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Biologist,rdfs:subClassOf,http://kbpedia.org/kko/rc/Scientist
http://kbpedia.org/kko/rc/Biologist,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CreditManager,rdfs:subClassOf,http://kbpedia.org/kko/rc/Manager
http://kbpedia.org/kko/rc/CreditManager,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Taxpayer,rdfs:subClassOf,http://kbpedia.org/kko/rc/PersonTypeByEconomics
http://kbpedia.org/kko/rc/Taxpayer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Taxpayer,rdfs:subClassOf,http://kbpedia.org/kko/rc/LegalAgent
http://kbpedia.org/kko/rc/Taxpayer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Province-Iraq,rdfs:subClassOf,http://kbpedia.org/kko/rc/Province
http://kbpedia.org/kko/rc/Province-Iraq,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Brahmin,rdfs:subClassOf,http://kbpedia.org/kko/rc/PersonTypeBySocialClass
http://kbpedia.org/kko/rc/Brahmin,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ChinesePeople,rdfs:subClassOf,http://kbpedia.org/kko/rc/PersonTypeByNationality
http://kbpedia.org/kko/rc/ChinesePeople,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CaspianLittoralState,rdfs:subClassOf,http://kbpedia.org/kko/rc/CaspianCountry
http://kbpedia.org/kko/rc/CaspianLittoralState,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SouthCotabato-ProvincePhilippines,rdfs:subClassOf,http://kbpedia.org/kko/rc/Province-Philippines
http://kbpedia.org/kko/rc/SouthCotabato-ProvincePhilippines,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CriticOfChristianScience,rdfs:subClassOf,http://kbpedia.org/kko/rc/PersonTypeByReligion
http://kbpedia.org/kko/rc/CriticOfChristianScience,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/USDepartmentOfTransportation,rdfs:subClassOf,http://kbpedia.org/kko/rc/USExecutiveBranch
http://kbpedia.org/kko/rc/USDepartmentOfTransportation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/KabylePeople,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfBerbers
http://kbpedia.org/kko/rc/KabylePeople,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SouthernIntercollegiateAthleticConference,rdfs:subClassOf,http://kbpedia.org/kko/rc/NCAAConference
http://kbpedia.org/kko/rc/SouthernIntercollegiateAthleticConference,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfNegritos,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfAsians
http://kbpedia.org/kko/rc/EthnicGroupOfNegritos,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DzungarKhanate,rdfs:subClassOf,http://kbpedia.org/kko/rc/Xinjiang-ProvinceChina
http://kbpedia.org/kko/rc/DzungarKhanate,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Duet,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicPerformanceOrganization
http://kbpedia.org/kko/rc/Duet,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryOfficer,rdfs:subClassOf,http://kbpedia.org/kko/rc/MilitaryPerson
http://kbpedia.org/kko/rc/MilitaryOfficer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryOfficer,rdfs:subClassOf,http://kbpedia.org/kko/rc/OfficerInOrganization
http://kbpedia.org/kko/rc/MilitaryOfficer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Mathematician,rdfs:subClassOf,http://kbpedia.org/kko/rc/Scientist
http://kbpedia.org/kko/rc/Mathematician,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Ictinus,rdfs:subClassOf,http://kbpedia.org/kko/rc/Architect
http://kbpedia.org/kko/rc/Ictinus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HedgeFund,rdfs:subClassOf,http://kbpedia.org/kko/rc/CollectivelyManagedFundOrganization
http://kbpedia.org/kko/rc/HedgeFund,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/VeracruzLlave-StateMexico,rdfs:subClassOf,http://kbpedia.org/kko/rc/State-Mexico
http://kbpedia.org/kko/rc/VeracruzLlave-StateMexico,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CroatianPeople,rdfs:subClassOf,http://kbpedia.org/kko/rc/PersonTypeByNationality
http://kbpedia.org/kko/rc/CroatianPeople,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Kazakhstan,rdfs:subClassOf,http://kbpedia.org/kko/rc/CaspianCountry
http://kbpedia.org/kko/rc/Kazakhstan,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sulu-ProvincePhilippines,rdfs:subClassOf,http://kbpedia.org/kko/rc/Province-Philippines
http://kbpedia.org/kko/rc/Sulu-ProvincePhilippines,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Disciple,rdfs:subClassOf,http://kbpedia.org/kko/rc/PersonTypeByReligion
http://kbpedia.org/kko/rc/Disciple,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/USDepartmentOfDefense,rdfs:subClassOf,http://kbpedia.org/kko/rc/USExecutiveBranch
http://kbpedia.org/kko/rc/USDepartmentOfDefense,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/NigerianFulaPeople,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfFula
http://kbpedia.org/kko/rc/NigerianFulaPeople,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SouthlandConference,rdfs:subClassOf,http://kbpedia.org/kko/rc/NCAAConference
http://kbpedia.org/kko/rc/SouthlandConference,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfUighur,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfAsians
http://kbpedia.org/kko/rc/EthnicGroupOfUighur,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Rojava,rdfs:subClassOf,http://kbpedia.org/kko/rc/Kurdistan-ProvinceIran
http://kbpedia.org/kko/rc/Rojava,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/NewWaveMusicPerformer,rdfs:subClassOf,http://kbpedia.org/kko/rc/RockMusicPerformer
http://kbpedia.org/kko/rc/NewWaveMusicPerformer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Quilter,rdfs:subClassOf,http://kbpedia.org/kko/rc/CraftWorker
http://kbpedia.org/kko/rc/Quilter,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Anthropologist,rdfs:subClassOf,http://kbpedia.org/kko/rc/Scientist
http://kbpedia.org/kko/rc/Anthropologist,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RetailDepartmentManager,rdfs:subClassOf,http://kbpedia.org/kko/rc/Manager
http://kbpedia.org/kko/rc/RetailDepartmentManager,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Trust-LegalEntity,rdfs:subClassOf,http://kbpedia.org/kko/rc/FinancialAgent
http://kbpedia.org/kko/rc/Trust-LegalEntity,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ChineseProvince,rdfs:subClassOf,http://kbpedia.org/kko/rc/Province
http://kbpedia.org/kko/rc/ChineseProvince,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GermanPeople,rdfs:subClassOf,http://kbpedia.org/kko/rc/PersonTypeByNationality
http://kbpedia.org/kko/rc/GermanPeople,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Russia,rdfs:subClassOf,http://kbpedia.org/kko/rc/CaspianCountry
http://kbpedia.org/kko/rc/Russia,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/West-ProvinceCameroon,rdfs:subClassOf,http://kbpedia.org/kko/rc/Province-Cameroon
http://kbpedia.org/kko/rc/West-ProvinceCameroon,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Messiah,rdfs:subClassOf,http://kbpedia.org/kko/rc/PersonTypeByReligion
http://kbpedia.org/kko/rc/Messiah,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CabinetOfSingapore,rdfs:subClassOf,http://kbpedia.org/kko/rc/CabinetLevelDepartment
http://kbpedia.org/kko/rc/CabinetOfSingapore,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfBambara,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfMande
http://kbpedia.org/kko/rc/EthnicGroupOfBambara,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Mid-ContinentConference,rdfs:subClassOf,http://kbpedia.org/kko/rc/NCAAConference
http://kbpedia.org/kko/rc/Mid-ContinentConference,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfYao,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfAsians
http://kbpedia.org/kko/rc/EthnicGroupOfYao,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Gorals,rdfs:subClassOf,http://kbpedia.org/kko/rc/Malopolskie-ProvincePoland
http://kbpedia.org/kko/rc/Gorals,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Ensemble,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicPerformanceOrganization
http://kbpedia.org/kko/rc/Ensemble,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Potter,rdfs:subClassOf,http://kbpedia.org/kko/rc/CraftWorker
http://kbpedia.org/kko/rc/Potter,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ComputerScientist,rdfs:subClassOf,http://kbpedia.org/kko/rc/Scientist
http://kbpedia.org/kko/rc/ComputerScientist,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/JudgeOfAncientIsrael,rdfs:subClassOf,http://kbpedia.org/kko/rc/Judge
http://kbpedia.org/kko/rc/JudgeOfAncientIsrael,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FederalHomeLoanMortgageCorporation,rdfs:subClassOf,http://kbpedia.org/kko/rc/MortgageLender
http://kbpedia.org/kko/rc/FederalHomeLoanMortgageCorporation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Province-Armenia,rdfs:subClassOf,http://kbpedia.org/kko/rc/Province
http://kbpedia.org/kko/rc/Province-Armenia,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PakehaMaori,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfMaoris
http://kbpedia.org/kko/rc/PakehaMaori,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BruneianPeople,rdfs:subClassOf,http://kbpedia.org/kko/rc/PersonTypeByNationality
