id,subClassOf,parent
http://kbpedia.org/kko/rc/MatagordaBay,rdfs:subClassOf,http://kbpedia.org/kko/rc/Bay
http://kbpedia.org/kko/rc/MatagordaBay,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PeriodicallyFloodedRegion,rdfs:subClassOf,http://kbpedia.org/kko/rc/RegionTypeBySurfaceDrainage-NRCS
http://kbpedia.org/kko/rc/PeriodicallyFloodedRegion,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BerkshireMountains,rdfs:subClassOf,http://kbpedia.org/kko/rc/MountainRange
http://kbpedia.org/kko/rc/BerkshireMountains,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HemlockLake,rdfs:subClassOf,http://kbpedia.org/kko/rc/FingerLakes
http://kbpedia.org/kko/rc/HemlockLake,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/TriangulumAustrale-Constellation,rdfs:subClassOf,http://kbpedia.org/kko/rc/Constellation
http://kbpedia.org/kko/rc/TriangulumAustrale-Constellation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Tenea,rdfs:subClassOf,http://kbpedia.org/kko/rc/City
http://kbpedia.org/kko/rc/Tenea,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DelNorteCountyCalifornia,rdfs:subClassOf,http://kbpedia.org/kko/rc/NorthernCalifornia
http://kbpedia.org/kko/rc/DelNorteCountyCalifornia,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SaintLawrenceRiver,rdfs:subClassOf,http://kbpedia.org/kko/rc/River
http://kbpedia.org/kko/rc/SaintLawrenceRiver,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HostileRegion,rdfs:subClassOf,http://kbpedia.org/kko/rc/TacticalArea
http://kbpedia.org/kko/rc/HostileRegion,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HostileRegion,rdfs:subClassOf,http://kbpedia.org/kko/rc/MilitaryTerrain
http://kbpedia.org/kko/rc/HostileRegion,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Ortsteil-Germany,rdfs:subClassOf,http://kbpedia.org/kko/rc/Neighborhood
http://kbpedia.org/kko/rc/Ortsteil-Germany,rdfs:subClassOf,owl:Thing
