id,subClassOf,parent
http://kbpedia.org/kko/rc/PhosphideIon,rdfs:subClassOf,http://kbpedia.org/kko/rc/MonoatomicAnion
http://kbpedia.org/kko/rc/PhosphideIon,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CobaltIII-Ion,rdfs:subClassOf,http://kbpedia.org/kko/rc/MonoatomicIon
http://kbpedia.org/kko/rc/CobaltIII-Ion,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CobaltIII-Ion,rdfs:subClassOf,http://kbpedia.org/kko/rc/VariableChargeCation
http://kbpedia.org/kko/rc/CobaltIII-Ion,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RadioactiveIsotope,rdfs:subClassOf,http://kbpedia.org/kko/rc/Isotope
http://kbpedia.org/kko/rc/RadioactiveIsotope,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RadioactiveIsotope,rdfs:subClassOf,http://kbpedia.org/kko/rc/Pollutant
http://kbpedia.org/kko/rc/RadioactiveIsotope,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RadioactiveIsotope,rdfs:subClassOf,http://kbpedia.org/kko/rc/RadioactiveStuff
http://kbpedia.org/kko/rc/RadioactiveIsotope,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CaesiumCompound,rdfs:subClassOf,http://kbpedia.org/kko/rc/Cesium
http://kbpedia.org/kko/rc/CaesiumCompound,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CaesiumCompound,rdfs:subClassOf,http://kbpedia.org/kko/rc/ChemicalCompoundTypeByChemicalSpecies
http://kbpedia.org/kko/rc/CaesiumCompound,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HydrogenPhysics,rdfs:subClassOf,http://kbpedia.org/kko/rc/Hydrogen
http://kbpedia.org/kko/rc/HydrogenPhysics,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Europium,rdfs:subClassOf,http://kbpedia.org/kko/rc/RareEarthMetal
http://kbpedia.org/kko/rc/Europium,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Europium,rdfs:subClassOf,http://kbpedia.org/kko/rc/UnalloyedMetal
http://kbpedia.org/kko/rc/Europium,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/IsotopeOfPraseodymium,rdfs:subClassOf,http://kbpedia.org/kko/rc/Praseodymium
http://kbpedia.org/kko/rc/IsotopeOfPraseodymium,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BariumCompound,rdfs:subClassOf,http://kbpedia.org/kko/rc/Barium
http://kbpedia.org/kko/rc/BariumCompound,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BariumCompound,rdfs:subClassOf,http://kbpedia.org/kko/rc/ChemicalCompoundTypeByChemicalSpecies
http://kbpedia.org/kko/rc/BariumCompound,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/IsotopeOfCalcium,rdfs:subClassOf,http://kbpedia.org/kko/rc/Calcium
http://kbpedia.org/kko/rc/IsotopeOfCalcium,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Oxygen,rdfs:subClassOf,http://kbpedia.org/kko/rc/NonMetal
http://kbpedia.org/kko/rc/Oxygen,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Oxygen,rdfs:subClassOf,http://kbpedia.org/kko/rc/NonMetalPureElementalGas
http://kbpedia.org/kko/rc/Oxygen,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Platinum,rdfs:subClassOf,http://kbpedia.org/kko/rc/PreciousMetalSource
http://kbpedia.org/kko/rc/Platinum,rdfs:subClassOf,owl:Thing
