id,subClassOf,parent
http://kbpedia.org/kko/rc/MercuryOxide,rdfs:subClassOf,http://kbpedia.org/kko/rc/InorganicCompound
http://kbpedia.org/kko/rc/MercuryOxide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Femtochemistry,rdfs:subClassOf,http://kbpedia.org/kko/rc/PhysicalChemistry
http://kbpedia.org/kko/rc/Femtochemistry,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,http://kbpedia.org/kko/rc/CellularSignalingSecondMessenger
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,http://kbpedia.org/kko/rc/Gaseous-StateOfMatter
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,http://kbpedia.org/kko/rc/IndustrialUseGas
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,http://kbpedia.org/kko/rc/InorganicCompound
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,http://kbpedia.org/kko/rc/NoOdor
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,http://kbpedia.org/kko/rc/Oxide
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,http://kbpedia.org/kko/rc/ToxicSubstance
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,http://kbpedia.org/kko/rc/Transparent
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PotassiumChloride,rdfs:subClassOf,http://kbpedia.org/kko/rc/InorganicCompound
http://kbpedia.org/kko/rc/PotassiumChloride,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PotassiumChloride,rdfs:subClassOf,http://kbpedia.org/kko/rc/IonicCompound
http://kbpedia.org/kko/rc/PotassiumChloride,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PotassiumChloride,rdfs:subClassOf,http://kbpedia.org/kko/rc/PotassiumSalt
http://kbpedia.org/kko/rc/PotassiumChloride,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PotassiumChloride,rdfs:subClassOf,http://kbpedia.org/kko/rc/StrongElectrolyte
http://kbpedia.org/kko/rc/PotassiumChloride,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EukaryoticRNAProcessing,rdfs:subClassOf,http://kbpedia.org/kko/rc/BiologicalProcess-CellularLevel
