id,subClassOf,parent
http://kbpedia.org/kko/rc/Road-Signs-France,rdfs:subClassOf,http://kbpedia.org/kko/rc/RoadSign
http://kbpedia.org/kko/rc/Road-Signs-France,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HardcopyInformationBearingObject,rdfs:subClassOf,http://kbpedia.org/kko/rc/HumanAccessibleIBO
http://kbpedia.org/kko/rc/HardcopyInformationBearingObject,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HardcopyInformationBearingObject,rdfs:subClassOf,http://kbpedia.org/kko/rc/SolidTangibleArtifact
http://kbpedia.org/kko/rc/HardcopyInformationBearingObject,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HardcopyInformationBearingObject,rdfs:subClassOf,http://kbpedia.org/kko/rc/StillImageSource
http://kbpedia.org/kko/rc/HardcopyInformationBearingObject,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WrestlingAnimeAndManga,rdfs:subClassOf,http://kbpedia.org/kko/rc/Manga
http://kbpedia.org/kko/rc/WrestlingAnimeAndManga,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Club-TheSuit,rdfs:subClassOf,http://kbpedia.org/kko/rc/PlayingCard
http://kbpedia.org/kko/rc/Club-TheSuit,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Chart,rdfs:subClassOf,http://kbpedia.org/kko/rc/Infographic
http://kbpedia.org/kko/rc/Chart,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DishonorableDischargeDocument,rdfs:subClassOf,http://kbpedia.org/kko/rc/MilitaryDischargePaper
http://kbpedia.org/kko/rc/DishonorableDischargeDocument,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Centerfold-PhotoOfPerson,rdfs:subClassOf,http://kbpedia.org/kko/rc/Centerfold-Generic
http://kbpedia.org/kko/rc/Centerfold-PhotoOfPerson,rdfs:subClassOf,owl:Thing
