id,subClassOf,parent
http://kbpedia.org/kko/rc/Clobex,rdfs:subClassOf,http://kbpedia.org/kko/rc/Corticosteroid
http://kbpedia.org/kko/rc/Clobex,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Biopharmaceutical,rdfs:subClassOf,http://kbpedia.org/kko/rc/PharmaceuticalProduct
http://kbpedia.org/kko/rc/Biopharmaceutical,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HydrogenIodide,rdfs:subClassOf,http://kbpedia.org/kko/rc/ChemicallyAcidicSubstance
http://kbpedia.org/kko/rc/HydrogenIodide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HydrogenIodide,rdfs:subClassOf,http://kbpedia.org/kko/rc/InorganicMaterial
http://kbpedia.org/kko/rc/HydrogenIodide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HydrogenIodide,rdfs:subClassOf,http://kbpedia.org/kko/rc/StrongElectrolyte
http://kbpedia.org/kko/rc/HydrogenIodide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Clidinium,rdfs:subClassOf,http://kbpedia.org/kko/rc/CholinergicBlockingAgent
http://kbpedia.org/kko/rc/Clidinium,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sumitriptan,rdfs:subClassOf,http://kbpedia.org/kko/rc/Analgesic
http://kbpedia.org/kko/rc/Sumitriptan,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HempPlant,rdfs:subClassOf,http://kbpedia.org/kko/rc/Cannabis
http://kbpedia.org/kko/rc/HempPlant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HempPlant,rdfs:subClassOf,http://kbpedia.org/kko/rc/HempFamily
http://kbpedia.org/kko/rc/HempPlant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Nadolol,rdfs:subClassOf,http://kbpedia.org/kko/rc/BetaBlocker
http://kbpedia.org/kko/rc/Nadolol,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AnaestheticSynthesized,rdfs:subClassOf,http://kbpedia.org/kko/rc/Anesthetic
http://kbpedia.org/kko/rc/AnaestheticSynthesized,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/NonsteroidalAntiInflammatoryQuinazolinone,rdfs:subClassOf,http://kbpedia.org/kko/rc/NonsteroidalAntiInflammatoryDrug
http://kbpedia.org/kko/rc/NonsteroidalAntiInflammatoryQuinazolinone,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Ketoconazole,rdfs:subClassOf,http://kbpedia.org/kko/rc/Antifungal
http://kbpedia.org/kko/rc/Ketoconazole,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AnthelminticChlorinatedHydrocarbon,rdfs:subClassOf,http://kbpedia.org/kko/rc/Anthelmintic
http://kbpedia.org/kko/rc/AnthelminticChlorinatedHydrocarbon,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CorticosteriodNaphthoquinonePregnanePregnene,rdfs:subClassOf,http://kbpedia.org/kko/rc/Corticosteroid
http://kbpedia.org/kko/rc/CorticosteriodNaphthoquinonePregnanePregnene,rdfs:subClassOf,owl:Thing
