id,subClassOf,parent
http://kbpedia.org/kko/rc/ShetlandPony,rdfs:subClassOf,http://kbpedia.org/kko/rc/Pony
http://kbpedia.org/kko/rc/ShetlandPony,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Dasani,rdfs:subClassOf,http://kbpedia.org/kko/rc/Liquid-Water
http://kbpedia.org/kko/rc/Dasani,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Dasani,rdfs:subClassOf,http://kbpedia.org/kko/rc/Water-Ingestible
http://kbpedia.org/kko/rc/Dasani,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ChurchwardenPipe,rdfs:subClassOf,http://kbpedia.org/kko/rc/Pipe-SmokingDevice
http://kbpedia.org/kko/rc/ChurchwardenPipe,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/OmaniCuisine,rdfs:subClassOf,http://kbpedia.org/kko/rc/EastAsianCuisine
http://kbpedia.org/kko/rc/OmaniCuisine,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/OmaniCuisine,rdfs:subClassOf,http://kbpedia.org/kko/rc/MiddleEasternCuisine
http://kbpedia.org/kko/rc/OmaniCuisine,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ScottishBlackfaceSheep,rdfs:subClassOf,http://kbpedia.org/kko/rc/Sheep-Domestic
http://kbpedia.org/kko/rc/ScottishBlackfaceSheep,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Anchariidae,rdfs:subClassOf,http://kbpedia.org/kko/rc/Catfish
http://kbpedia.org/kko/rc/Anchariidae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Coffee-Hot,rdfs:subClassOf,http://kbpedia.org/kko/rc/HotBeverage
http://kbpedia.org/kko/rc/Coffee-Hot,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CitrusFruitTree,rdfs:subClassOf,http://kbpedia.org/kko/rc/FruitTree
http://kbpedia.org/kko/rc/CitrusFruitTree,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CitrusFruitTree,rdfs:subClassOf,http://kbpedia.org/kko/rc/PerennialPlant
http://kbpedia.org/kko/rc/CitrusFruitTree,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HempPlant,rdfs:subClassOf,http://kbpedia.org/kko/rc/Cannabis
http://kbpedia.org/kko/rc/HempPlant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HempPlant,rdfs:subClassOf,http://kbpedia.org/kko/rc/HempFamily
http://kbpedia.org/kko/rc/HempPlant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/OziusTruncatus,rdfs:subClassOf,http://kbpedia.org/kko/rc/Crab
http://kbpedia.org/kko/rc/OziusTruncatus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ItalianProducts-ProtectedDesignationOfOrigin,rdfs:subClassOf,http://kbpedia.org/kko/rc/ProtectedFoodstuff
http://kbpedia.org/kko/rc/ItalianProducts-ProtectedDesignationOfOrigin,rdfs:subClassOf,owl:Thing
