id,subClassOf,parent
http://kbpedia.org/kko/rc/InuitLanguageFamily,rdfs:subClassOf,http://kbpedia.org/kko/rc/EskimoLanguageFamily
http://kbpedia.org/kko/rc/InuitLanguageFamily,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/TransportProtocolDataUnit,rdfs:subClassOf,http://kbpedia.org/kko/rc/InternetInformation
http://kbpedia.org/kko/rc/TransportProtocolDataUnit,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CreekLanguage,rdfs:subClassOf,http://kbpedia.org/kko/rc/LivingLanguage
http://kbpedia.org/kko/rc/CreekLanguage,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/NovialConstructedLanguage,rdfs:subClassOf,http://kbpedia.org/kko/rc/InternationalAuxiliaryLanguage
http://kbpedia.org/kko/rc/NovialConstructedLanguage,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DiskSector,rdfs:subClassOf,http://kbpedia.org/kko/rc/ArtificialMaterial
http://kbpedia.org/kko/rc/DiskSector,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DiskSector,rdfs:subClassOf,http://kbpedia.org/kko/rc/ComputerInformationStorageMedia
http://kbpedia.org/kko/rc/DiskSector,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Spelling,rdfs:subClassOf,http://kbpedia.org/kko/rc/IBOCreation
http://kbpedia.org/kko/rc/Spelling,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Spelling,rdfs:subClassOf,http://kbpedia.org/kko/rc/LanguageMechanics
http://kbpedia.org/kko/rc/Spelling,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ReligiousHolidayCard,rdfs:subClassOf,http://kbpedia.org/kko/rc/GreetingCard
http://kbpedia.org/kko/rc/ReligiousHolidayCard,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MusicalPerformanceTicket,rdfs:subClassOf,http://kbpedia.org/kko/rc/EntertainmentPerformanceTicket
http://kbpedia.org/kko/rc/MusicalPerformanceTicket,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Teleportation,rdfs:subClassOf,http://kbpedia.org/kko/rc/PropositionalConceptualWork-ScienceFictionGenre
http://kbpedia.org/kko/rc/Teleportation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Teleportation,rdfs:subClassOf,http://kbpedia.org/kko/rc/QuantumMechanics
