id,subClassOf,parent
http://kbpedia.org/kko/rc/Buying-HumanResidence,rdfs:subClassOf,http://kbpedia.org/kko/rc/Buying-RealEstate
http://kbpedia.org/kko/rc/Buying-HumanResidence,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Buying-HumanResidence,rdfs:subClassOf,http://kbpedia.org/kko/rc/BuyingAnObject
http://kbpedia.org/kko/rc/Buying-HumanResidence,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Buying-HumanResidence,rdfs:subClassOf,http://kbpedia.org/kko/rc/Buying
http://kbpedia.org/kko/rc/Buying-HumanResidence,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AdvertisingRegulation,rdfs:subClassOf,http://kbpedia.org/kko/rc/Advertising
http://kbpedia.org/kko/rc/AdvertisingRegulation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AdvertisingRegulation,rdfs:subClassOf,http://kbpedia.org/kko/rc/Regulation
http://kbpedia.org/kko/rc/AdvertisingRegulation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AdvertisingRegulation,rdfs:subClassOf,http://kbpedia.org/kko/rc/RegulatingASectorOrIndustry
http://kbpedia.org/kko/rc/AdvertisingRegulation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Chart,rdfs:subClassOf,http://kbpedia.org/kko/rc/Infographic
http://kbpedia.org/kko/rc/Chart,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Understanding,rdfs:subClassOf,http://kbpedia.org/kko/rc/Comprehending
http://kbpedia.org/kko/rc/Understanding,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MakingABankWithdrawal,rdfs:subClassOf,http://kbpedia.org/kko/rc/BankTransaction
http://kbpedia.org/kko/rc/MakingABankWithdrawal,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MakingABankWithdrawal,rdfs:subClassOf,http://kbpedia.org/kko/rc/BankingInvestment
http://kbpedia.org/kko/rc/MakingABankWithdrawal,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MakingABankWithdrawal,rdfs:subClassOf,http://kbpedia.org/kko/rc/ServiceEvent
http://kbpedia.org/kko/rc/MakingABankWithdrawal,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DomainNameRegistration,rdfs:subClassOf,http://kbpedia.org/kko/rc/GainingUserRights
http://kbpedia.org/kko/rc/DomainNameRegistration,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DomainNameRegistration,rdfs:subClassOf,http://kbpedia.org/kko/rc/RegisteringForAService
http://kbpedia.org/kko/rc/DomainNameRegistration,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PrivateMedicalInsurance,rdfs:subClassOf,http://kbpedia.org/kko/rc/MedicalInsurance
http://kbpedia.org/kko/rc/PrivateMedicalInsurance,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sandboarding,rdfs:subClassOf,http://kbpedia.org/kko/rc/AthleticActivity
http://kbpedia.org/kko/rc/Sandboarding,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DescriptiveSetTheory,rdfs:subClassOf,http://kbpedia.org/kko/rc/SetTheory
http://kbpedia.org/kko/rc/DescriptiveSetTheory,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FormulaThreeSeason,rdfs:subClassOf,http://kbpedia.org/kko/rc/RacingSeason
http://kbpedia.org/kko/rc/FormulaThreeSeason,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Curling-SportsEvent,rdfs:subClassOf,http://kbpedia.org/kko/rc/IndividualSportsCompetition
http://kbpedia.org/kko/rc/Curling-SportsEvent,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Bequest,rdfs:subClassOf,http://kbpedia.org/kko/rc/GivingSomething
http://kbpedia.org/kko/rc/Bequest,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Bequest,rdfs:subClassOf,http://kbpedia.org/kko/rc/LegalProceeding
http://kbpedia.org/kko/rc/Bequest,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WeldingSafety,rdfs:subClassOf,http://kbpedia.org/kko/rc/OccupationalHealthAndSafety
http://kbpedia.org/kko/rc/WeldingSafety,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WeldingSafety,rdfs:subClassOf,http://kbpedia.org/kko/rc/Welding
http://kbpedia.org/kko/rc/WeldingSafety,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/StochasticProcess,rdfs:subClassOf,http://kbpedia.org/kko/rc/ProbabilityTheory
http://kbpedia.org/kko/rc/StochasticProcess,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/StochasticProcess,rdfs:subClassOf,http://kbpedia.org/kko/rc/Statistics
http://kbpedia.org/kko/rc/StochasticProcess,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/StochasticProcess,rdfs:subClassOf,http://kbpedia.org/kko/rc/ProcessType
http://kbpedia.org/kko/rc/StochasticProcess,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ForcedProstitution,rdfs:subClassOf,http://kbpedia.org/kko/rc/Prostitution
http://kbpedia.org/kko/rc/ForcedProstitution,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Needlework,rdfs:subClassOf,http://kbpedia.org/kko/rc/OrnamentalSewing
http://kbpedia.org/kko/rc/Needlework,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Teleportation,rdfs:subClassOf,http://kbpedia.org/kko/rc/PropositionalConceptualWork-ScienceFictionGenre
http://kbpedia.org/kko/rc/Teleportation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Teleportation,rdfs:subClassOf,http://kbpedia.org/kko/rc/QuantumMechanics
http://kbpedia.org/kko/rc/Teleportation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AutomobileAccidentInsurance-ThirdPartyFireAndTheft,rdfs:subClassOf,http://kbpedia.org/kko/rc/AutomobileInsurance
http://kbpedia.org/kko/rc/AutomobileAccidentInsurance-ThirdPartyFireAndTheft,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AutomobileAccidentInsurance-ThirdPartyFireAndTheft,rdfs:subClassOf,http://kbpedia.org/kko/rc/TheftInsurance
http://kbpedia.org/kko/rc/AutomobileAccidentInsurance-ThirdPartyFireAndTheft,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AutomobileAccidentInsurance-ThirdPartyFireAndTheft,rdfs:subClassOf,http://kbpedia.org/kko/rc/InsurancePlan
http://kbpedia.org/kko/rc/AutomobileAccidentInsurance-ThirdPartyFireAndTheft,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AggregateOffer,rdfs:subClassOf,http://kbpedia.org/kko/rc/Offer
http://kbpedia.org/kko/rc/AggregateOffer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AggregateOffer,rdfs:subClassOf,http://kbpedia.org/kko/rc/OfferingForSale
http://kbpedia.org/kko/rc/AggregateOffer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GeoCitiesWebHostingService,rdfs:subClassOf,http://kbpedia.org/kko/rc/InternetService
http://kbpedia.org/kko/rc/GeoCitiesWebHostingService,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GeoCitiesWebHostingService,rdfs:subClassOf,http://kbpedia.org/kko/rc/WebHosting
http://kbpedia.org/kko/rc/GeoCitiesWebHostingService,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GeoCitiesWebHostingService,rdfs:subClassOf,http://kbpedia.org/kko/rc/WebServer-Network
http://kbpedia.org/kko/rc/GeoCitiesWebHostingService,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ElectoralFraud,rdfs:subClassOf,http://kbpedia.org/kko/rc/Corruption-Activity
