id,subClassOf,parent
http://kbpedia.org/kko/rc/AmnioticBandSyndrome,rdfs:subClassOf,http://kbpedia.org/kko/rc/DiseaseType
http://kbpedia.org/kko/rc/AmnioticBandSyndrome,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BistroSpace,rdfs:subClassOf,http://kbpedia.org/kko/rc/RestaurantSpace
http://kbpedia.org/kko/rc/BistroSpace,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MemberOfTrinityHouse,rdfs:subClassOf,http://kbpedia.org/kko/rc/CommitteeMember
http://kbpedia.org/kko/rc/MemberOfTrinityHouse,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Biologist,rdfs:subClassOf,http://kbpedia.org/kko/rc/Scientist
http://kbpedia.org/kko/rc/Biologist,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CreditManager,rdfs:subClassOf,http://kbpedia.org/kko/rc/Manager
http://kbpedia.org/kko/rc/CreditManager,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/UnderwayReplenishmentShip,rdfs:subClassOf,http://kbpedia.org/kko/rc/ModernNavalShip
http://kbpedia.org/kko/rc/UnderwayReplenishmentShip,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CalendarEffect,rdfs:subClassOf,http://kbpedia.org/kko/rc/MarketCorrection
http://kbpedia.org/kko/rc/CalendarEffect,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryDefensiveOperation,rdfs:subClassOf,http://kbpedia.org/kko/rc/MilitaryOperation
http://kbpedia.org/kko/rc/MilitaryDefensiveOperation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryDefensiveOperation,rdfs:subClassOf,http://kbpedia.org/kko/rc/ProtectingSomething
http://kbpedia.org/kko/rc/MilitaryDefensiveOperation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Fear,rdfs:subClassOf,http://kbpedia.org/kko/rc/Displeasure
http://kbpedia.org/kko/rc/Fear,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Teleportation,rdfs:subClassOf,http://kbpedia.org/kko/rc/PropositionalConceptualWork-ScienceFictionGenre
http://kbpedia.org/kko/rc/Teleportation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Teleportation,rdfs:subClassOf,http://kbpedia.org/kko/rc/QuantumMechanics
http://kbpedia.org/kko/rc/Teleportation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AilmentConditionTypeBySyndrome,rdfs:subClassOf,http://kbpedia.org/kko/rc/DiseaseType
http://kbpedia.org/kko/rc/AilmentConditionTypeBySyndrome,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SatelliteFacility,rdfs:subClassOf,http://kbpedia.org/kko/rc/CommercialBuilding
http://kbpedia.org/kko/rc/SatelliteFacility,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryOfficer,rdfs:subClassOf,http://kbpedia.org/kko/rc/MilitaryPerson
http://kbpedia.org/kko/rc/MilitaryOfficer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryOfficer,rdfs:subClassOf,http://kbpedia.org/kko/rc/OfficerInOrganization
http://kbpedia.org/kko/rc/MilitaryOfficer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Mathematician,rdfs:subClassOf,http://kbpedia.org/kko/rc/Scientist
http://kbpedia.org/kko/rc/Mathematician,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Ictinus,rdfs:subClassOf,http://kbpedia.org/kko/rc/Architect
