id,subClassOf,parent
http://kbpedia.org/kko/rc/HadithCompiler,rdfs:subClassOf,http://kbpedia.org/kko/rc/Scholar
http://kbpedia.org/kko/rc/HadithCompiler,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Congregant,rdfs:subClassOf,http://kbpedia.org/kko/rc/PersonTypeByReligion
http://kbpedia.org/kko/rc/Congregant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/TreeSurgeon,rdfs:subClassOf,http://kbpedia.org/kko/rc/Landscaper
http://kbpedia.org/kko/rc/TreeSurgeon,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ClothingSize-Toddlers,rdfs:subClassOf,http://kbpedia.org/kko/rc/HumanTypeByGenericClothingSize
http://kbpedia.org/kko/rc/ClothingSize-Toddlers,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfAndalusians
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfArab-Berbers
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfBerbers
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SecondIntifadaCasualty,rdfs:subClassOf,http://kbpedia.org/kko/rc/CasualtyByType
http://kbpedia.org/kko/rc/SecondIntifadaCasualty,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PrincePhilipDukeOfEdinburgh,rdfs:subClassOf,http://kbpedia.org/kko/rc/HouseOfWindsor
http://kbpedia.org/kko/rc/PrincePhilipDukeOfEdinburgh,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PrincePhilipDukeOfEdinburgh,rdfs:subClassOf,http://kbpedia.org/kko/rc/Prince
http://kbpedia.org/kko/rc/PrincePhilipDukeOfEdinburgh,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfKarakalpaks,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfAsians
http://kbpedia.org/kko/rc/EthnicGroupOfKarakalpaks,rdfs:subClassOf,owl:Thing
