id,subClassOf,parent
http://kbpedia.org/kko/rc/CongratulationsFlowerArrangement,rdfs:subClassOf,http://kbpedia.org/kko/rc/FlowerArrangement
http://kbpedia.org/kko/rc/CongratulationsFlowerArrangement,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FreyliniaLanceolata,rdfs:subClassOf,http://kbpedia.org/kko/rc/Bush
http://kbpedia.org/kko/rc/FreyliniaLanceolata,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Algae,rdfs:subClassOf,http://kbpedia.org/kko/rc/AquaticOrganism
http://kbpedia.org/kko/rc/Algae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Algae,rdfs:subClassOf,http://kbpedia.org/kko/rc/Photolithoautotroph
http://kbpedia.org/kko/rc/Algae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Algae,rdfs:subClassOf,http://kbpedia.org/kko/rc/Plant
http://kbpedia.org/kko/rc/Algae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Algae,rdfs:subClassOf,http://kbpedia.org/ontologies/kko#Plants
http://kbpedia.org/kko/rc/Algae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Haloragaceae,rdfs:subClassOf,http://kbpedia.org/kko/rc/SaxifrageOrder
http://kbpedia.org/kko/rc/Haloragaceae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Chlorarachniophyte,rdfs:subClassOf,http://kbpedia.org/kko/rc/Algae
http://kbpedia.org/kko/rc/Chlorarachniophyte,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Araucariaceae,rdfs:subClassOf,http://kbpedia.org/kko/rc/Conifer
http://kbpedia.org/kko/rc/Araucariaceae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Hymenophyllum,rdfs:subClassOf,http://kbpedia.org/kko/rc/Hymenophyllales
http://kbpedia.org/kko/rc/Hymenophyllum,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CitrusFruitTree,rdfs:subClassOf,http://kbpedia.org/kko/rc/FruitTree
http://kbpedia.org/kko/rc/CitrusFruitTree,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CitrusFruitTree,rdfs:subClassOf,http://kbpedia.org/kko/rc/PerennialPlant
http://kbpedia.org/kko/rc/CitrusFruitTree,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HempPlant,rdfs:subClassOf,http://kbpedia.org/kko/rc/Cannabis
http://kbpedia.org/kko/rc/HempPlant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HempPlant,rdfs:subClassOf,http://kbpedia.org/kko/rc/HempFamily
http://kbpedia.org/kko/rc/HempPlant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Neobuxbaumia,rdfs:subClassOf,http://kbpedia.org/kko/rc/Pachycereeae
http://kbpedia.org/kko/rc/Neobuxbaumia,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Clematis,rdfs:subClassOf,http://kbpedia.org/kko/rc/FloweryPlant
http://kbpedia.org/kko/rc/Clematis,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Leaf,rdfs:subClassOf,http://kbpedia.org/kko/rc/BotanicalOrgan
http://kbpedia.org/kko/rc/Leaf,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Leaf,rdfs:subClassOf,http://kbpedia.org/kko/rc/ExternalAnatomicalPart
http://kbpedia.org/kko/rc/Leaf,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Oats,rdfs:subClassOf,http://kbpedia.org/kko/rc/Avena
http://kbpedia.org/kko/rc/Oats,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Trichocereeae,rdfs:subClassOf,http://kbpedia.org/kko/rc/Cactus
http://kbpedia.org/kko/rc/Trichocereeae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Psilotales,rdfs:subClassOf,http://kbpedia.org/kko/rc/Fern
http://kbpedia.org/kko/rc/Psilotales,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BazzaniaBhutanica,rdfs:subClassOf,http://kbpedia.org/kko/rc/Lepidoziaceae
http://kbpedia.org/kko/rc/BazzaniaBhutanica,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Cryptogrammaceae,rdfs:subClassOf,http://kbpedia.org/kko/rc/Pteridales
http://kbpedia.org/kko/rc/Cryptogrammaceae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ExoticFlowerArrangement,rdfs:subClassOf,http://kbpedia.org/kko/rc/FlowerArrangement
http://kbpedia.org/kko/rc/ExoticFlowerArrangement,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AmmophilaBreviligulata,rdfs:subClassOf,http://kbpedia.org/kko/rc/GrassFamily
http://kbpedia.org/kko/rc/AmmophilaBreviligulata,rdfs:subClassOf,owl:Thing
