id,subClassOf,parent
http://kbpedia.org/kko/rc/Bacterium-Amphitrichous,rdfs:subClassOf,http://kbpedia.org/kko/rc/Amphitrichous
http://kbpedia.org/kko/rc/Bacterium-Amphitrichous,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Bacterium-Amphitrichous,rdfs:subClassOf,http://kbpedia.org/kko/rc/Bacterium-MotileByFlagellum
http://kbpedia.org/kko/rc/Bacterium-Amphitrichous,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Chemolithoautotroph,rdfs:subClassOf,http://kbpedia.org/kko/rc/Autotroph-Bacterium
http://kbpedia.org/kko/rc/Chemolithoautotroph,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Chemolithoautotroph,rdfs:subClassOf,http://kbpedia.org/kko/rc/Chemolithotroph
http://kbpedia.org/kko/rc/Chemolithoautotroph,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ProkaryoticCell,rdfs:subClassOf,http://kbpedia.org/kko/rc/AnucleatedCell
http://kbpedia.org/kko/rc/ProkaryoticCell,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ProkaryoticCell,rdfs:subClassOf,http://kbpedia.org/kko/rc/SingleCellOrganism
http://kbpedia.org/kko/rc/ProkaryoticCell,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ProkaryoticCell,rdfs:subClassOf,http://kbpedia.org/ontologies/kko#Prokaryotes
http://kbpedia.org/kko/rc/ProkaryoticCell,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ProkaryoticCell,rdfs:subClassOf,http://kbpedia.org/kko/rc/Cell
http://kbpedia.org/kko/rc/ProkaryoticCell,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BacillusStearothermophilus,rdfs:subClassOf,http://kbpedia.org/kko/rc/Bacillaceae-Family
http://kbpedia.org/kko/rc/BacillusStearothermophilus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Alicyclobacillaceae,rdfs:subClassOf,http://kbpedia.org/kko/rc/Bacillales-Order
http://kbpedia.org/kko/rc/Alicyclobacillaceae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Providencia,rdfs:subClassOf,http://kbpedia.org/kko/rc/Enterobacteriaceae
http://kbpedia.org/kko/rc/Providencia,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Bacillales-Order,rdfs:subClassOf,http://kbpedia.org/kko/rc/Firmibacteria-Class
