id,subClassOf,parent
http://kbpedia.org/kko/rc/TransportProtocolDataUnit,rdfs:subClassOf,http://kbpedia.org/kko/rc/InternetInformation
http://kbpedia.org/kko/rc/TransportProtocolDataUnit,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GeographicTaxonomy,rdfs:subClassOf,http://kbpedia.org/kko/rc/Taxonomy
http://kbpedia.org/kko/rc/GeographicTaxonomy,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GeographicTaxonomy,rdfs:subClassOf,http://kbpedia.org/kko/rc/ClassificationSystem
http://kbpedia.org/kko/rc/GeographicTaxonomy,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ReligiousHolidayCard,rdfs:subClassOf,http://kbpedia.org/kko/rc/GreetingCard
http://kbpedia.org/kko/rc/ReligiousHolidayCard,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ProgramStep,rdfs:subClassOf,http://kbpedia.org/kko/rc/SoftwareObject-Individual
http://kbpedia.org/kko/rc/ProgramStep,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DiskFormattingProgram,rdfs:subClassOf,http://kbpedia.org/kko/rc/UtilityProgram
http://kbpedia.org/kko/rc/DiskFormattingProgram,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BalloonMortgage,rdfs:subClassOf,http://kbpedia.org/kko/rc/BalloonLoan
http://kbpedia.org/kko/rc/BalloonMortgage,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BalloonMortgage,rdfs:subClassOf,http://kbpedia.org/kko/rc/MortgageAgreement
http://kbpedia.org/kko/rc/BalloonMortgage,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Index-List-Information,rdfs:subClassOf,http://kbpedia.org/kko/rc/List-Information
http://kbpedia.org/kko/rc/Index-List-Information,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Index-List-Information,rdfs:subClassOf,http://kbpedia.org/kko/rc/Pointers
http://kbpedia.org/kko/rc/Index-List-Information,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MusicalPerformanceTicket,rdfs:subClassOf,http://kbpedia.org/kko/rc/EntertainmentPerformanceTicket
http://kbpedia.org/kko/rc/MusicalPerformanceTicket,rdfs:subClassOf,owl:Thing
