count,kko_1,kko_2,intersect RCs,,,,,,,,,,,,,,,,,,,
0,kko.ActionTypes,kko.AreaRegion,set(),,,,,,,,,,,,,,,,,,,
0,kko.ActionTypes,kko.Drugs,set(),,,,,,,,,,,,,,,,,,,
0,kko.ActionTypes,kko.NaturalSubstances,set(),,,,,,,,,,,,,,,,,,,
0,kko.ActionTypes,kko.AtomsElements,set(),,,,,,,,,,,,,,,,,,,
0,kko.ActionTypes,kko.Prokaryotes,set(),,,,,,,,,,,,,,,,,,,
0,kko.ActionTypes,kko.ProtistsFungus,set(),,,,,,,,,,,,,,,,,,,
0,kko.AdjunctualAttributes,kko.Geopolitical,set(),,,,,,,,,,,,,,,,,,,
0,kko.AdjunctualAttributes,kko.Prokaryotes,set(),,,,,,,,,,,,,,,,,,,
0,kko.AdjunctualAttributes,kko.ProtistsFungus,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.Information,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.PrimarySectorProduct,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.TertiarySectorService,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.NaturalMatter,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.DirectRelations,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.Facilities,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.StructuredInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.LearningProcesses,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.FoodDrink,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.WrittenInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.Plants,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.AVInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.Drugs,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.RepresentationTypes,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.NaturalSubstances,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.EconomicSystems,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.Chemistry,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.VisualInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.Associatives,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.NaturalPhenomena,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.Denotatives,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.OrganicChemistry,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.Diseases,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.Indexes,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.InquiryMethods,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.AtomsElements,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.Times,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.AudioInfo,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.BiologicalProcesses,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.Prokaryotes,set(),,,,,,,,,,,,,,,,,,,
0,kko.Agents,kko.ProtistsFungus,set(),,,,,,,,,,,,,,,,,,,
0,kko.Animals,kko.SocialSystems,set(),,,,,,,,,,,,,,,,,,,
0,kko.Animals,kko.Society,set(),,,,,,,,,,,,,,,,,,,
0,kko.Animals,kko.LocationPlace,set(),,,,,,,,,,,,,,,,,,,
0,kko.Animals,kko.TertiarySectorService,set(),,,,,,,,,,,,,,,,,,,
0,kko.Animals,kko.NaturalMatter,set(),,,,,,,,,,,,,,,,,,,
0,kko.Animals,kko.Facilities,set(),,,,,,,,,,,,,,,,,,,
