,,,,count,r1,r2,kko_1,kko_2,rank,1→2 %,overlap,size_1,size_2,kko_2 %,,,remaining STs,count,,,,,Times,TimeTypes,EventTypes,Chemistry,NaturalMatter,AtomsElements,NaturalSubstances,ActionTypes,SituationTypes,LocationPlace,AreaRegion,Places,SpaceTypes,Forms,Shapes,NaturalPhenomena,Information,VisualInfo,AVInfo,WrittenInfo,StructuredInfo,AudioInfo,OrganicChemistry,LivingThings,Eukaryotes,Plants,Animals,OrganicMatter,Persons,Agents,Diseases,Organizations,ProtistsFungus,BiologicalProcesses,Geopolitical,Prokaryotes,TopicsCategories,EconomicSystems,EmergentKnowledge,InquiryMethods,LearningProcesses,SocialSystems,Society,Artifacts,FoodDrink,Facilities,Products,PrimarySectorProduct,SecondarySectorProduct,TertiarySectorService,Drugs
4,20,10,10,,1,1,Times,Times,0,---,---,---,---,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20,10,10,,1,2,Times,TimeTypes,1,---,---,---,---,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20,10,10,139,1,3,Times,EventTypes,12,24.8%,139,560,7679,1.8%,,,SpaceTypes,33756,',"'SpaceTypes' : 33756,",,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
4,20,10,10,0,1,4,Times,Chemistry,,0.0%,0,560,881,0.0%,,,Artifacts,30947,',"'Artifacts' : 30947,",,Times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,19,10,10,0,1,5,Times,NaturalMatter,,0.0%,0,560,2675,0.0%,,,Products,25534,',"'Products' : 25534,",,TimeTypes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,19,10,10,0,1,6,Times,AtomsElements,,0.0%,0,560,508,0.0%,,,OrganicMatter,21374,',"'OrganicMatter' : 21374,",,EventTypes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20,10,10,0,1,7,Times,NaturalSubstances,,0.0%,0,560,1796,0.0%,,,SecondarySectorProduct,19662,',"'SecondarySectorProduct' : 19662,",,Chemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20,10,10,325,1,8,Times,ActionTypes,6,58.0%,325,560,9514,3.4%,,,Shapes,14707,',"'Shapes' : 14707,",,NaturalMatter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20,10,10,0,1,9,Times,SituationTypes,,0.0%,0,560,7049,0.0%,,,LivingThings,11013,',"'LivingThings' : 11013,",,AtomsElements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20,10,10,0,1,10,Times,LocationPlace,,0.0%,0,560,4396,0.0%,,,Eukaryotes,9593,',"'Eukaryotes' : 9593,",,NaturalSubstances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
