,,,,count,size_1,r1,r2,kko_1,size_2,kko_2,kko_1 %,kko_2 %,,,remaining STs,count,,
4,20,10,10,139,560,1,3,Times,7679,EventTypes,24.8%,1.8%,,,SpaceTypes,33756,',"'SpaceTypes' : 33756,"
4,20,10,10,0,560,1,4,Times,881,Chemistry,0.0%,0.0%,,,Artifacts,30947,',"'Artifacts' : 30947,"
4,19,10,10,0,560,1,5,Times,2675,NaturalMatter,0.0%,0.0%,,,Products,25534,',"'Products' : 25534,"
4,19,10,10,0,560,1,6,Times,508,AtomsElements,0.0%,0.0%,,,OrganicMatter,21374,',"'OrganicMatter' : 21374,"
4,20,10,10,0,560,1,7,Times,1796,NaturalSubstances,0.0%,0.0%,,,SecondarySectorProduct,19662,',"'SecondarySectorProduct' : 19662,"
4,20,10,10,325,560,1,8,Times,9514,ActionTypes,58.0%,3.4%,,,Shapes,14707,',"'Shapes' : 14707,"
4,20,10,10,0,560,1,9,Times,7049,SituationTypes,0.0%,0.0%,,,LivingThings,11013,',"'LivingThings' : 11013,"
4,20,10,10,0,560,1,10,Times,4396,LocationPlace,0.0%,0.0%,,,Eukaryotes,9593,',"'Eukaryotes' : 9593,"
4,20,10,10,0,560,1,11,Times,2079,AreaRegion,0.0%,0.0%,,,ActionTypes,9514,',"'ActionTypes' : 9514,"
4,20,10,10,0,560,1,12,Times,8063,Places,0.0%,0.0%,,,Forms,9159,',"'Forms' : 9159,"
4,20,10,10,0,560,1,13,Times,33756,SpaceTypes,0.0%,0.0%,,,Agents,8662,',"'Agents' : 8662,"
4,20,10,10,0,560,1,14,Times,9159,Forms,0.0%,0.0%,,,TimeTypes,8142,',"'TimeTypes' : 8142,"
4,20,10,10,0,560,1,15,Times,14707,Shapes,0.0%,0.0%,,,Places,8063,',"'Places' : 8063,"
4,20,10,10,2,560,1,16,Times,959,NaturalPhenomena,0.4%,0.2%,,,EventTypes,7679,',"'EventTypes' : 7679,"
4,20,10,10,0,560,1,17,Times,6050,Information,0.0%,0.0%,,,Animals,7087,',"'Animals' : 7087,"
4,20,10,10,0,560,1,18,Times,1085,VisualInfo,0.0%,0.0%,,,SituationTypes,7049,',"'SituationTypes' : 7049,"
4,20,10,10,0,560,1,19,Times,1526,AVInfo,0.0%,0.0%,,,Information,6050,',"'Information' : 6050,"
4,20,10,10,0,560,1,20,Times,1909,WrittenInfo,0.0%,0.0%,,,SocialSystems,5524,',"'SocialSystems' : 5524,"
4,20,10,10,0,560,1,21,Times,2108,StructuredInfo,0.0%,0.0%,,,Organizations,4848,',"'Organizations' : 4848,"
4,20,10,10,0,560,1,22,Times,453,AudioInfo,0.0%,0.0%,,,Society,4486,',"'Society' : 4486,"
4,20,10,10,0,560,1,23,Times,929,OrganicChemistry,0.0%,0.0%,,,LocationPlace,4396,',"'LocationPlace' : 4396,"
4,20,10,10,0,560,1,24,Times,11013,LivingThings,0.0%,0.0%,,,Persons,3641,',"'Persons' : 3641,"
4,20,10,10,0,560,1,25,Times,9593,Eukaryotes,0.0%,0.0%,,,PrimarySectorProduct,3383,',"'PrimarySectorProduct' : 3383,"
4,20,10,10,0,560,1,26,Times,2303,Plants,0.0%,0.0%,,,TertiarySectorService,3258,',"'TertiarySectorService' : 3258,"
4,20,10,10,0,560,1,27,Times,7087,Animals,0.0%,0.0%,,,NaturalMatter,2675,',"'NaturalMatter' : 2675,"
4,20,10,10,0,560,1,28,Times,21374,OrganicMatter,0.0%,0.0%,,,Plants,2303,',"'Plants' : 2303,"
4,20,10,10,0,560,1,29,Times,3641,Persons,0.0%,0.0%,,,FoodDrink,2175,',"'FoodDrink' : 2175,"
4,20,10,10,0,560,1,30,Times,8662,Agents,0.0%,0.0%,,,StructuredInfo,2108,',"'StructuredInfo' : 2108,"
4,20,10,10,0,560,1,31,Times,922,Diseases,0.0%,0.0%,,,AreaRegion,2079,',"'AreaRegion' : 2079,"
4,20,10,10,0,560,1,32,Times,4848,Organizations,0.0%,0.0%,,,Facilities,2063,',"'Facilities' : 2063,"
4,20,10,10,0,560,1,33,Times,187,ProtistsFungus,0.0%,0.0%,,,Geopolitical,2049,',"'Geopolitical' : 2049,"
4,20,10,10,0,560,1,34,Times,295,BiologicalProcesses,0.0%,0.0%,,,WrittenInfo,1909,',"'WrittenInfo' : 1909,"
4,20,10,10,0,560,1,35,Times,2049,Geopolitical,0.0%,0.0%,,,LearningProcesses,1799,',"'LearningProcesses' : 1799,"
4,20,10,10,0,560,1,36,Times,273,Prokaryotes,0.0%,0.0%,,,NaturalSubstances,1796,',"'NaturalSubstances' : 1796,"
4,20,10,10,0,560,1,37,Times,1456,TopicsCategories,0.0%,0.0%,,,Drugs,1701,',"'Drugs' : 1701,"
4,20,10,10,0,560,1,38,Times,1159,EconomicSystems,0.0%,0.0%,,,AVInfo,1526,',"'AVInfo' : 1526,"
4,20,10,10,0,560,1,39,Times,179,EmergentKnowledge,0.0%,0.0%,,,TopicsCategories,1456,',"'TopicsCategories' : 1456,"
4,20,10,10,1,560,1,40,Times,652,InquiryMethods,0.2%,0.2%,,,EconomicSystems,1159,',"'EconomicSystems' : 1159,"
4,20,10,10,51,560,1,41,Times,1799,LearningProcesses,9.1%,2.8%,,,VisualInfo,1085,',"'VisualInfo' : 1085,"
4,20,10,10,0,560,1,42,Times,5524,SocialSystems,0.0%,0.0%,,,NaturalPhenomena,959,',"'NaturalPhenomena' : 959,"
4,20,10,10,0,560,1,43,Times,4486,Society,0.0%,0.0%,,,OrganicChemistry,929,',"'OrganicChemistry' : 929,"
4,20,10,10,0,560,1,44,Times,30947,Artifacts,0.0%,0.0%,,,Diseases,922,',"'Diseases' : 922,"
4,20,10,10,0,560,1,45,Times,2175,FoodDrink,0.0%,0.0%,,,Chemistry,881,',"'Chemistry' : 881,"
4,20,10,10,0,560,1,46,Times,2063,Facilities,0.0%,0.0%,,,InquiryMethods,652,',"'InquiryMethods' : 652,"
4,20,10,10,0,560,1,47,Times,25534,Products,0.0%,0.0%,,,Times,560,',"'Times' : 560,"
4,20,10,10,0,560,1,48,Times,3383,PrimarySectorProduct,0.0%,0.0%,,,AtomsElements,508,',"'AtomsElements' : 508,"
4,20,10,10,0,560,1,49,Times,19662,SecondarySectorProduct,0.0%,0.0%,,,AudioInfo,453,',"'AudioInfo' : 453,"
4,20,10,10,0,560,1,50,Times,3258,TertiarySectorService,0.0%,0.0%,,,BiologicalProcesses,295,',"'BiologicalProcesses' : 295,"
4,20,10,10,0,560,1,51,Times,1701,Drugs,0.0%,0.0%,,,Prokaryotes,273,',"'Prokaryotes' : 273,"
5,5,5,5,124,8142,2,4,TimeTypes,881,Chemistry,1.5%,14.1%,,,EmergentKnowledge,179,',"'EmergentKnowledge' : 179,"
5,5,5,5,129,8142,2,5,TimeTypes,2675,NaturalMatter,1.6%,4.8%,,,,,,
5,5,5,5,5,8142,2,6,TimeTypes,508,AtomsElements,0.1%,1.0%,,,,,,
5,5,5,5,0,8142,2,7,TimeTypes,1796,NaturalSubstances,0.0%,0.0%,,,,,,
5,5,5,5,5657,8142,2,8,TimeTypes,9514,ActionTypes,69.5%,59.5%,,,,,,
5,5,5,5,1003,8142,2,9,TimeTypes,7049,SituationTypes,12.3%,14.2%,,,,,,
5,5,5,5,0,8142,2,10,TimeTypes,4396,LocationPlace,0.0%,0.0%,,,,,,
5,5,5,5,0,8142,2,11,TimeTypes,2079,AreaRegion,0.0%,0.0%,,,,,,
5,5,5,5,0,8142,2,12,TimeTypes,8063,Places,0.0%,0.0%,,,,,,
5,5,5,5,2029,8142,2,13,TimeTypes,33756,SpaceTypes,24.9%,6.0%,,,,,,
5,5,5,5,180,8142,2,14,TimeTypes,9159,Forms,2.2%,2.0%,,,,,,
5,5,5,5,219,8142,2,15,TimeTypes,14707,Shapes,2.7%,1.5%,,,,,,
5,5,5,5,864,8142,2,16,TimeTypes,959,NaturalPhenomena,10.6%,90.1%,,,,,,
5,5,5,5,1610,8142,2,17,TimeTypes,6050,Information,19.8%,26.6%,,,,,,
5,5,5,5,360,8142,2,18,TimeTypes,1085,VisualInfo,4.4%,33.2%,,,,,,
5,5,5,5,752,8142,2,19,TimeTypes,1526,AVInfo,9.2%,49.3%,,,,,,
5,5,5,5,504,8142,2,20,TimeTypes,1909,WrittenInfo,6.2%,26.4%,,,,,,
5,5,5,5,533,8142,2,21,TimeTypes,2108,StructuredInfo,6.5%,25.3%,,,,,,
5,5,5,5,399,8142,2,22,TimeTypes,453,AudioInfo,4.9%,88.1%,,,,,,
5,5,5,5,293,8142,2,23,TimeTypes,929,OrganicChemistry,3.6%,31.5%,,,,,,
5,5,5,5,87,8142,2,24,TimeTypes,11013,LivingThings,1.1%,0.8%,,,,,,
5,5,5,5,0,8142,2,25,TimeTypes,9593,Eukaryotes,0.0%,0.0%,,,,,,
5,5,5,5,0,8142,2,26,TimeTypes,2303,Plants,0.0%,0.0%,,,,,,
5,5,5,5,0,8142,2,27,TimeTypes,7087,Animals,0.0%,0.0%,,,,,,
5,5,5,5,357,8142,2,28,TimeTypes,21374,OrganicMatter,4.4%,1.7%,,,,,,
5,5,5,5,0,8142,2,29,TimeTypes,3641,Persons,0.0%,0.0%,,,,,,
5,5,5,5,0,8142,2,30,TimeTypes,8662,Agents,0.0%,0.0%,,,,,,
5,5,5,5,74,8142,2,31,TimeTypes,922,Diseases,0.9%,8.0%,,,,,,
5,5,5,5,0,8142,2,32,TimeTypes,4848,Organizations,0.0%,0.0%,,,,,,
5,5,5,5,0,8142,2,33,TimeTypes,187,ProtistsFungus,0.0%,0.0%,,,,,,
5,5,5,5,0,8142,2,35,TimeTypes,2049,Geopolitical,0.0%,0.0%,,,,,,
5,5,5,5,0,8142,2,36,TimeTypes,273,Prokaryotes,0.0%,0.0%,,,,,,
5,5,5,5,176,8142,2,37,TimeTypes,1456,TopicsCategories,2.2%,12.1%,,,,,,
5,5,5,5,955,8142,2,38,TimeTypes,1159,EconomicSystems,11.7%,82.4%,,,,,,
5,5,5,5,109,8142,2,39,TimeTypes,179,EmergentKnowledge,1.3%,60.9%,,,,,,
5,5,5,5,1599,8142,2,42,TimeTypes,5524,SocialSystems,19.6%,28.9%,,,,,,
5,5,5,5,788,8142,2,43,TimeTypes,4486,Society,9.7%,17.6%,,,,,,
5,5,5,5,2908,8142,2,44,TimeTypes,30947,Artifacts,35.7%,9.4%,,,,,,
5,5,5,5,0,8142,2,45,TimeTypes,2175,FoodDrink,0.0%,0.0%,,,,,,
5,5,5,5,0,8142,2,46,TimeTypes,2063,Facilities,0.0%,0.0%,,,,,,
5,5,5,5,1412,8142,2,47,TimeTypes,25534,Products,17.3%,5.5%,,,,,,
