count,size_1,kko_1,size_2,kko_2,,,,,,,,,,,,,
56207,56793,kko.Manifestations,56207,kko.Symbolic,,,,,,,,,,,,,
47814,56793,kko.Manifestations,47814,kko.Systems,,,,,,,,,,,,,
44924,56793,kko.Manifestations,44924,kko.ConceptualSystems,,,,,,,,,,,,,
44316,56793,kko.Manifestations,44316,kko.Concepts,,,,,,,,,,,,,
38740,56793,kko.Manifestations,39933,kko.Constituents,,,,,,,,,,,,,
33299,56793,kko.Manifestations,33756,kko.SpaceTypes,,,,,,,,,,,,,
29165,56793,kko.Manifestations,29569,kko.Predications,,,,,,,,,,,,,
30947,56793,kko.Manifestations,30947,kko.Artifacts,,,,,,,,,,,,,
25534,56793,kko.Manifestations,25534,kko.Products,,,,,,,,,,,,,
23697,56793,kko.Manifestations,23957,kko.RelationTypes,,,,,,,,,,,,,
19662,56793,kko.Manifestations,19662,kko.SecondarySectorProduct,,,,,,,,,,,,,
21374,56793,kko.Manifestations,21374,kko.OrganicMatter,,,,,,,,,,,,,
17394,56793,kko.Manifestations,17628,kko.CopulativeRelations,,,,,,,,,,,,,
14692,56793,kko.Manifestations,14707,kko.Shapes,,,,,,,,,,,,,
14257,56793,kko.Manifestations,14257,kko.Methodeutic,,,,,,,,,,,,,
13831,56793,kko.Manifestations,13831,kko.KnowledgeDomains,,,,,,,,,,,,,
11009,56793,kko.Manifestations,11188,kko.AttributeTypes,,,,,,,,,,,,,
9287,56793,kko.Manifestations,9514,kko.ActionTypes,,,,,,,,,,,,,
9105,56793,kko.Manifestations,9159,kko.Forms,,,,,,,,,,,,,
11013,56793,kko.Manifestations,11013,kko.LivingThings,,,,,,,,,,,,,
7423,56793,kko.Manifestations,8142,kko.TimeTypes,,,,,,,,,,,,,
6993,56793,kko.Manifestations,7679,kko.EventTypes,,,,,,,,,,,,,
7713,56793,kko.Manifestations,7727,kko.MediativeRelations,,,,,,,,,,,,,
7390,56793,kko.Manifestations,7539,kko.AdjunctualAttributes,,,,,,,,,,,,,
8662,56793,kko.Manifestations,8662,kko.Agents,,,,,,,,,,,,,
9593,56793,kko.Manifestations,9593,kko.Eukaryotes,,,,,,,,,,,,,
7738,56793,kko.Manifestations,8063,kko.Places,,,,,,,,,,,,,
7042,56793,kko.Manifestations,7049,kko.SituationTypes,,,,,,,,,,,,,
6050,56793,kko.Manifestations,6050,kko.Information,,,,,,,,,,,,,
7087,56793,kko.Manifestations,7087,kko.Animals,,,,,,,,,,,,,
5524,56793,kko.Manifestations,5524,kko.SocialSystems,,,,,,,,,,,,,
4848,56793,kko.Manifestations,4848,kko.Organizations,,,,,,,,,,,,,
4486,56793,kko.Manifestations,4486,kko.Society,,,,,,,,,,,,,
3862,56793,kko.Manifestations,3887,kko.IntrinsicAttributes,,,,,,,,,,,,,
4374,56793,kko.Manifestations,4396,kko.LocationPlace,,,,,,,,,,,,,
3343,56793,kko.Manifestations,3345,kko.ContextualAttributes,,,,,,,,,,,,,
3383,56793,kko.Manifestations,3383,kko.PrimarySectorProduct,,,,,,,,,,,,,
3258,56793,kko.Manifestations,3258,kko.TertiarySectorService,,,,,,,,,,,,,
3641,56793,kko.Manifestations,3641,kko.Persons,,,,,,,,,,,,,
