id,subClassOf,parent
http://kbpedia.org/kko/rc/LoungeMusic,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicTypeOpenGenre
http://kbpedia.org/kko/rc/LoungeMusic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HardcopyInformationBearingObject,rdfs:subClassOf,http://kbpedia.org/kko/rc/HumanAccessibleIBO
http://kbpedia.org/kko/rc/HardcopyInformationBearingObject,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HardcopyInformationBearingObject,rdfs:subClassOf,http://kbpedia.org/kko/rc/SolidTangibleArtifact
http://kbpedia.org/kko/rc/HardcopyInformationBearingObject,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HardcopyInformationBearingObject,rdfs:subClassOf,http://kbpedia.org/kko/rc/StillImageSource
http://kbpedia.org/kko/rc/HardcopyInformationBearingObject,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Chart,rdfs:subClassOf,http://kbpedia.org/kko/rc/Infographic
http://kbpedia.org/kko/rc/Chart,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/OlmecColossalHead,rdfs:subClassOf,http://kbpedia.org/kko/rc/StoneSculpture
http://kbpedia.org/kko/rc/OlmecColossalHead,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ReligiousHolidayCard,rdfs:subClassOf,http://kbpedia.org/kko/rc/GreetingCard
http://kbpedia.org/kko/rc/ReligiousHolidayCard,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AnimatedFeatureFilm,rdfs:subClassOf,http://kbpedia.org/kko/rc/AnimatedMovie
http://kbpedia.org/kko/rc/AnimatedFeatureFilm,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ArrangersOfChurchMusic,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicalComposition-Christian
http://kbpedia.org/kko/rc/ArrangersOfChurchMusic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Index-List-Information,rdfs:subClassOf,http://kbpedia.org/kko/rc/List-Information
http://kbpedia.org/kko/rc/Index-List-Information,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Index-List-Information,rdfs:subClassOf,http://kbpedia.org/kko/rc/Pointers
http://kbpedia.org/kko/rc/Index-List-Information,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MusicalPerformanceTicket,rdfs:subClassOf,http://kbpedia.org/kko/rc/EntertainmentPerformanceTicket
http://kbpedia.org/kko/rc/MusicalPerformanceTicket,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MusicalEra,rdfs:subClassOf,http://kbpedia.org/kko/rc/Music
http://kbpedia.org/kko/rc/MusicalEra,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ArtPop,rdfs:subClassOf,http://kbpedia.org/kko/rc/PopMusicGenre
http://kbpedia.org/kko/rc/ArtPop,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DanishLanguageSurname,rdfs:subClassOf,http://kbpedia.org/kko/rc/DanishLanguage
http://kbpedia.org/kko/rc/DanishLanguageSurname,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DanishLanguageSurname,rdfs:subClassOf,http://kbpedia.org/kko/rc/HumanSurname
http://kbpedia.org/kko/rc/DanishLanguageSurname,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FriendshipCard,rdfs:subClassOf,http://kbpedia.org/kko/rc/GreetingCard
http://kbpedia.org/kko/rc/FriendshipCard,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GameToken,rdfs:subClassOf,http://kbpedia.org/kko/rc/Token-Physical
http://kbpedia.org/kko/rc/GameToken,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CompositionWithSoloistAndAccompaniment,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicalComposition-Classical
http://kbpedia.org/kko/rc/CompositionWithSoloistAndAccompaniment,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MonologueInDramaticPerformance,rdfs:subClassOf,http://kbpedia.org/kko/rc/DramaticPerformance
http://kbpedia.org/kko/rc/MonologueInDramaticPerformance,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/IndexCard,rdfs:subClassOf,http://kbpedia.org/kko/rc/Card
http://kbpedia.org/kko/rc/IndexCard,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/IndexCard,rdfs:subClassOf,http://kbpedia.org/kko/rc/Device-OfficeProduct-Consumable
http://kbpedia.org/kko/rc/IndexCard,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/IndexCard,rdfs:subClassOf,http://kbpedia.org/kko/rc/PrintingAndWritingPaper
http://kbpedia.org/kko/rc/IndexCard,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/IndexCard,rdfs:subClassOf,http://kbpedia.org/kko/rc/Paper
http://kbpedia.org/kko/rc/IndexCard,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MailingList,rdfs:subClassOf,http://kbpedia.org/kko/rc/List-Information
http://kbpedia.org/kko/rc/MailingList,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ReceiptItem,rdfs:subClassOf,http://kbpedia.org/kko/rc/Receipt
http://kbpedia.org/kko/rc/ReceiptItem,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Emo,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicalComposition
http://kbpedia.org/kko/rc/Emo,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Emo,rdfs:subClassOf,http://kbpedia.org/kko/rc/Music
http://kbpedia.org/kko/rc/Emo,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ProgressivePop,rdfs:subClassOf,http://kbpedia.org/kko/rc/PopMusicGenre
http://kbpedia.org/kko/rc/ProgressivePop,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/KidsCard,rdfs:subClassOf,http://kbpedia.org/kko/rc/GreetingCard
http://kbpedia.org/kko/rc/KidsCard,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Anime,rdfs:subClassOf,http://kbpedia.org/kko/rc/AnimationByGenre
http://kbpedia.org/kko/rc/Anime,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Anime,rdfs:subClassOf,http://kbpedia.org/kko/rc/VideoConceptualWork
http://kbpedia.org/kko/rc/Anime,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Certification,rdfs:subClassOf,http://kbpedia.org/kko/rc/Paper-IBO
http://kbpedia.org/kko/rc/Certification,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ChamberMusicComposition,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicalComposition-Classical
http://kbpedia.org/kko/rc/ChamberMusicComposition,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PlotNarrative,rdfs:subClassOf,http://kbpedia.org/kko/rc/DramaticPerformance
http://kbpedia.org/kko/rc/PlotNarrative,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PlotNarrative,rdfs:subClassOf,http://kbpedia.org/kko/rc/FictionalPCW
http://kbpedia.org/kko/rc/PlotNarrative,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PlotNarrative,rdfs:subClassOf,http://kbpedia.org/kko/rc/PropositionalConceptualWork-DramaGenre
http://kbpedia.org/kko/rc/PlotNarrative,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WaitingList,rdfs:subClassOf,http://kbpedia.org/kko/rc/List-Information
http://kbpedia.org/kko/rc/WaitingList,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WaitingList,rdfs:subClassOf,http://kbpedia.org/kko/rc/SeriesWithoutRepetition
http://kbpedia.org/kko/rc/WaitingList,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DiscoverCard,rdfs:subClassOf,http://kbpedia.org/kko/rc/CreditCard-RevolvingAccount
http://kbpedia.org/kko/rc/DiscoverCard,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DiscoverCard,rdfs:subClassOf,http://kbpedia.org/kko/rc/MajorCreditCard
http://kbpedia.org/kko/rc/DiscoverCard,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/StudioAlbum,rdfs:subClassOf,http://kbpedia.org/kko/rc/Album
http://kbpedia.org/kko/rc/StudioAlbum,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FilmNoirMovie,rdfs:subClassOf,http://kbpedia.org/kko/rc/FilmGenre
http://kbpedia.org/kko/rc/FilmNoirMovie,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FilmNoirMovie,rdfs:subClassOf,http://kbpedia.org/kko/rc/Movie
http://kbpedia.org/kko/rc/FilmNoirMovie,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Synth-Pop,rdfs:subClassOf,http://kbpedia.org/kko/rc/PopMusicGenre
http://kbpedia.org/kko/rc/Synth-Pop,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/VenusFigurine,rdfs:subClassOf,http://kbpedia.org/kko/rc/Figurine
http://kbpedia.org/kko/rc/VenusFigurine,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Mural,rdfs:subClassOf,http://kbpedia.org/kko/rc/Painting-ArtForm
http://kbpedia.org/kko/rc/Mural,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Codex,rdfs:subClassOf,http://kbpedia.org/kko/rc/Manuscript
http://kbpedia.org/kko/rc/Codex,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GujaratiLanguageSurname,rdfs:subClassOf,http://kbpedia.org/kko/rc/GujaratiLanguage
http://kbpedia.org/kko/rc/GujaratiLanguageSurname,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GujaratiLanguageSurname,rdfs:subClassOf,http://kbpedia.org/kko/rc/HumanSurname
http://kbpedia.org/kko/rc/GujaratiLanguageSurname,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ConceptualWork-AnimeGenre,rdfs:subClassOf,http://kbpedia.org/kko/rc/ConceptualWork-AnimationGenre
http://kbpedia.org/kko/rc/ConceptualWork-AnimeGenre,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CompositionMovement,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicalComposition-Classical
http://kbpedia.org/kko/rc/CompositionMovement,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Scene-Dramatic,rdfs:subClassOf,http://kbpedia.org/kko/rc/DramaticPerformance
http://kbpedia.org/kko/rc/Scene-Dramatic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Scene-Dramatic,rdfs:subClassOf,http://kbpedia.org/kko/rc/TemporallyContinuousThing
http://kbpedia.org/kko/rc/Scene-Dramatic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SoundsByType,rdfs:subClassOf,http://kbpedia.org/kko/rc/Sound
http://kbpedia.org/kko/rc/SoundsByType,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AudibleMedicalSign,rdfs:subClassOf,http://kbpedia.org/kko/rc/Sound
http://kbpedia.org/kko/rc/AudibleMedicalSign,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ContemporaryWorshipMusic,rdfs:subClassOf,http://kbpedia.org/kko/rc/ChristianMusicGenre
http://kbpedia.org/kko/rc/ContemporaryWorshipMusic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/InteractiveArt,rdfs:subClassOf,http://kbpedia.org/kko/rc/DigitalArtObject
http://kbpedia.org/kko/rc/InteractiveArt,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/TVCommercial-IBT,rdfs:subClassOf,http://kbpedia.org/kko/rc/Commercial-IBT
http://kbpedia.org/kko/rc/TVCommercial-IBT,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/TVCommercial-IBT,rdfs:subClassOf,http://kbpedia.org/kko/rc/MovingImageWithSound
