id,subClassOf,parent
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfAndalusians
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfArab-Berbers
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfBerbers
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Anchariidae,rdfs:subClassOf,http://kbpedia.org/kko/rc/Catfish
http://kbpedia.org/kko/rc/Anchariidae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Matriculating,rdfs:subClassOf,http://kbpedia.org/kko/rc/EnrollingSomeone
http://kbpedia.org/kko/rc/Matriculating,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Spelling,rdfs:subClassOf,http://kbpedia.org/kko/rc/IBOCreation
http://kbpedia.org/kko/rc/Spelling,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Spelling,rdfs:subClassOf,http://kbpedia.org/kko/rc/LanguageMechanics
http://kbpedia.org/kko/rc/Spelling,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfKarakalpaks,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfAsians
http://kbpedia.org/kko/rc/EthnicGroupOfKarakalpaks,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CommittingSomeoneToAnInstitution,rdfs:subClassOf,http://kbpedia.org/kko/rc/PermittingEntrance
http://kbpedia.org/kko/rc/CommittingSomeoneToAnInstitution,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CommittingSomeoneToAnInstitution,rdfs:subClassOf,http://kbpedia.org/kko/rc/GeneralizedTransfer
http://kbpedia.org/kko/rc/CommittingSomeoneToAnInstitution,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CreditManager,rdfs:subClassOf,http://kbpedia.org/kko/rc/Manager
http://kbpedia.org/kko/rc/CreditManager,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Shallow,rdfs:subClassOf,http://kbpedia.org/kko/rc/Distance
http://kbpedia.org/kko/rc/Shallow,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Shallow,rdfs:subClassOf,http://kbpedia.org/kko/rc/NonNumericScalarQuantity
http://kbpedia.org/kko/rc/Shallow,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Shallow,rdfs:subClassOf,http://kbpedia.org/kko/rc/PhysicalQuantity
http://kbpedia.org/kko/rc/Shallow,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Inconsistency,rdfs:subClassOf,http://kbpedia.org/kko/rc/NonNumericScalarQuantity
http://kbpedia.org/kko/rc/Inconsistency,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Water-Saline,rdfs:subClassOf,http://kbpedia.org/kko/rc/Water
http://kbpedia.org/kko/rc/Water-Saline,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HempPlant,rdfs:subClassOf,http://kbpedia.org/kko/rc/Cannabis
http://kbpedia.org/kko/rc/HempPlant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HempPlant,rdfs:subClassOf,http://kbpedia.org/kko/rc/HempFamily
http://kbpedia.org/kko/rc/HempPlant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,http://kbpedia.org/kko/rc/AnimalBodyPart
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,http://kbpedia.org/kko/rc/Fur
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,http://kbpedia.org/kko/rc/NonPoweredDevice
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,http://kbpedia.org/kko/rc/AnimalMaterial
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RoushCar,rdfs:subClassOf,http://kbpedia.org/kko/rc/AmericanAutomobile
http://kbpedia.org/kko/rc/RoushCar,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RoushCar,rdfs:subClassOf,http://kbpedia.org/kko/rc/SportsCar
http://kbpedia.org/kko/rc/RoushCar,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Brahmin,rdfs:subClassOf,http://kbpedia.org/kko/rc/PersonTypeBySocialClass
http://kbpedia.org/kko/rc/Brahmin,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Improvement-Transformation,rdfs:subClassOf,http://kbpedia.org/kko/rc/ImprovementEvent
http://kbpedia.org/kko/rc/Improvement-Transformation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Improvement-Transformation,rdfs:subClassOf,http://kbpedia.org/kko/rc/Transformation
http://kbpedia.org/kko/rc/Improvement-Transformation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Phenakite,rdfs:subClassOf,http://kbpedia.org/kko/rc/Mineral
http://kbpedia.org/kko/rc/Phenakite,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/KabylePeople,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfBerbers
http://kbpedia.org/kko/rc/KabylePeople,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/TreatedTimber,rdfs:subClassOf,http://kbpedia.org/kko/rc/EngineeredWoodProduct
http://kbpedia.org/kko/rc/TreatedTimber,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SoftwareDevelopmentProcess-Complete,rdfs:subClassOf,http://kbpedia.org/kko/rc/IBOCreation
http://kbpedia.org/kko/rc/SoftwareDevelopmentProcess-Complete,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SoftwareDevelopmentProcess-Complete,rdfs:subClassOf,http://kbpedia.org/kko/rc/SoftwareDevelopment
http://kbpedia.org/kko/rc/SoftwareDevelopmentProcess-Complete,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfNegritos,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfAsians
http://kbpedia.org/kko/rc/EthnicGroupOfNegritos,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryOfficer,rdfs:subClassOf,http://kbpedia.org/kko/rc/MilitaryPerson
http://kbpedia.org/kko/rc/MilitaryOfficer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryOfficer,rdfs:subClassOf,http://kbpedia.org/kko/rc/OfficerInOrganization
http://kbpedia.org/kko/rc/MilitaryOfficer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Ictinus,rdfs:subClassOf,http://kbpedia.org/kko/rc/Architect
http://kbpedia.org/kko/rc/Ictinus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ForceQuantity,rdfs:subClassOf,http://kbpedia.org/kko/rc/PhysicalQuantity
http://kbpedia.org/kko/rc/ForceQuantity,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Concentration-MassPerVolume,rdfs:subClassOf,http://kbpedia.org/kko/rc/ConcentrationStrength
http://kbpedia.org/kko/rc/Concentration-MassPerVolume,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WaterIonizer,rdfs:subClassOf,http://kbpedia.org/kko/rc/SinglePurposeDevice
http://kbpedia.org/kko/rc/WaterIonizer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WaterIonizer,rdfs:subClassOf,http://kbpedia.org/kko/rc/Water
http://kbpedia.org/kko/rc/WaterIonizer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WaterIonizer,rdfs:subClassOf,http://kbpedia.org/kko/rc/WaterTreatmentSupplyEquipment
http://kbpedia.org/kko/rc/WaterIonizer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AmberDarter,rdfs:subClassOf,http://kbpedia.org/kko/rc/Fish
