id,subClassOf,parent
http://kbpedia.org/kko/rc/GeneralizedLinearModel,rdfs:subClassOf,http://kbpedia.org/kko/rc/Models
http://kbpedia.org/kko/rc/GeneralizedLinearModel,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GeneralizedLinearModel,rdfs:subClassOf,http://kbpedia.org/kko/rc/RegressionAnalysis
http://kbpedia.org/kko/rc/GeneralizedLinearModel,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Modeling,rdfs:subClassOf,http://kbpedia.org/kko/rc/Models
http://kbpedia.org/kko/rc/Modeling,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Modeling,rdfs:subClassOf,http://kbpedia.org/kko/rc/PerformingInFrontOfGroup
http://kbpedia.org/kko/rc/Modeling,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ThesaurusProgram,rdfs:subClassOf,http://kbpedia.org/kko/rc/ReferenceComputerProgram
http://kbpedia.org/kko/rc/ThesaurusProgram,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ThesaurusProgram,rdfs:subClassOf,http://kbpedia.org/kko/rc/Thesaurus
http://kbpedia.org/kko/rc/ThesaurusProgram,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PhilosophyOfMind,rdfs:subClassOf,http://kbpedia.org/kko/rc/Emergentism
http://kbpedia.org/kko/rc/PhilosophyOfMind,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PhilosophyOfMind,rdfs:subClassOf,http://kbpedia.org/kko/rc/PhilosophyByField
http://kbpedia.org/kko/rc/PhilosophyOfMind,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ArchaeaSpecies,rdfs:subClassOf,http://kbpedia.org/kko/rc/ArchaeaTaxonomicClass
http://kbpedia.org/kko/rc/ArchaeaSpecies,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RDF-ResourceDescriptionFramework,rdfs:subClassOf,http://kbpedia.org/kko/rc/KnowledgeRepresentationLanguage
http://kbpedia.org/kko/rc/RDF-ResourceDescriptionFramework,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RDF-ResourceDescriptionFramework,rdfs:subClassOf,http://kbpedia.org/kko/rc/ComputerLanguage
http://kbpedia.org/kko/rc/RDF-ResourceDescriptionFramework,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GeographicTaxonomy,rdfs:subClassOf,http://kbpedia.org/kko/rc/Taxonomy
http://kbpedia.org/kko/rc/GeographicTaxonomy,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GeographicTaxonomy,rdfs:subClassOf,http://kbpedia.org/kko/rc/ClassificationSystem
http://kbpedia.org/kko/rc/GeographicTaxonomy,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Holism,rdfs:subClassOf,http://kbpedia.org/kko/rc/Justification
http://kbpedia.org/kko/rc/Holism,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Holism,rdfs:subClassOf,http://kbpedia.org/ontologies/kko#EmergentKnowledge
http://kbpedia.org/kko/rc/Holism,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SexualSelection,rdfs:subClassOf,http://kbpedia.org/kko/rc/BiologicalEvolution
http://kbpedia.org/kko/rc/SexualSelection,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SexualSelection,rdfs:subClassOf,http://kbpedia.org/kko/rc/PhysicalAttractiveness
http://kbpedia.org/kko/rc/SexualSelection,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SexualSelection,rdfs:subClassOf,http://kbpedia.org/kko/rc/SexualReproductionEvent
http://kbpedia.org/kko/rc/SexualSelection,rdfs:subClassOf,owl:Thing
