id,subClassOf,parent
http://kbpedia.org/kko/rc/AirlineReservation,rdfs:subClassOf,http://kbpedia.org/kko/rc/TravelReservation
http://kbpedia.org/kko/rc/AirlineReservation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Matriculating,rdfs:subClassOf,http://kbpedia.org/kko/rc/EnrollingSomeone
http://kbpedia.org/kko/rc/Matriculating,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Spelling,rdfs:subClassOf,http://kbpedia.org/kko/rc/IBOCreation
http://kbpedia.org/kko/rc/Spelling,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Spelling,rdfs:subClassOf,http://kbpedia.org/kko/rc/LanguageMechanics
http://kbpedia.org/kko/rc/Spelling,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CommittingSomeoneToAnInstitution,rdfs:subClassOf,http://kbpedia.org/kko/rc/PermittingEntrance
http://kbpedia.org/kko/rc/CommittingSomeoneToAnInstitution,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CommittingSomeoneToAnInstitution,rdfs:subClassOf,http://kbpedia.org/kko/rc/GeneralizedTransfer
http://kbpedia.org/kko/rc/CommittingSomeoneToAnInstitution,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SisterChromosomeMovesToPole-Mitosis,rdfs:subClassOf,http://kbpedia.org/kko/rc/ChromosomeMovesToPole
http://kbpedia.org/kko/rc/SisterChromosomeMovesToPole-Mitosis,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BusinessFailure,rdfs:subClassOf,http://kbpedia.org/kko/rc/BusinessEvent
http://kbpedia.org/kko/rc/BusinessFailure,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CalendarEffect,rdfs:subClassOf,http://kbpedia.org/kko/rc/MarketCorrection
http://kbpedia.org/kko/rc/CalendarEffect,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ReligiousEvent,rdfs:subClassOf,http://kbpedia.org/kko/rc/CompositePhysicalAndMentalEvent
http://kbpedia.org/kko/rc/ReligiousEvent,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryDefensiveOperation,rdfs:subClassOf,http://kbpedia.org/kko/rc/MilitaryOperation
http://kbpedia.org/kko/rc/MilitaryDefensiveOperation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryDefensiveOperation,rdfs:subClassOf,http://kbpedia.org/kko/rc/ProtectingSomething
http://kbpedia.org/kko/rc/MilitaryDefensiveOperation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Improvement-Transformation,rdfs:subClassOf,http://kbpedia.org/kko/rc/ImprovementEvent
