id,subClassOf,parent
http://kbpedia.org/kko/rc/OilTreatment,rdfs:subClassOf,http://kbpedia.org/kko/rc/AutomotiveFluid
http://kbpedia.org/kko/rc/OilTreatment,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/InternalIliacArtery,rdfs:subClassOf,http://kbpedia.org/kko/rc/SystemicArtery
http://kbpedia.org/kko/rc/InternalIliacArtery,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfAndalusians
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfArab-Berbers
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfBerbers
http://kbpedia.org/kko/rc/EthnicGroupOfMoors,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Anchariidae,rdfs:subClassOf,http://kbpedia.org/kko/rc/Catfish
http://kbpedia.org/kko/rc/Anchariidae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Coffee-Hot,rdfs:subClassOf,http://kbpedia.org/kko/rc/HotBeverage
http://kbpedia.org/kko/rc/Coffee-Hot,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfKarakalpaks,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfAsians
http://kbpedia.org/kko/rc/EthnicGroupOfKarakalpaks,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CourtShoe,rdfs:subClassOf,http://kbpedia.org/kko/rc/AthleticShoe
http://kbpedia.org/kko/rc/CourtShoe,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CourtShoe,rdfs:subClassOf,http://kbpedia.org/kko/rc/CasualShoe
http://kbpedia.org/kko/rc/CourtShoe,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,http://kbpedia.org/kko/rc/AnimalBodyPart
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,http://kbpedia.org/kko/rc/Fur
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,http://kbpedia.org/kko/rc/NonPoweredDevice
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,http://kbpedia.org/kko/rc/AnimalMaterial
http://kbpedia.org/kko/rc/FurPelt,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/UnderwayReplenishmentShip,rdfs:subClassOf,http://kbpedia.org/kko/rc/ModernNavalShip
http://kbpedia.org/kko/rc/UnderwayReplenishmentShip,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RoushCar,rdfs:subClassOf,http://kbpedia.org/kko/rc/AmericanAutomobile
http://kbpedia.org/kko/rc/RoushCar,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RoushCar,rdfs:subClassOf,http://kbpedia.org/kko/rc/SportsCar
http://kbpedia.org/kko/rc/RoushCar,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Krakatoa-Volcano,rdfs:subClassOf,http://kbpedia.org/kko/rc/Volcano
http://kbpedia.org/kko/rc/Krakatoa-Volcano,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Brahmin,rdfs:subClassOf,http://kbpedia.org/kko/rc/PersonTypeBySocialClass
http://kbpedia.org/kko/rc/Brahmin,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sistrurus,rdfs:subClassOf,http://kbpedia.org/kko/rc/PitViper
http://kbpedia.org/kko/rc/Sistrurus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GasCan,rdfs:subClassOf,http://kbpedia.org/kko/rc/Can
http://kbpedia.org/kko/rc/GasCan,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GasCan,rdfs:subClassOf,http://kbpedia.org/kko/rc/GeneralAutoMarketCategory
http://kbpedia.org/kko/rc/GasCan,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/LeftGastricArtery,rdfs:subClassOf,http://kbpedia.org/kko/rc/SystemicArtery
http://kbpedia.org/kko/rc/LeftGastricArtery,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BrakeFluid,rdfs:subClassOf,http://kbpedia.org/kko/rc/AutomotiveFluid
http://kbpedia.org/kko/rc/BrakeFluid,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/KabylePeople,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfBerbers
http://kbpedia.org/kko/rc/KabylePeople,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EthnicGroupOfNegritos,rdfs:subClassOf,http://kbpedia.org/kko/rc/EthnicGroupOfAsians
http://kbpedia.org/kko/rc/EthnicGroupOfNegritos,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Buck-TheShoe,rdfs:subClassOf,http://kbpedia.org/kko/rc/CasualShoe
http://kbpedia.org/kko/rc/Buck-TheShoe,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryOfficer,rdfs:subClassOf,http://kbpedia.org/kko/rc/MilitaryPerson
http://kbpedia.org/kko/rc/MilitaryOfficer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryOfficer,rdfs:subClassOf,http://kbpedia.org/kko/rc/OfficerInOrganization
