id,subClassOf,parent
http://kbpedia.org/kko/rc/FirstOrderAdministrativeDivision-Historical,rdfs:subClassOf,http://kbpedia.org/kko/rc/FirstOrderAdministrativeDivision
http://kbpedia.org/kko/rc/FirstOrderAdministrativeDivision-Historical,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BaselStadt,rdfs:subClassOf,http://kbpedia.org/kko/rc/Canton-Swiss
http://kbpedia.org/kko/rc/BaselStadt,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Dahomey,rdfs:subClassOf,http://kbpedia.org/kko/rc/Monarchy
http://kbpedia.org/kko/rc/Dahomey,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BuonMaThuot,rdfs:subClassOf,http://kbpedia.org/kko/rc/DacLac-ProvinceVietnam
http://kbpedia.org/kko/rc/BuonMaThuot,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SantaFe-ProvinceArgentina,rdfs:subClassOf,http://kbpedia.org/kko/rc/Province-Argentina
http://kbpedia.org/kko/rc/SantaFe-ProvinceArgentina,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Tenea,rdfs:subClassOf,http://kbpedia.org/kko/rc/City
http://kbpedia.org/kko/rc/Tenea,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sanmatenga-ProvinceBurkinaFaso,rdfs:subClassOf,http://kbpedia.org/kko/rc/Province-BurkinaFaso
http://kbpedia.org/kko/rc/Sanmatenga-ProvinceBurkinaFaso,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Province-Iraq,rdfs:subClassOf,http://kbpedia.org/kko/rc/Province
http://kbpedia.org/kko/rc/Province-Iraq,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AustralianIndianOceanTerritories,rdfs:subClassOf,http://kbpedia.org/kko/rc/State-Australia
http://kbpedia.org/kko/rc/AustralianIndianOceanTerritories,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Nangarhar-ProvinceAfghanistan,rdfs:subClassOf,http://kbpedia.org/kko/rc/Province-Afghanistan
http://kbpedia.org/kko/rc/Nangarhar-ProvinceAfghanistan,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Mauritius,rdfs:subClassOf,http://kbpedia.org/kko/rc/Country
http://kbpedia.org/kko/rc/Mauritius,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CaspianLittoralState,rdfs:subClassOf,http://kbpedia.org/kko/rc/CaspianCountry
http://kbpedia.org/kko/rc/CaspianLittoralState,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SouthCotabato-ProvincePhilippines,rdfs:subClassOf,http://kbpedia.org/kko/rc/Province-Philippines
http://kbpedia.org/kko/rc/SouthCotabato-ProvincePhilippines,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RuralCommune-Vietnam,rdfs:subClassOf,http://kbpedia.org/kko/rc/FourthOrderAdministrativeDivision
http://kbpedia.org/kko/rc/RuralCommune-Vietnam,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CountiesOfScotland,rdfs:subClassOf,http://kbpedia.org/kko/rc/County-Britain
http://kbpedia.org/kko/rc/CountiesOfScotland,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DzungarKhanate,rdfs:subClassOf,http://kbpedia.org/kko/rc/Xinjiang-ProvinceChina
http://kbpedia.org/kko/rc/DzungarKhanate,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Chaco-ProvinceArgentina,rdfs:subClassOf,http://kbpedia.org/kko/rc/Province-Argentina
http://kbpedia.org/kko/rc/Chaco-ProvinceArgentina,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Rome,rdfs:subClassOf,http://kbpedia.org/kko/rc/City
