id,subClassOf,parent
http://kbpedia.org/kko/rc/Modeling,rdfs:subClassOf,http://kbpedia.org/kko/rc/Models
http://kbpedia.org/kko/rc/Modeling,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Modeling,rdfs:subClassOf,http://kbpedia.org/kko/rc/PerformingInFrontOfGroup
http://kbpedia.org/kko/rc/Modeling,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AnalyticNumberTheory,rdfs:subClassOf,http://kbpedia.org/kko/rc/NumberTheory
http://kbpedia.org/kko/rc/AnalyticNumberTheory,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AcademicTesting,rdfs:subClassOf,http://kbpedia.org/kko/rc/PerformanceTesting
http://kbpedia.org/kko/rc/AcademicTesting,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AcademicTesting,rdfs:subClassOf,http://kbpedia.org/kko/rc/Test-Assessment
http://kbpedia.org/kko/rc/AcademicTesting,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GameTheory,rdfs:subClassOf,http://kbpedia.org/kko/rc/MathematicalTheory
http://kbpedia.org/kko/rc/GameTheory,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GameTheory,rdfs:subClassOf,http://kbpedia.org/kko/rc/ScientificFieldOfStudy
http://kbpedia.org/kko/rc/GameTheory,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Scrutiny,rdfs:subClassOf,http://kbpedia.org/kko/rc/Investigation
http://kbpedia.org/kko/rc/Scrutiny,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PositronEmissionTomography,rdfs:subClassOf,http://kbpedia.org/kko/rc/MedicalImaging
http://kbpedia.org/kko/rc/PositronEmissionTomography,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AlzheimersDiseaseResearch,rdfs:subClassOf,http://kbpedia.org/kko/rc/MedicalResearch
http://kbpedia.org/kko/rc/AlzheimersDiseaseResearch,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/IntelligenceTesting,rdfs:subClassOf,http://kbpedia.org/kko/rc/PsychologicalTesting
http://kbpedia.org/kko/rc/IntelligenceTesting,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AmericanCollegeTestingProgramAssessment,rdfs:subClassOf,http://kbpedia.org/kko/rc/CollegeEntranceTest
http://kbpedia.org/kko/rc/AmericanCollegeTestingProgramAssessment,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Aleph-1,rdfs:subClassOf,http://kbpedia.org/kko/rc/TransfiniteCardinal
http://kbpedia.org/kko/rc/Aleph-1,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Niche,rdfs:subClassOf,http://kbpedia.org/kko/rc/ArchitecturalElement
http://kbpedia.org/kko/rc/Niche,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DescriptiveSetTheory,rdfs:subClassOf,http://kbpedia.org/kko/rc/SetTheory
http://kbpedia.org/kko/rc/DescriptiveSetTheory,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/StochasticProcess,rdfs:subClassOf,http://kbpedia.org/kko/rc/ProbabilityTheory
http://kbpedia.org/kko/rc/StochasticProcess,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/StochasticProcess,rdfs:subClassOf,http://kbpedia.org/kko/rc/Statistics
http://kbpedia.org/kko/rc/StochasticProcess,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/StochasticProcess,rdfs:subClassOf,http://kbpedia.org/kko/rc/ProcessType
http://kbpedia.org/kko/rc/StochasticProcess,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SolarSystemModel,rdfs:subClassOf,http://kbpedia.org/kko/rc/Models
http://kbpedia.org/kko/rc/SolarSystemModel,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SchroedingerEquation,rdfs:subClassOf,http://kbpedia.org/kko/rc/MathematicalPhysics
http://kbpedia.org/kko/rc/SchroedingerEquation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SchroedingerEquation,rdfs:subClassOf,http://kbpedia.org/kko/rc/QuantumMechanics
http://kbpedia.org/kko/rc/SchroedingerEquation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Teleportation,rdfs:subClassOf,http://kbpedia.org/kko/rc/PropositionalConceptualWork-ScienceFictionGenre
http://kbpedia.org/kko/rc/Teleportation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Teleportation,rdfs:subClassOf,http://kbpedia.org/kko/rc/QuantumMechanics
http://kbpedia.org/kko/rc/Teleportation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PropositionalFallacy,rdfs:subClassOf,http://kbpedia.org/kko/rc/LogicalFallacy
http://kbpedia.org/kko/rc/PropositionalFallacy,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PropositionalFallacy,rdfs:subClassOf,http://kbpedia.org/kko/rc/PropositionalLogic
http://kbpedia.org/kko/rc/PropositionalFallacy,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ProbabilityTheory,rdfs:subClassOf,http://kbpedia.org/kko/rc/MathematicalTheory
http://kbpedia.org/kko/rc/ProbabilityTheory,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Practicing-Preparing,rdfs:subClassOf,http://kbpedia.org/kko/rc/LearningByDoing
http://kbpedia.org/kko/rc/Practicing-Preparing,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ArithmeticFunction,rdfs:subClassOf,http://kbpedia.org/kko/rc/Function-Mathematic
http://kbpedia.org/kko/rc/ArithmeticFunction,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ArithmeticFunction,rdfs:subClassOf,http://kbpedia.org/kko/rc/NumberTheory
http://kbpedia.org/kko/rc/ArithmeticFunction,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PolynesianNavigation,rdfs:subClassOf,http://kbpedia.org/kko/rc/Navigating
http://kbpedia.org/kko/rc/PolynesianNavigation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MedicalTesting,rdfs:subClassOf,http://kbpedia.org/kko/rc/Evaluating
http://kbpedia.org/kko/rc/MedicalTesting,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MedicalTesting,rdfs:subClassOf,http://kbpedia.org/kko/rc/InformationGathering
http://kbpedia.org/kko/rc/MedicalTesting,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MedicalTesting,rdfs:subClassOf,http://kbpedia.org/kko/rc/LaboratorySupply
http://kbpedia.org/kko/rc/MedicalTesting,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MedicalTesting,rdfs:subClassOf,http://kbpedia.org/kko/rc/IntelligentAgentActivity
http://kbpedia.org/kko/rc/MedicalTesting,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CholesterolTest,rdfs:subClassOf,http://kbpedia.org/kko/rc/BloodTest
http://kbpedia.org/kko/rc/CholesterolTest,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BloodPressureTest,rdfs:subClassOf,http://kbpedia.org/kko/rc/MedicalTesting
http://kbpedia.org/kko/rc/BloodPressureTest,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/TragedyOfTheCommons,rdfs:subClassOf,http://kbpedia.org/kko/rc/EnvironmentalEconomics
http://kbpedia.org/kko/rc/TragedyOfTheCommons,rdfs:subClassOf,owl:Thing
