id,subClassOf,parent
http://kbpedia.org/kko/rc/FirstOrderAdministrativeDivision-Historical,rdfs:subClassOf,http://kbpedia.org/kko/rc/FirstOrderAdministrativeDivision
http://kbpedia.org/kko/rc/FirstOrderAdministrativeDivision-Historical,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/LongJumpTrack,rdfs:subClassOf,http://kbpedia.org/kko/rc/SportsTrack
http://kbpedia.org/kko/rc/LongJumpTrack,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SugarMill-ManufacturingFacility,rdfs:subClassOf,http://kbpedia.org/kko/rc/Mill-ManufacturingFacility
http://kbpedia.org/kko/rc/SugarMill-ManufacturingFacility,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BistroSpace,rdfs:subClassOf,http://kbpedia.org/kko/rc/RestaurantSpace
http://kbpedia.org/kko/rc/BistroSpace,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BaselStadt,rdfs:subClassOf,http://kbpedia.org/kko/rc/Canton-Swiss
http://kbpedia.org/kko/rc/BaselStadt,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Dahomey,rdfs:subClassOf,http://kbpedia.org/kko/rc/Monarchy
http://kbpedia.org/kko/rc/Dahomey,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BuonMaThuot,rdfs:subClassOf,http://kbpedia.org/kko/rc/DacLac-ProvinceVietnam
http://kbpedia.org/kko/rc/BuonMaThuot,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MatagordaBay,rdfs:subClassOf,http://kbpedia.org/kko/rc/Bay
http://kbpedia.org/kko/rc/MatagordaBay,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BerkshireMountains,rdfs:subClassOf,http://kbpedia.org/kko/rc/MountainRange
http://kbpedia.org/kko/rc/BerkshireMountains,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GreatSark-Island,rdfs:subClassOf,http://kbpedia.org/kko/rc/Island
http://kbpedia.org/kko/rc/GreatSark-Island,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryBase-Grounds,rdfs:subClassOf,http://kbpedia.org/kko/rc/ContactLocation
http://kbpedia.org/kko/rc/MilitaryBase-Grounds,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryBase-Grounds,rdfs:subClassOf,http://kbpedia.org/kko/rc/GroundsOfOrganization
http://kbpedia.org/kko/rc/MilitaryBase-Grounds,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryBase-Grounds,rdfs:subClassOf,http://kbpedia.org/kko/rc/MilitaryFacility
http://kbpedia.org/kko/rc/MilitaryBase-Grounds,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SantaFe-ProvinceArgentina,rdfs:subClassOf,http://kbpedia.org/kko/rc/Province-Argentina
http://kbpedia.org/kko/rc/SantaFe-ProvinceArgentina,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HemlockLake,rdfs:subClassOf,http://kbpedia.org/kko/rc/FingerLakes
http://kbpedia.org/kko/rc/HemlockLake,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Tenea,rdfs:subClassOf,http://kbpedia.org/kko/rc/City
http://kbpedia.org/kko/rc/Tenea,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Ortsteil-Germany,rdfs:subClassOf,http://kbpedia.org/kko/rc/Neighborhood
http://kbpedia.org/kko/rc/Ortsteil-Germany,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HostileRegion,rdfs:subClassOf,http://kbpedia.org/kko/rc/TacticalArea
http://kbpedia.org/kko/rc/HostileRegion,rdfs:subClassOf,owl:Thing
