id,subClassOf,parent
http://kbpedia.org/kko/rc/LoungeMusic,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicTypeOpenGenre
http://kbpedia.org/kko/rc/LoungeMusic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Road-Signs-France,rdfs:subClassOf,http://kbpedia.org/kko/rc/RoadSign
http://kbpedia.org/kko/rc/Road-Signs-France,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MicrowaveTransmission,rdfs:subClassOf,http://kbpedia.org/kko/rc/CommunicationChannel
http://kbpedia.org/kko/rc/MicrowaveTransmission,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MicrowaveTransmission,rdfs:subClassOf,http://kbpedia.org/kko/rc/MicrowaveRadiation
http://kbpedia.org/kko/rc/MicrowaveTransmission,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MicrowaveTransmission,rdfs:subClassOf,http://kbpedia.org/kko/rc/Transmission-Telecommunications
http://kbpedia.org/kko/rc/MicrowaveTransmission,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SatelliteTransmission,rdfs:subClassOf,http://kbpedia.org/kko/rc/MicrowaveTransmission
http://kbpedia.org/kko/rc/SatelliteTransmission,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SatelliteTransmission,rdfs:subClassOf,http://kbpedia.org/kko/rc/Transmission-Telecommunications
http://kbpedia.org/kko/rc/SatelliteTransmission,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WrestlingAnimeAndManga,rdfs:subClassOf,http://kbpedia.org/kko/rc/Manga
http://kbpedia.org/kko/rc/WrestlingAnimeAndManga,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SolarThermalEnergy,rdfs:subClassOf,http://kbpedia.org/kko/rc/EnergyPhenomena
http://kbpedia.org/kko/rc/SolarThermalEnergy,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SolarThermalEnergy,rdfs:subClassOf,http://kbpedia.org/kko/rc/SolarEnergy
http://kbpedia.org/kko/rc/SolarThermalEnergy,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WelshLanguageMusic,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicalComposition-Celtic
http://kbpedia.org/kko/rc/WelshLanguageMusic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ClassicalVocalComposition,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicalComposition-Classical
http://kbpedia.org/kko/rc/ClassicalVocalComposition,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ClassicalVocalComposition,rdfs:subClassOf,http://kbpedia.org/kko/rc/PropositionalConceptualWork
http://kbpedia.org/kko/rc/ClassicalVocalComposition,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PostDisco,rdfs:subClassOf,http://kbpedia.org/kko/rc/DiscoMusic
http://kbpedia.org/kko/rc/PostDisco,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PostDisco,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicTypeOpenGenre
http://kbpedia.org/kko/rc/PostDisco,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PostDisco,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicTypeByGenre
http://kbpedia.org/kko/rc/PostDisco,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MusicalComposition-ACappella,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicTypeOpenGenre
http://kbpedia.org/kko/rc/MusicalComposition-ACappella,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MusicalComposition-ACappella,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicalComposition
http://kbpedia.org/kko/rc/MusicalComposition-ACappella,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Zeuhl,rdfs:subClassOf,http://kbpedia.org/kko/rc/ProgressiveRockMusic
http://kbpedia.org/kko/rc/Zeuhl,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/NationalAnthem,rdfs:subClassOf,http://kbpedia.org/kko/rc/Anthem
http://kbpedia.org/kko/rc/NationalAnthem,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/NationalAnthem,rdfs:subClassOf,http://kbpedia.org/kko/rc/Song
http://kbpedia.org/kko/rc/NationalAnthem,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/NationalAnthem,rdfs:subClassOf,http://kbpedia.org/kko/rc/SymbolicThing
http://kbpedia.org/kko/rc/NationalAnthem,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BarbecuingFood-TexasStyle,rdfs:subClassOf,http://kbpedia.org/kko/rc/GrillingFood
http://kbpedia.org/kko/rc/BarbecuingFood-TexasStyle,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HurricaneGeorge,rdfs:subClassOf,http://kbpedia.org/kko/rc/HurricaneAsEvent
http://kbpedia.org/kko/rc/HurricaneGeorge,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ClassicalMusicalEra,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicalEra
http://kbpedia.org/kko/rc/ClassicalMusicalEra,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MusicalComposition-Rockabilly,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicTypeOpenGenre
http://kbpedia.org/kko/rc/MusicalComposition-Rockabilly,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MusicalComposition-Rockabilly,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicalComposition-Rock
http://kbpedia.org/kko/rc/MusicalComposition-Rockabilly,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HonkingSound,rdfs:subClassOf,http://kbpedia.org/kko/rc/AnimalSound
http://kbpedia.org/kko/rc/HonkingSound,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CirrusCloud,rdfs:subClassOf,http://kbpedia.org/kko/rc/High-LevelCloud
http://kbpedia.org/kko/rc/CirrusCloud,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CirrusCloud,rdfs:subClassOf,http://kbpedia.org/kko/rc/IceCloud
http://kbpedia.org/kko/rc/CirrusCloud,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CirrusCloud,rdfs:subClassOf,http://kbpedia.org/kko/rc/IceCloudstuff
http://kbpedia.org/kko/rc/CirrusCloud,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Gale,rdfs:subClassOf,http://kbpedia.org/kko/rc/HeavyWind
http://kbpedia.org/kko/rc/Gale,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EnergyConversion-ElectricToThermal,rdfs:subClassOf,http://kbpedia.org/kko/rc/EnergyConversion
http://kbpedia.org/kko/rc/EnergyConversion-ElectricToThermal,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Bonfire,rdfs:subClassOf,http://kbpedia.org/kko/rc/Fire-CombustionProcess
http://kbpedia.org/kko/rc/Bonfire,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ElectromagneticSpectrum,rdfs:subClassOf,http://kbpedia.org/kko/rc/ElectromagneticRadiation
http://kbpedia.org/kko/rc/ElectromagneticSpectrum,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DarkAmbient,rdfs:subClassOf,http://kbpedia.org/kko/rc/IndustrialMusic
http://kbpedia.org/kko/rc/DarkAmbient,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DarkAmbient,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicalComposition-Ambient
http://kbpedia.org/kko/rc/DarkAmbient,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DarkAmbient,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicTypeOpenGenre
http://kbpedia.org/kko/rc/DarkAmbient,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AnimatedFeatureFilm,rdfs:subClassOf,http://kbpedia.org/kko/rc/AnimatedMovie
http://kbpedia.org/kko/rc/AnimatedFeatureFilm,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Mazurka,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicalComposition-Romantic
http://kbpedia.org/kko/rc/Mazurka,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/OceanPollution,rdfs:subClassOf,http://kbpedia.org/kko/rc/Pollutant
http://kbpedia.org/kko/rc/OceanPollution,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/OceanPollution,rdfs:subClassOf,http://kbpedia.org/kko/rc/PollutionProcess
http://kbpedia.org/kko/rc/OceanPollution,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ArrangersOfChurchMusic,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicalComposition-Christian
http://kbpedia.org/kko/rc/ArrangersOfChurchMusic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SingingCompetition,rdfs:subClassOf,http://kbpedia.org/kko/rc/MusicCompetition
http://kbpedia.org/kko/rc/SingingCompetition,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SingingCompetition,rdfs:subClassOf,http://kbpedia.org/kko/rc/Singing
http://kbpedia.org/kko/rc/SingingCompetition,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MusicalEra,rdfs:subClassOf,http://kbpedia.org/kko/rc/Music
http://kbpedia.org/kko/rc/MusicalEra,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ArtPop,rdfs:subClassOf,http://kbpedia.org/kko/rc/PopMusicGenre
http://kbpedia.org/kko/rc/ArtPop,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FilmGenre,rdfs:subClassOf,http://kbpedia.org/kko/rc/Movie
http://kbpedia.org/kko/rc/FilmGenre,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FilmGenre,rdfs:subClassOf,http://kbpedia.org/kko/rc/MovingImage
http://kbpedia.org/kko/rc/FilmGenre,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FilmGenre,rdfs:subClassOf,http://kbpedia.org/kko/rc/VisualArtsGenre
http://kbpedia.org/kko/rc/FilmGenre,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FilmGenre,rdfs:subClassOf,http://kbpedia.org/kko/rc/FacetInstanceCollection
http://kbpedia.org/kko/rc/FilmGenre,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PrevailingWind,rdfs:subClassOf,http://kbpedia.org/kko/rc/Wind
http://kbpedia.org/kko/rc/PrevailingWind,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WesternGenreAnimeAndManga,rdfs:subClassOf,http://kbpedia.org/kko/rc/Manga
http://kbpedia.org/kko/rc/WesternGenreAnimeAndManga,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WesternGenreAnimeAndManga,rdfs:subClassOf,http://kbpedia.org/kko/rc/WesternGenreAnimation
http://kbpedia.org/kko/rc/WesternGenreAnimeAndManga,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sunlight,rdfs:subClassOf,http://kbpedia.org/kko/rc/SolarRadiation
http://kbpedia.org/kko/rc/Sunlight,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sunlight,rdfs:subClassOf,http://kbpedia.org/kko/rc/SolarThermalEnergy
http://kbpedia.org/kko/rc/Sunlight,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sunlight,rdfs:subClassOf,http://kbpedia.org/kko/rc/VisibleLight
http://kbpedia.org/kko/rc/Sunlight,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sunlight,rdfs:subClassOf,http://kbpedia.org/kko/rc/Light
http://kbpedia.org/kko/rc/Sunlight,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/StringQuartetComposition,rdfs:subClassOf,http://kbpedia.org/kko/rc/ChamberMusicComposition
