id,subClassOf,parent
http://kbpedia.org/kko/rc/MotorProtein,rdfs:subClassOf,http://kbpedia.org/kko/rc/ProteinStuff
http://kbpedia.org/kko/rc/MotorProtein,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,http://kbpedia.org/kko/rc/CellCyclePhaseType
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,http://kbpedia.org/kko/rc/EukaryoticCellDivision
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,http://kbpedia.org/kko/rc/RoundOfCellDivision
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,http://kbpedia.org/kko/rc/CellDivision
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,http://kbpedia.org/kko/rc/BiologicalDestructionEvent
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,http://kbpedia.org/kko/rc/BiologicalProductionEvent
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,http://kbpedia.org/kko/rc/SingleCellBiologicalProcess
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,http://kbpedia.org/kko/rc/BiologicalProcess-CellularLevel
http://kbpedia.org/kko/rc/MitoticPhaseOfCellCycle,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Esterase,rdfs:subClassOf,http://kbpedia.org/kko/rc/Hydrolase
http://kbpedia.org/kko/rc/Esterase,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,http://kbpedia.org/kko/rc/CellularSignalingSecondMessenger
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,http://kbpedia.org/kko/rc/Gaseous-StateOfMatter
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,http://kbpedia.org/kko/rc/IndustrialUseGas
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,http://kbpedia.org/kko/rc/InorganicCompound
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,http://kbpedia.org/kko/rc/NoOdor
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CarbonMonoxide,rdfs:subClassOf,http://kbpedia.org/kko/rc/Oxide
