id,subClassOf,parent
http://kbpedia.org/kko/rc/OrdovicianGeochronology,rdfs:subClassOf,http://kbpedia.org/kko/rc/Ordovician-GeologicalPeriod
http://kbpedia.org/kko/rc/OrdovicianGeochronology,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SportsTour,rdfs:subClassOf,http://kbpedia.org/kko/rc/SportSeason
http://kbpedia.org/kko/rc/SportsTour,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SportsTour,rdfs:subClassOf,http://kbpedia.org/kko/rc/SportsAction
http://kbpedia.org/kko/rc/SportsTour,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PennsylvanianFirstAppearance,rdfs:subClassOf,http://kbpedia.org/kko/rc/Pennsylvanian-GeologicalPeriod
http://kbpedia.org/kko/rc/PennsylvanianFirstAppearance,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Phanerozoic-GeologicalEon,rdfs:subClassOf,http://kbpedia.org/kko/rc/GeologicalEon
http://kbpedia.org/kko/rc/Phanerozoic-GeologicalEon,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/TriassicPaleogeography,rdfs:subClassOf,http://kbpedia.org/kko/rc/Triassic-GeologicalPeriod
http://kbpedia.org/kko/rc/TriassicPaleogeography,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/IdealTimeInterval,rdfs:subClassOf,http://kbpedia.org/kko/rc/TimeInterval
http://kbpedia.org/kko/rc/IdealTimeInterval,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ArcheanAfrica,rdfs:subClassOf,http://kbpedia.org/kko/rc/Archaean-GeologicalEon
http://kbpedia.org/kko/rc/ArcheanAfrica,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SpringSeason,rdfs:subClassOf,http://kbpedia.org/kko/rc/SeasonOfYear
http://kbpedia.org/kko/rc/SpringSeason,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AutumnTradition,rdfs:subClassOf,http://kbpedia.org/kko/rc/FallSeason
http://kbpedia.org/kko/rc/AutumnTradition,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FormulaThreeSeason,rdfs:subClassOf,http://kbpedia.org/kko/rc/RacingSeason
http://kbpedia.org/kko/rc/FormulaThreeSeason,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/IndependenceDay-Bahrain,rdfs:subClassOf,http://kbpedia.org/kko/rc/Independence-Day
http://kbpedia.org/kko/rc/IndependenceDay-Bahrain,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/IndependenceDay-Bahrain,rdfs:subClassOf,http://kbpedia.org/kko/rc/LegalHoliday
http://kbpedia.org/kko/rc/IndependenceDay-Bahrain,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ColoniesInAntiquity,rdfs:subClassOf,http://kbpedia.org/kko/rc/ClassicalAntiquity
http://kbpedia.org/kko/rc/ColoniesInAntiquity,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MesozoicEurope,rdfs:subClassOf,http://kbpedia.org/kko/rc/Mesozoic-GeologicalEra
http://kbpedia.org/kko/rc/MesozoicEurope,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PrecambrianNorthAmerica,rdfs:subClassOf,http://kbpedia.org/kko/rc/Precambrian-GeologicalSupereon
http://kbpedia.org/kko/rc/PrecambrianNorthAmerica,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Oligocene-GeologicalEpoch,rdfs:subClassOf,http://kbpedia.org/kko/rc/GeologicalEpoch
http://kbpedia.org/kko/rc/Oligocene-GeologicalEpoch,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Oligocene-GeologicalEpoch,rdfs:subClassOf,http://kbpedia.org/kko/rc/Paleogene-GeologicalPeriod
http://kbpedia.org/kko/rc/Oligocene-GeologicalEpoch,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MedievalInternationalRelations,rdfs:subClassOf,http://kbpedia.org/kko/rc/TheMiddleAges
http://kbpedia.org/kko/rc/MedievalInternationalRelations,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WomensNationalBasketballAssociationChampionshipSeason,rdfs:subClassOf,http://kbpedia.org/kko/rc/BasketballSeason
http://kbpedia.org/kko/rc/WomensNationalBasketballAssociationChampionshipSeason,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WomensNationalBasketballAssociationChampionshipSeason,rdfs:subClassOf,http://kbpedia.org/kko/rc/SportsPostSeason
http://kbpedia.org/kko/rc/WomensNationalBasketballAssociationChampionshipSeason,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Mississippian-GeologicalPeriod,rdfs:subClassOf,http://kbpedia.org/kko/rc/Carboniferous-GeologicalPeriod
http://kbpedia.org/kko/rc/Mississippian-GeologicalPeriod,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Holiday,rdfs:subClassOf,http://kbpedia.org/kko/rc/Date
http://kbpedia.org/kko/rc/Holiday,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Holiday,rdfs:subClassOf,http://kbpedia.org/kko/rc/ScheduledAction
